,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,33871,11564,18264,4043,1599578,2258718,0.72%,1.14%,0.021174959895672484,0.51%,0.81%,0.014995674537503133
Adıyaman,7307,2343,4240,724,417362,632459,0.56%,1.02%,0.017507583344914007,0.37%,0.67%,0.011553318080697721
Afyon,10565,2735,6027,1803,544755,736912,0.50%,1.11%,0.019394039522354085,0.37%,0.82%,0.01433685433267473
Ağrı,6838,2730,3740,368,316215,535435,0.86%,1.18%,0.021624527615704506,0.51%,0.70%,0.01277092457534528
Amasya,5798,1391,2911,1496,261116,335494,0.53%,1.11%,0.022204690635579588,0.41%,0.87%,0.017281978217196136
Ankara,69729,19205,39443,11081,4269423,5663322,0.45%,0.92%,0.016332183529249738,0.34%,0.70%,0.012312384851152732
Antalya,40291,14422,19824,6045,1903745,2548308,0.76%,1.04%,0.02116407396999073,0.57%,0.78%,0.015810883142854004
Artvin,3636,887,2069,680,135986,169501,0.65%,1.52%,0.026738046563616842,0.52%,1.22%,0.021451200877870925
Aydın,18305,4661,9752,3892,867298,1119084,0.54%,1.12%,0.021105779097841802,0.42%,0.87%,0.01635712779380279
Balıkesir,18648,4737,9291,4620,992100,1240285,0.48%,0.94%,0.018796492289083762,0.38%,0.75%,0.015035253994041693
Bilecik,2606,689,1325,592,169031,218717,0.41%,0.78%,0.015417290319527188,0.32%,0.61%,0.011914940310995487
Bingöl,4629,2189,1886,554,193043,281768,1.13%,0.98%,0.023979113461767586,0.78%,0.67%,0.01642840918770052
Bitlis,4511,2439,1841,231,216393,350994,1.13%,0.85%,0.020846330519009394,0.69%,0.52%,0.012852071545382543
Bolu,4408,1071,2406,931,247627,314802,0.43%,0.97%,0.017800966776643903,0.34%,0.76%,0.014002452335118582
Burdur,5676,1358,3143,1175,212252,267092,0.64%,1.48%,0.026741797486007197,0.51%,1.18%,0.021251104488341097
Bursa,44464,13083,24744,6637,2314439,3101833,0.57%,1.07%,0.019211567036331482,0.42%,0.80%,0.014334749807613756
