,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,33307,30936,2371,0,1599578,1.93%,0.15%,0.02082236689926968
Adıyaman,7701,7223,478,0,417362,1.73%,0.11%,0.018451607956641955
Afyon,9140,8519,621,0,544755,1.56%,0.11%,0.016778184688529707
Ağrı,4964,4426,538,0,316215,1.40%,0.17%,0.01569818003573518
Amasya,4571,4150,421,0,261116,1.59%,0.16%,0.017505629681827235
Ankara,78465,71632,6833,0,4269423,1.68%,0.16%,0.018378361666201732
Antalya,38354,35439,2915,0,1903745,1.86%,0.15%,0.02014660576915501
Artvin,2686,2450,236,0,135986,1.80%,0.17%,0.019752033297545334
Aydın,17073,14964,2109,0,867298,1.73%,0.24%,0.019685275418598915
Balıkesir,16242,14933,1309,0,992100,1.51%,0.13%,0.016371333534925914
Bilecik,2589,2345,244,0,169031,1.39%,0.14%,0.015316717051901723
Bingöl,3129,2978,151,0,193043,1.54%,0.08%,0.016208823940780034
Bitlis,2570,2428,142,0,216393,1.12%,0.07%,0.011876539444436743
Bolu,4093,3553,540,0,247627,1.43%,0.22%,0.016528892245191357
Burdur,3578,3258,320,0,212252,1.53%,0.15%,0.01685732054350489
Bursa,36379,33018,3361,0,2314439,1.43%,0.15%,0.01571827989417738
Çanakkale,7685,6899,786,0,437937,1.58%,0.18%,0.017548186154629546
Çankırı,2415,2201,214,0,151413,1.45%,0.14%,0.01594975332369083
Çorum,7590,6902,688,0,407844,1.69%,0.17%,0.018610056786418337
Denizli,16218,15035,1183,0,793926,1.89%,0.15%,0.020427596526628428
Diyarbakır,16083,15101,982,0,1099830,1.37%,0.09%,0.014623169035214533
Edirne,5926,5350,576,0,334075,1.60%,0.17%,0.01773853176681883
Elazığ,7002,6397,605,0,432965,1.48%,0.14%,0.01617220791518945
Erzincan,3168,2918,250,0,180234,1.62%,0.14%,0.017577149705383002
Erzurum,9451,8702,749,0,526063,1.65%,0.14%,0.017965528843503536
Eskişehir,12401,11242,1159,0,698642,1.61%,0.17%,0.017750149575891515
Gaziantep,19083,17862,1221,0,1317351,1.36%,0.09%,0.014485888726694708
Giresun,7162,6529,633,0,359477,1.82%,0.18%,0.019923388700807006
Gümüşhane,1592,1467,125,0,110911,1.32%,0.11%,0.014353851286166385
Hakkari,4023,3852,171,0,181606,2.12%,0.09%,0.022152351794544233
Hatay,11086,10304,782,0,1120447,0.92%,0.07%,0.009894265413714349
Isparta,5956,5101,855,0,342106,1.49%,0.25%,0.017409808655796742
Mersin,29252,27493,1759,0,1356886,2.03%,0.13%,0.0215581854334115
İstanbul,171726,158234,13492,0,11520854,1.37%,0.12%,0.014905665847340831
İzmir,65583,60384,5199,0,3429827,1.76%,0.15%,0.019121372594011303
Kars,3941,3703,238,0,194225,1.91%,0.12%,0.02029089972969494
Kastamonu,4906,4493,413,0,302774,1.48%,0.14%,0.016203504924465113
Kayseri,17449,15729,1720,0,1016718,1.55%,0.17%,0.01716208427508906
Kırklareli,5677,5234,443,0,294199,1.78%,0.15%,0.01929646259844527
Kırşehir,3447,3183,264,0,185308,1.72%,0.14%,0.018601463509400566
Kocaeli,24258,22266,1992,0,1453509,1.53%,0.14%,0.016689267145920665
Konya,26871,24410,2461,0,1611865,1.51%,0.15%,0.016670750962394492
Kütahya,7773,6578,1195,0,454645,1.45%,0.26%,0.0170968557885823
Malatya,11303,10559,744,0,585623,1.80%,0.13%,0.019300812980364502
Manisa,19609,17500,2109,0,1101092,1.59%,0.19%,0.01780868446959927
Kahramanmaraş,16548,15748,800,0,785567,2.00%,0.10%,0.02106503964652283
Mardin,7084,6894,190,0,517582,1.33%,0.04%,0.013686720171876146
Muğla,17009,15285,1724,0,787329,1.94%,0.22%,0.021603421187330836
Muş,3284,3104,180,0,244220,1.27%,0.07%,0.013446892146425355
Nevşehir,2432,2200,232,0,228791,0.96%,0.10%,0.010629788759173218
Niğde,2653,2507,146,0,260708,0.96%,0.06%,0.010176135753409945
Ordu,11328,10427,901,0,589401,1.77%,0.15%,0.01921951269169886
Rize,4874,4459,415,0,268906,1.66%,0.15%,0.01812529285326471
Sakarya,12883,11881,1002,0,777027,1.53%,0.13%,0.01657986144625605
Samsun,20207,18002,2205,0,1030199,1.75%,0.21%,0.01961465697404094
Siirt,2550,2425,125,0,197181,1.23%,0.06%,0.01293228049355668
Sinop,2698,2390,308,0,172933,1.38%,0.18%,0.015601417890165555
Sivas,8584,7866,718,0,478755,1.64%,0.15%,0.017929838852857934
Tekirdağ,18884,17858,1026,0,809854,2.21%,0.13%,0.02331778320536788
Tokat,7717,7044,673,0,457272,1.54%,0.15%,0.01687616998198009
Trabzon,11703,10285,1418,0,621825,1.65%,0.23%,0.01882040767096852
Tunceli,1539,1354,185,0,68980,1.96%,0.27%,0.02231081472890693
Şanlıurfa,13814,13058,756,0,1157716,1.13%,0.07%,0.011932114611873724
Uşak,6616,6098,518,0,286295,2.13%,0.18%,0.02310903089470651
Van,12593,11620,973,0,693216,1.68%,0.14%,0.01816605502469649
Yozgat,4947,4627,320,0,315031,1.47%,0.10%,0.01570321650885151
Zonguldak,7326,6624,702,0,466537,1.42%,0.15%,0.015702934601114167
Aksaray,5734,5367,367,0,299426,1.79%,0.12%,0.019149973616185634
Bayburt,1291,1178,113,0,62060,1.90%,0.18%,0.020802449242668386
Karaman,3730,3510,220,0,188095,1.87%,0.12%,0.01983040484861373
Kırıkkale,4195,3799,396,0,214988,1.77%,0.18%,0.01951271698885519
Batman,5121,4885,236,0,375020,1.30%,0.06%,0.013655271718841662
Şırnak,5615,5295,320,0,307348,1.72%,0.10%,0.018269193227221262
Bartın,3407,3216,191,0,159253,2.02%,0.12%,0.021393631517145673
Ardahan,1719,1563,156,0,71678,2.18%,0.22%,0.023982253969139763
Iğdır,1965,1767,198,0,130907,1.35%,0.15%,0.015010656420206712
Yalova,3019,2727,292,0,210810,1.29%,0.14%,0.014320952516484037
Karabük,3179,2869,310,0,195265,1.47%,0.16%,0.016280439402862775
Kilis,2018,1819,199,0,94522,1.92%,0.21%,0.02134952709422145
Osmaniye,6892,6514,378,0,378009,1.72%,0.10%,0.018232370128753547
Düzce,5749,5381,368,0,298284,1.80%,0.12%,0.019273578200641
