,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Manisa,24949,7551,13572,3826,1101092,1450616,0.69%,1.23%,0.02265841546392127,0.52%,0.94%,0.01719890032923944
Kahramanmaraş,20830,6886,11907,2037,785567,1168163,0.88%,1.52%,0.026515879613069285,0.59%,1.02%,0.01783141565004199
Mardin,11250,5652,5015,583,517582,854716,1.09%,0.97%,0.02173568632603143,0.66%,0.59%,0.01316226676463293
Muğla,15581,4294,8199,3088,787329,1000773,0.55%,1.04%,0.019789694016097464,0.43%,0.82%,0.0155689651899082
Muş,5234,2465,2440,329,244220,411117,1.01%,1.00%,0.021431496191958072,0.60%,0.59%,0.012731168985957768
Nevşehir,4957,1620,2558,779,228791,304962,0.71%,1.12%,0.02166606203915364,0.53%,0.84%,0.01625448416524026
Niğde,6788,2408,3416,964,260708,362071,0.92%,1.31%,0.026036792119919605,0.67%,0.94%,0.01874770417956699
Ordu,11581,3254,6160,2167,589401,761400,0.55%,1.05%,0.019648762048248985,0.43%,0.81%,0.015210139217231416
Rize,6281,2023,2951,1307,268906,344359,0.75%,1.10%,0.02335760451607625,0.59%,0.86%,0.01823968590918199
Sakarya,14531,4948,7187,2396,777027,1042649,0.64%,0.92%,0.018700765867852725,0.47%,0.69%,0.01393661721250392
Samsun,22515,6998,11788,3729,1030199,1356079,0.68%,1.14%,0.02185500082993674,0.52%,0.87%,0.01660301501608682
Siirt,4072,2135,1712,225,197181,331070,1.08%,0.87%,0.020651076929318748,0.64%,0.52%,0.012299513698009485
Sinop,2990,722,1458,810,172933,216460,0.42%,0.84%,0.017289933095476284,0.33%,0.67%,0.01381317564446087
Sivas,9882,3006,5008,1868,478755,635889,0.63%,1.05%,0.02064103769151236,0.47%,0.79%,0.015540448097073545
Tekirdağ,15481,4734,8388,2359,809854,1081065,0.58%,1.04%,0.01911579124138425,0.44%,0.78%,0.01432013801205293
Tokat,8851,2706,4289,1856,457272,597861,0.59%,0.94%,0.01935609440333106,0.45%,0.72%,0.014804444511349628
Trabzon,10379,3342,5162,1875,621825,811901,0.54%,0.83%,0.016691191251557914,0.41%,0.64%,0.012783578293412621
Tunceli,1277,324,664,289,68980,83443,0.47%,0.96%,0.018512612351406204,0.39%,0.80%,0.015303860120081973
Şanlıurfa,20821,10759,9024,1038,1157716,2115256,0.93%,0.78%,0.017984548887637383,0.51%,0.43%,0.009843253015237871
Uşak,5207,1514,2842,851,286295,369433,0.53%,0.99%,0.01818753383747533,0.41%,0.77%,0.014094571952153705
Van,19630,7646,10928,1056,693216,1149342,1.10%,1.58%,0.028317292157134286,0.67%,0.95%,0.017079337568800236
Yozgat,6160,2039,2945,1176,315031,419095,0.65%,0.93%,0.01955363122994245,0.49%,0.70%,0.014698338085636907
Zonguldak,8546,2438,4352,1756,466537,591204,0.52%,0.93%,0.018317946915250023,0.41%,0.74%,0.01445524725813763
Aksaray,6707,2515,3384,808,299426,423011,0.84%,1.13%,0.022399524423396766,0.59%,0.80%,0.015855379647337776
Bayburt,1192,422,539,231,62060,81910,0.68%,0.87%,0.019207218820496294,0.52%,0.66%,0.014552557685264315
Karaman,4937,1886,2269,782,188095,254919,1.00%,1.21%,0.02624737499667721,0.74%,0.89%,0.01936693616403642
Kırıkkale,4174,1267,2092,815,214988,278703,0.59%,0.97%,0.01941503711835079,0.45%,0.75%,0.014976516219775173
Batman,9460,4574,4326,560,375020,620278,1.22%,1.15%,0.02522532131619647,0.74%,0.70%,0.015251226063152329
Şırnak,6746,2595,3914,237,307348,537762,0.84%,1.27%,0.02194906099925817,0.48%,0.73%,0.012544582919581524
Bartın,3279,839,1841,599,159253,198979,0.53%,1.16%,0.020589878997569904,0.42%,0.93%,0.016479125937913047
Ardahan,2141,734,1070,337,71678,96161,1.02%,1.49%,0.029869695024972796,0.76%,1.11%,0.02226474350308337
Iğdır,2341,1076,1066,199,130907,201314,0.82%,0.81%,0.01788292451893329,0.53%,0.53%,0.011628600097360343
Yalova,2782,922,1234,626,210810,276050,0.44%,0.59%,0.013196717423272141,0.33%,0.45%,0.010077884441224415
Karabük,3221,880,1725,616,195265,243614,0.45%,0.88%,0.016495531713312677,0.36%,0.71%,0.013221736025023193
Kilis,2027,871,1007,149,94522,142792,0.92%,1.07%,0.021444743022788346,0.61%,0.71%,0.014195473135749903
Osmaniye,8938,2983,4738,1217,378009,548556,0.79%,1.25%,0.02364493967074858,0.54%,0.86%,0.01629368742662554
Düzce,5445,1606,3051,788,298284,395679,0.54%,1.02%,0.018254415255260087,0.41%,0.77%,0.013761154875543054
