,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,33310,12080,17513,3717,1599578,2258718,0.76%,1.09%,0.0208242423939314,0.53%,0.78%,0.014747303558921477
Adıyaman,7259,2414,4193,652,417362,632459,0.58%,1.00%,0.017392575270388774,0.38%,0.66%,0.011477423833007356
Afyon,11584,3210,6315,2059,544755,736912,0.59%,1.16%,0.021264605189488854,0.44%,0.86%,0.01571965173589248
Ağrı,7784,3271,4202,311,316215,535435,1.03%,1.33%,0.02461616305361858,0.61%,0.78%,0.014537712327359996
Amasya,5470,1389,2906,1175,261116,335494,0.53%,1.11%,0.020948543942155978,0.41%,0.87%,0.016304315427399595
Ankara,67261,19080,37961,10220,4269423,5663322,0.45%,0.89%,0.01575411946766577,0.34%,0.67%,0.011876598222739234
Antalya,39665,14555,19097,6013,1903745,2548308,0.76%,1.00%,0.020835248418249293,0.57%,0.75%,0.015565229948656127
Artvin,3427,942,1764,721,135986,169501,0.69%,1.30%,0.025201123645081112,0.56%,1.04%,0.02021816980430794
Aydın,16951,4602,9029,3320,867298,1119084,0.53%,1.04%,0.019544608658154407,0.41%,0.81%,0.015147209682204375
Balıkesir,17780,4885,8855,4040,992100,1240285,0.49%,0.89%,0.017921580485838123,0.39%,0.71%,0.01433541484416888
Bilecik,2621,668,1426,527,169031,218717,0.40%,0.84%,0.015506031438020245,0.31%,0.65%,0.011983522085617487
Bingöl,4762,2305,1938,519,193043,281768,1.19%,1.00%,0.02466807913262848,0.82%,0.69%,0.016900428721501378
Bitlis,5003,2408,2354,241,216393,350994,1.11%,1.09%,0.023119971533275104,0.69%,0.67%,0.014253804908346011
Bolu,4846,1140,2830,876,247627,314802,0.46%,1.14%,0.019569756125139826,0.36%,0.90%,0.015393803088925738
Burdur,5687,1694,2660,1333,212252,267092,0.80%,1.25%,0.02679362267493357,0.63%,1.00%,0.02129228879936501
Bursa,42195,13271,23340,5584,2314439,3101833,0.57%,1.01%,0.01823119987176158,0.43%,0.75%,0.013603246854359987
Çanakkale,7497,2071,3465,1961,437937,541548,0.47%,0.79%,0.017118900663794106,0.38%,0.64%,0.013843648208469055
Çankırı,2877,798,1359,720,151413,192428,0.53%,0.90%,0.01900101048126647,0.41%,0.71%,0.014951046625231255
Çorum,8566,2345,4596,1625,407844,530126,0.57%,1.13%,0.02100312864722786,0.44%,0.87%,0.016158422714599927
Denizli,14825,4496,7977,2352,793926,1040915,0.57%,1.00%,0.018673024941871157,0.43%,0.77%,0.014242277227247182
Diyarbakır,22342,11452,9240,1650,1099830,1783431,1.04%,0.84%,0.020314048534773557,0.64%,0.52%,0.012527538211458699
Edirne,6839,1761,3521,1557,334075,407763,0.53%,1.05%,0.020471451021477214,0.43%,0.86%,0.01677199745930847
Elazığ,7454,2989,3245,1220,432965,587960,0.69%,0.75%,0.01721617220791519,0.51%,0.55%,0.012677733179127832
Erzincan,3349,1023,1581,745,180234,234431,0.57%,0.88%,0.018581399735898885,0.44%,0.67%,0.01428565334789341
Erzurum,9057,3616,4136,1305,526063,758279,0.69%,0.79%,0.017216569118147448,0.48%,0.55%,0.011944152482133884
Eskişehir,10635,2755,5847,2033,698642,888828,0.39%,0.84%,0.015222388576695932,0.31%,0.66%,0.011965194615831185
Gaziantep,28099,10160,15904,2035,1317351,2101157,0.77%,1.21%,0.021329926496431097,0.48%,0.76%,0.013373108244648067
Giresun,9635,2682,4926,2027,359477,448721,0.75%,1.37%,0.026802827440976753,0.60%,1.10%,0.02147213970373573
Gümüşhane,2315,772,991,552,110911,141702,0.70%,0.89%,0.020872591537358782,0.54%,0.70%,0.016337101805196822
Hakkari,2100,443,1597,60,181606,280514,0.24%,0.88%,0.011563494598196096,0.16%,0.57%,0.0074862573703986255
Hatay,25627,9041,14208,2378,1120447,1659320,0.81%,1.27%,0.022872121572907956,0.54%,0.86%,0.015444278379095051
Isparta,6945,2220,3272,1453,342106,440304,0.65%,0.96%,0.02030072550612968,0.50%,0.74%,0.015773193066608526
Mersin,31487,10973,16220,4294,1356886,1868757,0.81%,1.20%,0.023205339284214,0.59%,0.87%,0.016849167655291725
İstanbul,169521,57659,95007,16855,11520854,15462452,0.50%,0.82%,0.014714273785606519,0.37%,0.61%,0.010963397008443421
İzmir,56962,16406,31059,9497,3429827,4394694,0.48%,0.91%,0.016607834739186554,0.37%,0.71%,0.012961539529259603
Kars,4288,1439,2439,410,194225,284923,0.74%,1.26%,0.02207748745012228,0.51%,0.86%,0.015049680089006503
Kastamonu,5296,1381,2709,1206,302774,376377,0.46%,0.89%,0.017491594390535516,0.37%,0.72%,0.014070997962149653
Kayseri,21802,7044,11696,3062,1016718,1421455,0.69%,1.15%,0.02144350744257503,0.50%,0.82%,0.015337805276987313
Kırklareli,5458,1395,2937,1126,294199,361737,0.47%,1.00%,0.018552068497853492,0.39%,0.81%,0.01508831001528735
Kırşehir,3276,1039,1650,587,185308,243042,0.56%,0.89%,0.017678675502406805,0.43%,0.68%,0.013479151751549115
Kocaeli,26533,8796,14705,3032,1453509,1997258,0.61%,1.01%,0.018254444932917512,0.44%,0.74%,0.01328471334199187
Konya,34740,12641,16806,5293,1611865,2250020,0.78%,1.04%,0.021552673455903566,0.56%,0.75%,0.015439862756775495
Kütahya,8025,2537,3924,1564,454645,576688,0.56%,0.86%,0.017651134401566057,0.44%,0.68%,0.013915670171739312
Malatya,13250,4571,6774,1905,585623,806156,0.78%,1.16%,0.02262547748295405,0.57%,0.84%,0.016436024789246745
