,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,42127,10196,27135,4796,1599578,2258718,0.64%,1.70%,0.026336321204717746,0.45%,1.20%,0.01865084530251231
Adıyaman,9819,2778,5959,1082,417362,632459,0.67%,1.43%,0.02352633924506783,0.44%,0.94%,0.01552511704316011
Afyon,14535,2773,9295,2467,544755,736912,0.51%,1.71%,0.026681719305008674,0.38%,1.26%,0.01972420044727186
Ağrı,4563,1798,2430,335,316215,535435,0.57%,0.77%,0.014430055500213462,0.34%,0.45%,0.008522042824992762
Amasya,6070,1139,3500,1431,261116,335494,0.44%,1.34%,0.02324637325939429,0.34%,1.04%,0.01809272296971034
Ankara,88923,16294,57685,14944,4269423,5663322,0.38%,1.35%,0.02082787299361061,0.29%,1.02%,0.01570156173355497
Antalya,45694,11497,27449,6748,1903745,2548308,0.60%,1.44%,0.02400216415538846,0.45%,1.08%,0.01793111350747241
Artvin,4184,699,2554,931,135986,169501,0.51%,1.88%,0.03076787316341388,0.41%,1.51%,0.024684220152093497
Aydın,18356,3302,10619,4435,867298,1119084,0.38%,1.22%,0.02116458241573254,0.30%,0.95%,0.016402700780281016
Balıkesir,29710,5161,16760,7789,992100,1240285,0.52%,1.69%,0.029946577965930855,0.42%,1.35%,0.023954171823411554
Bilecik,5014,801,3189,1024,169031,218717,0.47%,1.89%,0.029663197874946017,0.37%,1.46%,0.022924601196980574
Bingöl,3630,1428,1779,423,193043,281768,0.74%,0.92%,0.018804100640789877,0.51%,0.63%,0.012882939155617387
Bitlis,4140,1842,2034,264,216393,350994,0.85%,0.94%,0.01913185731516269,0.52%,0.58%,0.011795073420058463
Bolu,6854,1165,4312,1377,247627,314802,0.47%,1.74%,0.027678726471669083,0.37%,1.37%,0.0217724156771558
Burdur,6240,1069,3830,1341,212252,267092,0.50%,1.80%,0.029399016263686562,0.40%,1.43%,0.02336273643538556
Bursa,53525,11617,33834,8074,2314439,3101833,0.50%,1.46%,0.023126554642399304,0.37%,1.09%,0.017255925770342892
Çanakkale,11736,2237,6623,2876,437937,541548,0.51%,1.51%,0.02679837510874852,0.41%,1.22%,0.021671209200292495
Çankırı,3936,668,2176,1092,151413,192428,0.44%,1.44%,0.025995125913891144,0.35%,1.13%,0.020454403725029623
Çorum,11890,2372,7340,2178,407844,530126,0.58%,1.80%,0.02915330371416522,0.45%,1.38%,0.022428630174713183
Denizli,27058,4803,17995,4260,793926,1040915,0.60%,2.27%,0.034081261981595265,0.46%,1.73%,0.025994437586162173
Diyarbakır,17296,7434,8289,1573,1099830,1783431,0.68%,0.75%,0.015726066755771345,0.42%,0.46%,0.009698160455885313
Edirne,8995,1805,4854,2336,334075,407763,0.54%,1.45%,0.026925091671031954,0.44%,1.19%,0.02205938253348146
Elazığ,9951,2366,5885,1700,432965,587960,0.55%,1.36%,0.022983382028570438,0.40%,1.00%,0.01692462072249813
Erzincan,4844,1032,2764,1048,180234,234431,0.57%,1.53%,0.026876172087397496,0.44%,1.18%,0.02066279630253678
Erzurum,13706,4498,7476,1732,526063,758279,0.86%,1.42%,0.026053913694747587,0.59%,0.99%,0.01807514120791951
Eskişehir,20067,3407,12766,3894,698642,888828,0.49%,1.83%,0.02872286521566124,0.38%,1.44%,0.02257692151912406
Gaziantep,29039,8438,18056,2545,1317351,2101157,0.64%,1.37%,0.0220434796800549,0.40%,0.86%,0.013820480811286354
Giresun,8506,1575,4684,2247,359477,448721,0.44%,1.30%,0.023662153628743982,0.35%,1.04%,0.018956099669950814
Gümüşhane,2499,602,1323,574,110911,141702,0.54%,1.19%,0.02253157937445339,0.42%,0.93%,0.017635601473514843
Hakkari,4820,1719,2980,121,181606,280514,0.95%,1.64%,0.026540973315859608,0.61%,1.06%,0.01718274310729589
Hatay,32039,8661,20370,3008,1120447,1659320,0.77%,1.82%,0.02859483759606657,0.52%,1.23%,0.019308511920545765
Isparta,10534,2086,6090,2358,342106,440304,0.61%,1.78%,0.030791625987267104,0.47%,1.38%,0.023924379519604636
Mersin,38233,8910,23359,5964,1356886,1868757,0.66%,1.72%,0.028177017081759265,0.48%,1.25%,0.020459053798862023
İstanbul,218071,52004,140017,26050,11520854,15462452,0.45%,1.22%,0.018928371108600107,0.34%,0.91%,0.014103261242136757
İzmir,75410,13821,48172,13417,3429827,4394694,0.40%,1.40%,0.021986531682210212,0.31%,1.10%,0.017159328954416395
Kars,4254,1290,2417,547,194225,284923,0.66%,1.24%,0.021902432745527094,0.45%,0.85%,0.014930349603226135
Kastamonu,8230,1425,4928,1877,302774,376377,0.47%,1.63%,0.027181990527588233,0.38%,1.31%,0.021866373343748424
Kayseri,31181,6245,20696,4240,1016718,1421455,0.61%,2.04%,0.03066828756843097,0.44%,1.46%,0.021935974054753758
Kırklareli,8071,1352,5100,1619,294199,361737,0.46%,1.73%,0.027433811807654,0.37%,1.41%,0.022311790057417406
Kırşehir,5279,994,3150,1135,185308,243042,0.54%,1.70%,0.028487706952748937,0.41%,1.30%,0.02172052567046025
Kocaeli,32934,7269,21132,4533,1453509,1997258,0.50%,1.45%,0.022658270433826004,0.36%,1.06%,0.016489607251541864
Konya,39527,10028,22643,6856,1611865,2250020,0.62%,1.40%,0.024522525149438694,0.45%,1.01%,0.017567399400894215
Kütahya,13062,2323,8096,2643,454645,576688,0.51%,1.78%,0.028730108106324714,0.40%,1.40%,0.022650029131870267
Malatya,13103,3322,7643,2138,585623,806156,0.57%,1.31%,0.02237446275163373,0.41%,0.95%,0.01625367794818869
Manisa,21450,3898,13900,3652,1101092,1450616,0.35%,1.26%,0.019480661016518148,0.27%,0.96%,0.014786821598548478
Kahramanmaraş,18150,4733,11082,2335,785567,1168163,0.60%,1.41%,0.02310433101186786,0.41%,0.95%,0.015537215268759582
Mardin,7734,3139,4127,468,517582,854716,0.61%,0.80%,0.014942559826269075,0.37%,0.48%,0.009048619658459652
Muğla,23728,4385,14302,5041,787329,1000773,0.56%,1.82%,0.030137337758421194,0.44%,1.43%,0.023709672423216855
Muş,4238,1929,1985,324,244220,411117,0.79%,0.81%,0.017353206125624437,0.47%,0.48%,0.010308500986337222
Nevşehir,5800,1233,3668,899,228791,304962,0.54%,1.60%,0.025350647534212446,0.40%,1.20%,0.01901876299342213
Niğde,6770,1430,4014,1326,260708,362071,0.55%,1.54%,0.02596774935943661,0.39%,1.11%,0.018697990173198075
Ordu,13212,2811,7713,2688,589401,761400,0.48%,1.31%,0.0224159782558903,0.37%,1.01%,0.017352245862884162
Rize,7172,1411,4160,1601,268906,344359,0.52%,1.55%,0.026671030025362023,0.41%,1.21%,0.020827101948838276
Sakarya,19464,4550,11749,3165,777027,1042649,0.59%,1.51%,0.02504932261041122,0.44%,1.13%,0.01866783548442477
Samsun,22828,4890,13945,3993,1030199,1356079,0.47%,1.35%,0.022158825624952073,0.36%,1.03%,0.016833827527747276
Siirt,3822,2124,1470,228,197181,331070,1.08%,0.75%,0.019383206292695545,0.64%,0.44%,0.011544386383544266
Sinop,3925,652,2115,1158,172933,216460,0.38%,1.22%,0.022696651304262343,0.30%,0.98%,0.01813268040284579
Sivas,12357,2282,7455,2620,478755,635889,0.48%,1.56%,0.025810696494031393,0.36%,1.17%,0.019432636828125665
Tekirdağ,20619,3608,13538,3473,809854,1081065,0.45%,1.67%,0.025460144668051278,0.33%,1.25%,0.01907285870877329
Tokat,9346,1891,5480,1975,457272,597861,0.41%,1.20%,0.02043860109519061,0.32%,0.92%,0.015632396158973407
Trabzon,17006,3387,10189,3430,621825,811901,0.54%,1.64%,0.0273485305351184,0.42%,1.25%,0.0209459035030133
Tunceli,1427,269,821,337,68980,83443,0.39%,1.19%,0.020687155697303568,0.32%,0.98%,0.01710149443332574
Şanlıurfa,18953,8482,9355,1116,1157716,2115256,0.73%,0.81%,0.016371027091272815,0.40%,0.44%,0.00896014477680243
Uşak,8002,1402,5254,1346,286295,369433,0.49%,1.84%,0.027950191236312195,0.38%,1.42%,0.021660219850419427
Van,13516,5028,7574,914,693216,1149342,0.73%,1.09%,0.019497530351290218,0.44%,0.66%,0.011759772113087314
Yozgat,8116,1712,4834,1570,315031,419095,0.54%,1.53%,0.025762544003605996,0.41%,1.15%,0.01936553764659564
Zonguldak,11153,2086,7053,2014,466537,591204,0.45%,1.51%,0.023905928147178037,0.35%,1.19%,0.0188648926597249
Aksaray,8509,2148,5120,1241,299426,423011,0.72%,1.71%,0.02841770587724513,0.51%,1.21%,0.020115316150171036
Bayburt,1183,243,716,224,62060,81910,0.39%,1.15%,0.019062197873026102,0.30%,0.87%,0.01444268099133195
Karaman,4566,1045,2656,865,188095,254919,0.56%,1.41%,0.02427496743666764,0.41%,1.04%,0.017911571911077638
Kırıkkale,6012,1367,3534,1111,214988,278703,0.64%,1.64%,0.027964351498688297,0.49%,1.27%,0.021571350146930603
Batman,8218,3725,3925,568,375020,620278,0.99%,1.05%,0.021913497946776172,0.60%,0.63%,0.013248898074734231
