,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,6263,1847,2834,1582,1599578,2258718,0.12%,0.18%,0.003915407688777915,0.08%,0.13%,0.002772811833969535
Adıyaman,2618,850,1477,291,417362,632459,0.20%,0.35%,0.006272732064730378,0.13%,0.23%,0.0041393987594452765
Afyon,2094,514,730,850,544755,736912,0.09%,0.13%,0.0038439298400198252,0.07%,0.10%,0.0028415875979764206
Ağrı,1229,528,596,105,316215,535435,0.17%,0.19%,0.003886596145027908,0.10%,0.11%,0.002295329965355272
Amasya,728,134,272,322,261116,335494,0.05%,0.10%,0.002788032904915823,0.04%,0.08%,0.002169934484670367
Ankara,16699,4249,6913,5537,4269423,5663322,0.10%,0.16%,0.003911301363205286,0.08%,0.12%,0.0029486227341479084
Antalya,11131,3272,4988,2871,1903745,2548308,0.17%,0.26%,0.005846896511875277,0.13%,0.20%,0.00436799633325328
Artvin,591,126,223,242,135986,169501,0.09%,0.16%,0.0043460356213139584,0.07%,0.13%,0.0034867050931852907
Aydın,3495,786,1259,1450,867298,1119084,0.09%,0.15%,0.004029756784865179,0.07%,0.11%,0.00312308995571378
Balıkesir,4421,1037,1434,1950,992100,1240285,0.10%,0.14%,0.004456204011692369,0.08%,0.12%,0.003564503319801497
Bilecik,603,104,167,332,169031,218717,0.06%,0.10%,0.003567392963420911,0.05%,0.08%,0.002756987339804405
Bingöl,2348,873,1225,250,193043,281768,0.45%,0.63%,0.012163093196852515,0.31%,0.43%,0.008333096732063257
Bitlis,1237,896,230,111,216393,350994,0.41%,0.11%,0.005716451086680253,0.26%,0.07%,0.003524276768263845
Bolu,1187,253,331,603,247627,314802,0.10%,0.13%,0.00479349990106087,0.08%,0.11%,0.003770624074815281
Burdur,1076,252,296,528,212252,267092,0.12%,0.14%,0.005069445753161337,0.09%,0.11%,0.0040285744237940485
Bursa,8975,2359,3991,2625,2314439,3101833,0.10%,0.17%,0.0038778295733868985,0.08%,0.13%,0.0028934504210897235
Çanakkale,2482,575,789,1118,437937,541548,0.13%,0.18%,0.005667481852412562,0.11%,0.15%,0.004583157910286808
Çankırı,774,127,186,461,151413,192428,0.08%,0.12%,0.005111846406847496,0.07%,0.10%,0.004022283659342716
Çorum,1701,391,572,738,407844,530126,0.10%,0.14%,0.004170712331185453,0.07%,0.11%,0.0032086711461048883
Denizli,3525,785,1301,1439,793926,1040915,0.10%,0.16%,0.0044399603993319275,0.08%,0.12%,0.0033864436577434277
Diyarbakır,5615,2468,2578,569,1099830,1783431,0.22%,0.23%,0.005105334460780302,0.14%,0.14%,0.003148425703040936
Edirne,1703,332,408,963,334075,407763,0.10%,0.12%,0.0050976577115917085,0.08%,0.10%,0.00417644563140844
Elazığ,2871,759,1457,655,432965,587960,0.18%,0.34%,0.006631020983220353,0.13%,0.25%,0.004882985237090958
Erzincan,724,176,254,294,180234,234431,0.10%,0.14%,0.00401700012206354,0.08%,0.11%,0.0030883287619811375
Erzurum,7690,2876,3558,1256,526063,758279,0.55%,0.68%,0.014618021035503352,0.38%,0.47%,0.010141385954246393
Eskişehir,2746,560,960,1226,698642,888828,0.08%,0.14%,0.003930482278477389,0.06%,0.11%,0.0030894616281215265
Gaziantep,3393,1431,1248,714,1317351,2101157,0.11%,0.09%,0.0025756233532293216,0.07%,0.06%,0.001614824594259258
Giresun,2082,421,668,993,359477,448721,0.12%,0.19%,0.0057917474553309395,0.09%,0.15%,0.004639854163277404
Gümüşhane,1011,244,415,352,110911,141702,0.22%,0.37%,0.009115416865775262,0.17%,0.29%,0.007134691112334336
Hakkari,3169,2269,821,79,181606,280514,1.25%,0.45%,0.01744986399127782,0.81%,0.29%,0.011297118860377734
Hatay,1953,660,900,393,1120447,1659320,0.06%,0.08%,0.0017430543345646871,0.04%,0.05%,0.0011769881638261457
