,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,36106,11320,20498,4288,1599578,2258718,0.71%,1.28%,0.022572203418651668,0.50%,0.91%,0.015985173890676038
Adıyaman,8415,2433,5103,879,417362,632459,0.58%,1.22%,0.020162353065204787,0.38%,0.81%,0.01330521029821696
Afyon,11474,2755,6810,1909,544755,736912,0.51%,1.25%,0.021062679553193638,0.37%,0.92%,0.015570380181079967
Ağrı,6166,2317,3515,334,316215,535435,0.73%,1.11%,0.019499391236974844,0.43%,0.66%,0.01151587027370269
Amasya,7070,1577,3959,1534,261116,335494,0.60%,1.52%,0.027076088788124817,0.47%,1.18%,0.021073402206894905
Ankara,73847,19805,41919,12123,4269423,5663322,0.46%,0.98%,0.017296716675766256,0.35%,0.74%,0.013039519914283525
Antalya,43211,14745,21719,6747,1903745,2548308,0.77%,1.14%,0.02269789283753864,0.58%,0.85%,0.016956741492786587
Artvin,3725,961,2101,663,135986,169501,0.71%,1.55%,0.027392525701175122,0.57%,1.24%,0.021976271526421672
Aydın,19540,4705,10547,4288,867298,1119084,0.54%,1.22%,0.02252974179578415,0.42%,0.94%,0.017460708936952007
Balıkesir,21747,5139,11436,5172,992100,1240285,0.52%,1.15%,0.02192016933776837,0.41%,0.92%,0.017533873263000037
Bilecik,3904,1264,1861,779,169031,218717,0.75%,1.10%,0.02309635510645976,0.58%,0.85%,0.017849549874952565
Bingöl,5999,2527,2864,608,193043,281768,1.31%,1.48%,0.031075977890936215,0.90%,1.02%,0.021290565287754463
Bitlis,5066,2277,2510,279,216393,350994,1.05%,1.16%,0.023411108492418887,0.65%,0.72%,0.014433295156042553
Bolu,4831,1105,2712,1014,247627,314802,0.45%,1.10%,0.01950918114745161,0.35%,0.86%,0.015346154090507684
Burdur,6742,1713,3663,1366,212252,267092,0.81%,1.73%,0.03176412943105365,0.64%,1.37%,0.02524223862938613
Bursa,48755,13333,28350,7072,2314439,3101833,0.58%,1.22%,0.0210655800390505,0.43%,0.91%,0.015718125379412754
Çanakkale,9481,2133,4948,2400,437937,541548,0.49%,1.13%,0.021649232652185133,0.39%,0.91%,0.01750722004328333
Çankırı,3816,811,2112,893,151413,192428,0.54%,1.39%,0.02520259158724812,0.42%,1.10%,0.019830793855364084
Çorum,9392,2406,5171,1815,407844,530126,0.59%,1.27%,0.023028412824511332,0.45%,0.98%,0.017716542859622052
Denizli,16819,4093,9709,3017,793926,1040915,0.52%,1.22%,0.021184594030174097,0.39%,0.93%,0.016157899540308288
Diyarbakır,25992,12689,11245,2058,1099830,1783431,1.15%,1.02%,0.023632743242137422,0.71%,0.63%,0.01457415509767409
