,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,41064,10338,26494,4232,1599578,2258718,0.65%,1.66%,0.025671770929582678,0.46%,1.17%,0.018180224357356695
Adıyaman,8865,2510,5467,888,417362,632459,0.60%,1.31%,0.021240553763878837,0.40%,0.86%,0.014016718870314124
Afyon,13231,2737,8296,2198,544755,736912,0.50%,1.52%,0.02428798267110903,0.37%,1.13%,0.017954654015676228
Ağrı,5693,2175,3198,320,316215,535435,0.69%,1.01%,0.018003573518017804,0.41%,0.60%,0.010632476397695332
Amasya,7371,1329,4653,1389,261116,335494,0.51%,1.78%,0.028228833162272707,0.40%,1.39%,0.021970586657287464
Ankara,90701,16981,61189,12531,4269423,5663322,0.40%,1.43%,0.02124432271058642,0.30%,1.08%,0.016015511743813965
Antalya,47086,12083,28813,6190,1903745,2548308,0.63%,1.51%,0.024733354519644174,0.47%,1.13%,0.018477358309906024
Artvin,3377,695,2107,575,135986,169501,0.51%,1.55%,0.024833438736340505,0.41%,1.24%,0.01992318629388617
Aydın,19415,3526,11774,4115,867298,1119084,0.41%,1.36%,0.022385616016640186,0.32%,1.05%,0.017349010440681843
Balıkesir,26149,4772,15731,5646,992100,1240285,0.48%,1.59%,0.026357222054228406,0.38%,1.27%,0.021083057523069295
Bilecik,4066,683,2695,688,169031,218717,0.40%,1.59%,0.02405475918618478,0.31%,1.23%,0.018590233040870166
Bingöl,4716,1750,2479,487,193043,281768,0.91%,1.28%,0.024429790253984864,0.62%,0.88%,0.0167371738451492
Bitlis,5438,3008,2156,274,216393,350994,1.39%,1.00%,0.025130202917839302,0.86%,0.61%,0.015493142332917372
Bolu,5563,1009,3545,1009,247627,314802,0.41%,1.43%,0.02246524005863658,0.32%,1.13%,0.017671425213308684
Burdur,6022,1098,3753,1171,212252,267092,0.52%,1.77%,0.028371935246782127,0.41%,1.41%,0.022546538271457025
Bursa,50243,11143,32764,6336,2314439,3101833,0.48%,1.42%,0.02170850041845994,0.36%,1.06%,0.01619784172777838
Çanakkale,10592,2081,6187,2324,437937,541548,0.48%,1.41%,0.02418612722834563,0.38%,1.14%,0.019558746408443944
Çankırı,3517,696,1946,875,151413,192428,0.46%,1.29%,0.023227860223362592,0.36%,1.01%,0.01827696593011412
Çorum,10404,2078,6452,1874,407844,530126,0.51%,1.58%,0.02550975372936711,0.39%,1.22%,0.019625522988874343
Denizli,22528,4211,15135,3182,793926,1040915,0.53%,1.91%,0.02837544053224104,0.40%,1.45%,0.02164249722599828
Diyarbakır,21733,9622,10403,1708,1099830,1783431,0.87%,0.95%,0.01976032659592846,0.54%,0.58%,0.01218606158578605
Edirne,8434,1553,4917,1964,334075,407763,0.46%,1.47%,0.025245828032627406,0.38%,1.21%,0.020683583356018078
Elazığ,9440,2523,5543,1374,432965,587960,0.58%,1.28%,0.021803148060466782,0.43%,0.94%,0.016055513980542894
Erzincan,4062,811,2400,851,180234,234431,0.45%,1.33%,0.022537368088152068,0.35%,1.02%,0.017327059987800247
Erzurum,12156,4012,6564,1580,526063,758279,0.76%,1.25%,0.0231074985315447,0.53%,0.87%,0.016031038707388704
Eskişehir,18108,3152,11977,2979,698642,888828,0.45%,1.71%,0.02591885400534179,0.35%,1.35%,0.02037289554334472
Gaziantep,28066,8338,17520,2208,1317351,2101157,0.63%,1.33%,0.02130487622509111,0.40%,0.83%,0.01335740261198949
Giresun,9710,1910,5696,2104,359477,448721,0.53%,1.58%,0.02701146387668752,0.43%,1.27%,0.021639281424314885
Gümüşhane,2452,600,1331,521,110911,141702,0.54%,1.20%,0.02210781617693466,0.42%,0.94%,0.017303919493020563
Hakkari,5821,1994,3724,103,181606,280514,1.10%,2.05%,0.03205290574099975,0.71%,1.33%,0.020751192453852572
Hatay,26430,7755,16393,2282,1120447,1659320,0.69%,1.46%,0.023588799827211817,0.47%,0.99%,0.015928211556541234
Isparta,7607,1456,4645,1506,342106,440304,0.43%,1.36%,0.02223579826135759,0.33%,1.05%,0.017276699734728732
