,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,4870,657,3930,283,1599578,0.04%,0.25%,0.003044553000853975
Adıyaman,2128,592,1449,87,417362,0.14%,0.35%,0.005098691303951965
Afyon,2639,536,1969,134,544755,0.10%,0.36%,0.004844379583482483
Ağrı,2583,1417,1104,62,316215,0.45%,0.35%,0.008168492955742138
Amasya,1644,248,1273,123,261116,0.09%,0.49%,0.0062960523292329845
Ankara,20574,2243,17100,1231,4269423,0.05%,0.40%,0.004818918153577193
Antalya,15387,2795,11787,805,1903745,0.15%,0.62%,0.008082490039369769
Artvin,1425,172,1085,168,135986,0.13%,0.80%,0.010479019899107262
Aydın,8017,1057,6300,660,867298,0.12%,0.73%,0.00924365097117715
Balıkesir,9382,1065,7374,943,992100,0.11%,0.74%,0.009456707993145852
Bilecik,984,108,798,78,169031,0.06%,0.47%,0.005821417373144571
Bingöl,459,99,340,20,193043,0.05%,0.18%,0.002377708593422191
Bitlis,825,376,400,49,216393,0.17%,0.18%,0.003812507798311406
Bolu,997,133,795,69,247627,0.05%,0.32%,0.00402621685034346
Burdur,1090,186,837,67,212252,0.09%,0.39%,0.005135405084522171
Bursa,14077,2004,11437,636,2314439,0.09%,0.49%,0.006082251465689957
Çanakkale,4521,595,3552,374,437937,0.14%,0.81%,0.01032340268120757
Çankırı,671,99,486,86,151413,0.07%,0.32%,0.004431587776478902
Çorum,2193,346,1655,192,407844,0.08%,0.41%,0.00537705593315091
Denizli,4297,719,3390,188,793926,0.09%,0.43%,0.005412343215866466
Diyarbakır,5165,2273,2671,221,1099830,0.21%,0.24%,0.0046961803187765385
Edirne,3498,427,2764,307,334075,0.13%,0.83%,0.010470702686522488
Elazığ,1882,353,1393,136,432965,0.08%,0.32%,0.004346771679004076
Erzincan,1220,175,885,160,180234,0.10%,0.49%,0.0067689781062396665
Erzurum,2238,635,1431,172,526063,0.12%,0.27%,0.004254243313063264
Eskişehir,4131,494,3414,223,698642,0.07%,0.49%,0.005912899596646065
Gaziantep,2800,587,2134,79,1317351,0.04%,0.16%,0.002125477568241114
Giresun,3777,563,2752,462,359477,0.16%,0.77%,0.010506930902394311
Gümüşhane,516,90,362,64,110911,0.08%,0.33%,0.004652378934460964
Hakkari,1427,908,498,21,181606,0.50%,0.27%,0.007857669900774203
Hatay,3882,862,2856,164,1120447,0.08%,0.25%,0.0034646886465848005
Isparta,2098,297,1660,141,342106,0.09%,0.49%,0.0061326021759337745
Mersin,5371,794,4210,367,1356886,0.06%,0.31%,0.00395832811304708
İstanbul,74435,10999,60375,3061,11520854,0.10%,0.52%,0.0064608925692487724
İzmir,26692,2787,22345,1560,3429827,0.08%,0.65%,0.007782316717432103
Kars,949,302,591,56,194225,0.16%,0.30%,0.0048860857253185735
Kastamonu,2536,343,1946,247,302774,0.11%,0.64%,0.00837588432296036
Kayseri,2550,374,2007,169,1016718,0.04%,0.20%,0.002508070084330168
Kırklareli,2822,269,2394,159,294199,0.09%,0.81%,0.009592146812191747
Kırşehir,650,105,502,43,185308,0.06%,0.27%,0.0035076737107950008
Kocaeli,7093,861,5947,285,1453509,0.06%,0.41%,0.00487991474424995
Konya,4467,736,3465,266,1611865,0.05%,0.21%,0.002771323901195199
Kütahya,1818,233,1478,107,454645,0.05%,0.33%,0.003998724279382815
Malatya,2569,459,1878,232,585623,0.08%,0.32%,0.004386781256883695
Manisa,5786,727,4753,306,1101092,0.07%,0.43%,0.005254783433173613
Kahramanmaraş,2655,656,1823,176,785567,0.08%,0.23%,0.0033797244538021584
Mardin,1447,613,781,53,517582,0.12%,0.15%,0.0027956922767793315
Muğla,8955,1078,7203,674,787329,0.14%,0.91%,0.01137389833220928
Muş,931,362,505,64,244220,0.15%,0.21%,0.0038121365981492097
Nevşehir,1080,251,755,74,228791,0.11%,0.33%,0.004720465402922318
Niğde,1002,212,711,79,260708,0.08%,0.27%,0.0038433803335532475
Ordu,4760,665,3733,362,589401,0.11%,0.63%,0.008075995799124875
Rize,1917,260,1508,149,268906,0.10%,0.56%,0.007128885186645147
Sakarya,4771,613,3911,247,777027,0.08%,0.50%,0.006140069778785036
Samsun,6403,1018,4904,481,1030199,0.10%,0.48%,0.006215304033492558
Siirt,1278,777,467,34,197181,0.39%,0.24%,0.006481354694417819
Sinop,1733,258,1280,195,172933,0.15%,0.74%,0.010021222091792775
Sivas,3277,476,2408,393,478755,0.10%,0.50%,0.0068448371296383325
Tekirdağ,7379,954,6033,392,809854,0.12%,0.74%,0.009111518866363567
Tokat,3174,456,2466,252,457272,0.10%,0.54%,0.006941164121135779
Trabzon,5322,739,4067,516,621825,0.12%,0.65%,0.008558678084670123
Tunceli,999,122,711,166,68980,0.18%,1.03%,0.014482458683676428
Şanlıurfa,3311,1761,1491,59,1157716,0.15%,0.13%,0.0028599414709652455
Uşak,1195,168,952,75,286295,0.06%,0.33%,0.004174016311846173
Van,5790,3087,2545,158,693216,0.45%,0.37%,0.008352375017310622
Yozgat,987,150,762,75,315031,0.05%,0.24%,0.003133025003888506
Zonguldak,2919,407,2359,153,466537,0.09%,0.51%,0.006256738479477512
Aksaray,1211,284,833,94,299426,0.09%,0.28%,0.00404440496149299
Bayburt,289,58,201,30,62060,0.09%,0.32%,0.0046567837576538835
Karaman,748,162,531,55,188095,0.09%,0.28%,0.0039767138945745505
Kırıkkale,553,93,407,53,214988,0.04%,0.19%,0.0025722365899492066
Batman,1397,634,694,69,375020,0.17%,0.19%,0.0037251346594848276
Şırnak,929,485,428,16,307348,0.16%,0.14%,0.0030226323255723156
Bartın,1372,211,1069,92,159253,0.13%,0.67%,0.008615222319202778
Ardahan,488,127,295,66,71678,0.18%,0.41%,0.006808225675939619
Iğdır,694,276,391,27,130907,0.21%,0.30%,0.005301473565202778
Yalova,2033,307,1562,164,210810,0.15%,0.74%,0.009643755040083487
Karabük,1457,215,1137,105,195265,0.11%,0.58%,0.007461654674416818
Kilis,165,39,121,5,94522,0.04%,0.13%,0.001745625357059732
Osmaniye,1671,342,1211,118,378009,0.09%,0.32%,0.004420529669928494
Düzce,1409,186,1144,79,298284,0.06%,0.38%,0.004723686151452977
