,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,19647,6864,8375,4408,1599578,0.43%,0.52%,0.012282614539584815
Adıyaman,6489,3138,2241,1110,417362,0.75%,0.54%,0.015547654074879841
Afyon,6834,1804,3066,1964,544755,0.33%,0.56%,0.01254508907674092
Ağrı,4615,3109,1140,366,316215,0.98%,0.36%,0.014594500577138972
Amasya,5096,1267,2193,1636,261116,0.49%,0.84%,0.01951623033441076
Ankara,65372,14176,38371,12825,4269423,0.33%,0.90%,0.015311670921339957
Antalya,27216,8833,11838,6545,1903745,0.46%,0.62%,0.014296032294241088
Artvin,2731,581,1288,862,135986,0.43%,0.95%,0.020082949715411882
Aydın,16530,3524,7548,5458,867298,0.41%,0.87%,0.019059193033997543
Balıkesir,20278,4024,8332,7922,992100,0.41%,0.84%,0.020439471827436752
Bilecik,2944,614,1444,886,169031,0.36%,0.85%,0.017416923522904082
Bingöl,1907,925,626,356,193043,0.48%,0.32%,0.009878628077682174
Bitlis,2589,1798,587,204,216393,0.83%,0.27%,0.011964342654337247
Bolu,3848,809,1924,1115,247627,0.33%,0.78%,0.015539500942950486
Burdur,4482,1055,1689,1738,212252,0.50%,0.80%,0.02111640879709025
Bursa,30022,7727,15174,7121,2314439,0.33%,0.66%,0.012971609966821333
Çanakkale,9152,2049,4524,2579,437937,0.47%,1.03%,0.02089798304322311
Çankırı,2323,501,971,851,151413,0.33%,0.64%,0.015342143673264514
Çorum,6552,1576,3056,1920,407844,0.39%,0.75%,0.01606496601641804
Denizli,13270,2942,6858,3470,793926,0.37%,0.86%,0.016714404113229695
Diyarbakır,12267,7206,3704,1357,1099830,0.66%,0.34%,0.011153541911022613
Edirne,6482,1673,2609,2200,334075,0.50%,0.78%,0.019402828706128864
Elazığ,4569,1453,2047,1069,432965,0.34%,0.47%,0.010552816047486518
Erzincan,2958,740,1268,950,180234,0.41%,0.70%,0.016411997736276173
Erzurum,7133,3213,2428,1492,526063,0.61%,0.46%,0.013559212489758832
Eskişehir,12644,2413,6825,3406,698642,0.35%,0.98%,0.018097967199223637
Gaziantep,15508,7214,6244,2050,1317351,0.55%,0.47%,0.011772109331529714
Giresun,6857,1748,2400,2709,359477,0.49%,0.67%,0.01907493386224988
