,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Kayseri,5347,894,4117,336,1016718,0.09%,0.40%,0.005259078721926828
Kırklareli,3190,358,2663,169,294199,0.12%,0.91%,0.010843000825971536
Kırşehir,1221,173,969,79,185308,0.09%,0.52%,0.006589030155201071
Kocaeli,15498,2027,12917,554,1453509,0.14%,0.89%,0.010662472678187752
Konya,11151,2344,7949,858,1611865,0.15%,0.49%,0.006918073163695471
Kütahya,2617,405,2095,117,454645,0.09%,0.46%,0.005756139405470202
Malatya,2848,464,2213,171,585623,0.08%,0.38%,0.004863196971430425
Manisa,9557,1254,7817,486,1101092,0.11%,0.71%,0.008679565376916734
Kahramanmaraş,2670,567,1925,178,785567,0.07%,0.25%,0.0033988189422417183
Mardin,3011,1462,1432,117,517582,0.28%,0.28%,0.00581743569134939
Muğla,9378,1043,7614,721,787329,0.13%,0.97%,0.011911157851419165
Muş,754,300,411,43,244220,0.12%,0.17%,0.003087380230939317
Nevşehir,1589,264,1239,86,228791,0.12%,0.54%,0.0069452032641144105
Niğde,1457,255,1097,105,260708,0.10%,0.42%,0.005588627890206668
Ordu,6197,914,4662,621,589401,0.16%,0.79%,0.010514064278818664
Rize,1777,257,1355,165,268906,0.10%,0.50%,0.006608257160494745
Sakarya,6737,874,5449,414,777027,0.11%,0.70%,0.008670226388529614
Samsun,8874,1392,6761,721,1030199,0.14%,0.66%,0.008613869747495386
Siirt,1328,776,500,52,197181,0.39%,0.25%,0.00673492882174246
Sinop,1422,213,1053,156,172933,0.12%,0.61%,0.00822283774641046
Sivas,3946,557,2990,399,478755,0.12%,0.62%,0.008242211569591963
Tekirdağ,10084,1259,8361,464,809854,0.16%,1.03%,0.012451627083400217
Tokat,3931,557,3068,306,457272,0.12%,0.67%,0.008596633950908868
Trabzon,5166,770,4018,378,621825,0.12%,0.65%,0.00830780364250392
Tunceli,228,36,173,19,68980,0.05%,0.25%,0.0033053058857639896
Şanlıurfa,3447,1421,1904,122,1157716,0.12%,0.16%,0.002977414149929689
Uşak,2174,334,1738,102,286295,0.12%,0.61%,0.007593566076948602
Van,5534,2352,2966,216,693216,0.34%,0.43%,0.007983081752296542
Yozgat,1639,271,1237,131,315031,0.09%,0.39%,0.0052026625951096875
Zonguldak,4858,694,3844,320,466537,0.15%,0.82%,0.01041289329678032
Aksaray,1477,317,1064,96,299426,0.11%,0.36%,0.0049327713692197735
Bayburt,307,73,205,29,62060,0.12%,0.33%,0.0049468256525942635
Karaman,1078,167,872,39,188095,0.09%,0.46%,0.005731146495122146
Kırıkkale,971,156,758,57,214988,0.07%,0.35%,0.004516531155227268
Batman,3113,1616,1330,167,375020,0.43%,0.35%,0.008300890619166978
Şırnak,5389,4060,1231,98,307348,1.32%,0.40%,0.017533870400978695
Bartın,1327,171,1095,61,159253,0.11%,0.69%,0.008332653074039421
Ardahan,648,302,273,73,71678,0.42%,0.38%,0.009040430815591954
Iğdır,536,179,315,42,130907,0.14%,0.24%,0.004094509842865546
Yalova,2860,419,2225,216,210810,0.20%,1.06%,0.013566718846354537
Karabük,1796,280,1340,176,195265,0.14%,0.69%,0.009197756894476737
Kilis,436,153,276,7,94522,0.16%,0.29%,0.004612682761685111
Osmaniye,2264,530,1631,103,378009,0.14%,0.43%,0.005989275387623046
Düzce,2500,329,2086,85,298284,0.11%,0.70%,0.008381274221882501
