,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,11531,1832,9142,557,1599578,0.11%,0.57%,0.007208776314753016
Adıyaman,2747,943,1468,336,417362,0.23%,0.35%,0.00658181626501694
Afyon,3745,648,2846,251,544755,0.12%,0.52%,0.006874650072050738
Ağrı,3232,1758,1370,104,316215,0.56%,0.43%,0.010220894011985516
Amasya,2336,370,1824,142,261116,0.14%,0.70%,0.008946215475114509
Ankara,41753,5023,34651,2079,4269423,0.12%,0.81%,0.009779541638296323
Antalya,19458,3479,14958,1021,1903745,0.18%,0.79%,0.010220906686557285
Artvin,1045,120,832,93,135986,0.09%,0.61%,0.007684614592678658
Aydın,8696,1020,6928,748,867298,0.12%,0.80%,0.010026542203487152
Balıkesir,12797,1608,9820,1369,992100,0.16%,0.99%,0.012898901320431408
Bilecik,1806,269,1459,78,169031,0.16%,0.86%,0.010684430666564122
Bingöl,570,185,355,30,193043,0.10%,0.18%,0.0029527100179752696
Bitlis,1344,810,486,48,216393,0.37%,0.22%,0.006210921795067308
Bolu,2692,254,2340,98,247627,0.10%,0.94%,0.01087118932911193
Burdur,1730,291,1328,111,212252,0.14%,0.63%,0.00815068880387464
Bursa,24564,3275,20195,1094,2314439,0.14%,0.87%,0.010613371102025156
Çanakkale,6009,737,4782,490,437937,0.17%,1.09%,0.013721151672500839
Çankırı,1316,171,1027,118,151413,0.11%,0.68%,0.008691459782185149
Çorum,3177,497,2448,232,407844,0.12%,0.60%,0.007789743137081825
Denizli,7317,998,5996,323,793926,0.13%,0.76%,0.009216224182102615
Diyarbakır,5491,2013,3115,363,1099830,0.18%,0.28%,0.004992589763872598
Edirne,4178,465,3383,330,334075,0.14%,1.01%,0.012506173763376488
Elazığ,2493,481,1821,191,432965,0.11%,0.42%,0.005757971198595729
Erzincan,1297,204,962,131,180234,0.11%,0.53%,0.00719620049491217
Erzurum,2393,595,1606,192,526063,0.11%,0.31%,0.004548884829383553
Eskişehir,8535,905,7219,411,698642,0.13%,1.03%,0.012216557263949204
Gaziantep,7445,1719,5478,248,1317351,0.13%,0.42%,0.00565149303412682
Giresun,2817,527,2022,268,359477,0.15%,0.56%,0.007836384525296473
Gümüşhane,411,65,303,43,110911,0.06%,0.27%,0.0037056739187276283
Hakkari,1075,642,422,11,181606,0.35%,0.23%,0.005919407949076572
Hatay,6773,1407,5110,256,1120447,0.13%,0.46%,0.0060449088622665775
Isparta,2703,397,2125,181,342106,0.12%,0.62%,0.007901059905409435
Mersin,10213,1724,7927,562,1356886,0.13%,0.58%,0.007526792965658132
İstanbul,128919,19271,105367,4281,11520854,0.17%,0.91%,0.011190055876066132
İzmir,40650,4733,33722,2195,3429827,0.14%,0.98%,0.011851909731890268
Kars,1023,332,642,49,194225,0.17%,0.33%,0.005267087141202214
Kastamonu,2689,344,2091,254,302774,0.11%,0.69%,0.008881211728880288
