,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Hakkari,2297,586,1498,213,181606,280514,0.32%,0.82%,0.012648260520026872,0.21%,0.53%,0.008188539609431259
Hatay,24101,9376,11145,3580,1120447,1659320,0.84%,0.99%,0.021510165139448808,0.57%,0.67%,0.014524624544994334
Isparta,5460,1655,2064,1741,342106,440304,0.48%,0.60%,0.015959965624689425,0.38%,0.47%,0.0124005232748283
Mersin,30101,10896,12742,6463,1356886,1868757,0.80%,0.94%,0.022183882802239836,0.58%,0.68%,0.016107498192648912
İstanbul,142702,54754,65383,22565,11520854,15462452,0.48%,0.57%,0.012386408160367278,0.35%,0.42%,0.009228937299207138
İzmir,54999,17431,23170,14398,3429827,4394694,0.51%,0.68%,0.01603550266529478,0.40%,0.53%,0.012514864516164265
Kars,3007,1188,1384,435,194225,284923,0.61%,0.71%,0.015482044021109538,0.42%,0.49%,0.010553728551222611
Kastamonu,4317,1163,1693,1461,302774,376377,0.38%,0.56%,0.01425815955134853,0.31%,0.45%,0.011469882591125387
Kayseri,16889,6144,7036,3709,1016718,1421455,0.60%,0.69%,0.01661129241343224,0.43%,0.49%,0.011881487630631992
Kırklareli,4261,1104,1864,1293,294199,361737,0.38%,0.63%,0.014483393893249128,0.31%,0.52%,0.011779276103909747
Kırşehir,2423,776,963,684,185308,243042,0.42%,0.52%,0.013075528309625056,0.32%,0.40%,0.009969470297314867
Kocaeli,23071,8310,10645,4116,1453509,1997258,0.57%,0.73%,0.015872622735738133,0.42%,0.53%,0.011551336882866409
Konya,28132,11335,10724,6073,1611865,2250020,0.70%,0.67%,0.017453074544084027,0.50%,0.48%,0.01250299997333357
Kütahya,7322,2553,3059,1710,454645,576688,0.56%,0.67%,0.016104873032805816,0.44%,0.53%,0.01269664012429598
Malatya,10888,4346,4220,2322,585623,806156,0.74%,0.72%,0.01859216594976632,0.54%,0.52%,0.013506070785307063
Manisa,17357,5664,7594,4099,1101092,1450616,0.51%,0.69%,0.01576344211019606,0.39%,0.52%,0.011965261654359252
Kahramanmaraş,19409,7181,9137,3091,785567,1168163,0.91%,1.16%,0.024706995074894947,0.61%,0.78%,0.01661497582101128
Mardin,8355,4608,2942,805,517582,854716,0.89%,0.57%,0.016142369711466008,0.54%,0.34%,0.00977517678386739
Muğla,15184,4570,6513,4101,787329,1000773,0.58%,0.83%,0.01928545754062152,0.46%,0.65%,0.015172271833872417
Muş,4245,2191,1655,399,244220,411117,0.90%,0.68%,0.017381868806813527,0.53%,0.40%,0.010325527769467087
Nevşehir,3996,1304,1847,845,228791,304962,0.57%,0.81%,0.017465721990812574,0.43%,0.61%,0.013103271883054282
Niğde,5696,2087,2353,1256,260708,362071,0.80%,0.90%,0.021848197983951392,0.58%,0.65%,0.015731721126519386
Ordu,8679,2515,3942,2222,589401,761400,0.43%,0.67%,0.014725119231219492,0.33%,0.52%,0.011398739164696612
Rize,5591,1941,2157,1493,268906,344359,0.72%,0.80%,0.02079165210147784,0.56%,0.63%,0.0162359630501889
Sakarya,11907,4135,5024,2748,777027,1042649,0.53%,0.65%,0.015323791837349282,0.40%,0.48%,0.011419950529852329
Samsun,18417,6361,7760,4296,1030199,1356079,0.62%,0.75%,0.01787712859360182,0.47%,0.57%,0.013581067179714456
Siirt,3162,1527,1412,223,197181,331070,0.77%,0.72%,0.016036027812010283,0.46%,0.43%,0.009550850273356087
Sinop,2646,730,1066,850,172933,216460,0.42%,0.62%,0.015300723401548576,0.34%,0.49%,0.012223967476670055
Sivas,8039,2499,3336,2204,478755,635889,0.52%,0.70%,0.016791469540788084,0.39%,0.52%,0.012642143518758777
Tekirdağ,14692,4846,6866,2980,809854,1081065,0.60%,0.85%,0.018141541561812375,0.45%,0.64%,0.013590302155744567
Tokat,7108,2413,2659,2036,457272,597861,0.53%,0.58%,0.015544358718661978,0.40%,0.44%,0.011889051133959232
Trabzon,9261,3284,3622,2355,621825,811901,0.53%,0.58%,0.014893257749366784,0.40%,0.45%,0.011406563115453731
Tunceli,844,239,339,266,68980,83443,0.35%,0.49%,0.012235430559582488,0.29%,0.41%,0.010114689069184953
Şanlıurfa,19061,9619,7976,1466,1157716,2115256,0.83%,0.69%,0.016464314218685758,0.45%,0.38%,0.00901120242656208
Uşak,4959,1551,2054,1354,286295,369433,0.54%,0.72%,0.017321294468991773,0.42%,0.56%,0.013423272961538358
Van,15536,6563,7706,1267,693216,1149342,0.95%,1.11%,0.022411485020541938,0.57%,0.67%,0.013517299463519126
Yozgat,5106,1785,2053,1268,315031,419095,0.57%,0.65%,0.016207928743520478,0.43%,0.49%,0.012183395172932151
Zonguldak,5355,1717,2180,1458,466537,591204,0.37%,0.47%,0.011478189296883205,0.29%,0.37%,0.009057787159762113
Aksaray,5632,2318,2300,1014,299426,423011,0.77%,0.77%,0.018809321835779123,0.55%,0.54%,0.01331407457489285
Bayburt,1021,360,390,271,62060,81910,0.58%,0.63%,0.016451820818562682,0.44%,0.48%,0.012464900500549384
Karaman,2927,1066,1169,692,188095,254919,0.57%,0.62%,0.015561285520614584,0.42%,0.46%,0.011482078621052178
Kırıkkale,3143,1087,1262,794,214988,278703,0.51%,0.59%,0.014619420618825237,0.39%,0.45%,0.011277237776414319
Batman,6255,3094,2438,723,375020,620278,0.83%,0.65%,0.016679110447442802,0.50%,0.39%,0.010084188057612877
Şırnak,5537,2185,3029,323,307348,537762,0.71%,0.99%,0.018015409242942853,0.41%,0.56%,0.010296376463937579
Bartın,2215,692,969,554,159253,198979,0.43%,0.61%,0.013908686178596322,0.35%,0.49%,0.011131827981847331
Ardahan,1885,608,1002,275,71678,96161,0.85%,1.40%,0.02629816680152906,0.63%,1.04%,0.019602541570907125
Iğdır,1573,685,686,202,130907,201314,0.52%,0.52%,0.012016164147066239,0.34%,0.34%,0.00781366422603495
Yalova,3392,1166,1399,827,210810,276050,0.55%,0.66%,0.01609031829609601,0.42%,0.51%,0.012287629052707843
Karabük,2546,741,1029,776,195265,243614,0.38%,0.53%,0.013038691009653547,0.30%,0.42%,0.01045095930447347
Kilis,1805,776,818,211,94522,142792,0.82%,0.87%,0.019096083451471613,0.54%,0.57%,0.012640764188469942
Osmaniye,6539,2434,2847,1258,378009,548556,0.64%,0.75%,0.01729852992918158,0.44%,0.52%,0.011920387344227389
Düzce,3709,1198,1687,824,298284,395679,0.40%,0.57%,0.01243445843558488,0.30%,0.43%,0.009373760042863027
