,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,33173,12642,14684,5847,1599578,2258718,0.79%,0.92%,0.020738594804379656,0.56%,0.65%,0.014686649683581571
Adıyaman,6301,2249,3106,946,417362,632459,0.54%,0.74%,0.015097205782989348,0.36%,0.49%,0.009962701139520507
Afyon,10236,2961,5090,2185,544755,736912,0.54%,0.93%,0.018790098301071124,0.40%,0.69%,0.013890396682371844
Ağrı,6526,3094,2896,536,316215,535435,0.98%,0.92%,0.020637857154151448,0.58%,0.54%,0.012188220792439792
Amasya,3894,969,1622,1303,261116,335494,0.37%,0.62%,0.014912912268876668,0.29%,0.48%,0.011606764949596714
Ankara,62993,21425,27786,13782,4269423,5663322,0.50%,0.65%,0.014754452767973564,0.38%,0.49%,0.011122976938270506
Antalya,38443,14658,15989,7796,1903745,2548308,0.77%,0.84%,0.020193355727789172,0.58%,0.63%,0.015085696077554205
Artvin,2154,696,870,588,135986,169501,0.51%,0.64%,0.015839865868545293,0.41%,0.51%,0.01270788962896974
Aydın,15354,4216,6475,4663,867298,1119084,0.49%,0.75%,0.01770325770381115,0.38%,0.58%,0.013720149693856761
Balıkesir,15220,4679,5928,4613,992100,1240285,0.47%,0.60%,0.01534119544400766,0.38%,0.48%,0.012271373111825105
Bilecik,2166,567,920,679,169031,218717,0.34%,0.54%,0.012814217510397501,0.26%,0.42%,0.009903208255416816
Bingöl,3055,1339,1238,478,193043,281768,0.69%,0.64%,0.01582548965774465,0.48%,0.44%,0.010842253201215185
Bitlis,3152,1581,1253,318,216393,350994,0.73%,0.58%,0.014566090400336426,0.45%,0.36%,0.008980210487928568
Bolu,3101,894,1287,920,247627,314802,0.36%,0.52%,0.012522867054077302,0.28%,0.41%,0.009850636272958875
Burdur,3890,1302,1530,1058,212252,267092,0.61%,0.72%,0.01832727135668922,0.49%,0.57%,0.01456426998936696
Bursa,36591,12268,16760,7563,2314439,3101833,0.53%,0.72%,0.015809878765437328,0.40%,0.54%,0.011796573187531372
Çanakkale,6445,1878,2188,2379,437937,541548,0.43%,0.50%,0.014716728661885156,0.35%,0.40%,0.011901068787992939
Çankırı,2195,654,895,646,151413,192428,0.43%,0.59%,0.01449677372484529,0.34%,0.47%,0.011406863865965452
Çorum,6684,2031,2686,1967,407844,530126,0.50%,0.66%,0.01638861917792097,0.38%,0.51%,0.012608323304271061
Denizli,11712,3745,4964,3003,793926,1040915,0.47%,0.63%,0.014752004594886677,0.36%,0.48%,0.011251639182834334
Diyarbakır,19307,9513,7554,2240,1099830,1783431,0.86%,0.69%,0.017554531154814836,0.53%,0.42%,0.010825762252646724
Edirne,6564,1665,2765,2134,334075,407763,0.50%,0.83%,0.019648282571278906,0.41%,0.68%,0.016097586097806815
Elazığ,6331,2508,2295,1528,432965,587960,0.58%,0.53%,0.014622429064705,0.43%,0.39%,0.010767739301993333
Erzincan,2479,826,926,727,180234,234431,0.46%,0.51%,0.0137543415781706,0.35%,0.39%,0.010574540056562486
Erzurum,7202,2976,2753,1473,526063,758279,0.57%,0.52%,0.013690375487346572,0.39%,0.36%,0.009497823360530887
Eskişehir,10181,3101,4237,2843,698642,888828,0.44%,0.61%,0.014572556473844974,0.35%,0.48%,0.011454409627059453
Gaziantep,29084,11792,14088,3204,1317351,2101157,0.90%,1.07%,0.02207763914097306,0.56%,0.67%,0.013841897583093505
Giresun,5971,1701,2483,1787,359477,448721,0.47%,0.69%,0.016610242101719998,0.38%,0.55%,0.013306709514375303
Gümüşhane,1555,523,514,518,110911,141702,0.47%,0.46%,0.014020250471098448,0.37%,0.36%,0.01097373360997022
