,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,26686,14730,3829,8127,1599578,0.92%,0.24%,0.016683150180860203
Adıyaman,5167,3456,744,967,417362,0.83%,0.18%,0.012380140022330734
Afyon,8156,4210,1206,2740,544755,0.77%,0.22%,0.014971868087488871
Ağrı,4834,3296,1095,443,316215,1.04%,0.35%,0.015287067343421406
Amasya,4722,1915,978,1829,261116,0.73%,0.37%,0.018083916726665542
Ankara,83349,29549,14880,38920,4269423,0.69%,0.35%,0.019522310157602092
Antalya,34347,18295,4452,11600,1903745,0.96%,0.23%,0.018041807069749363
Artvin,2075,1021,332,722,135986,0.75%,0.24%,0.015258923712735134
Aydın,17430,6181,2785,8464,867298,0.71%,0.32%,0.020096898643834068
Balıkesir,19084,6844,3079,9161,992100,0.69%,0.31%,0.019235964116520513
Bilecik,2551,1147,510,894,169031,0.68%,0.30%,0.015091906218385976
Bingöl,3191,2494,390,307,193043,1.29%,0.20%,0.01652999590764752
Bitlis,1676,1227,173,276,216393,0.57%,0.08%,0.007745167357539292
Bolu,3890,1329,716,1845,247627,0.54%,0.29%,0.01570911088047749
Burdur,4367,1717,645,2005,212252,0.81%,0.30%,0.020574600003769105
Bursa,34103,17387,6942,9774,2314439,0.75%,0.30%,0.014734888238575309
Çanakkale,9096,3246,1678,4172,437937,0.74%,0.38%,0.020770110769357236
Çankırı,2776,1339,404,1033,151413,0.88%,0.27%,0.018333960756341926
Çorum,6206,2916,1400,1890,407844,0.71%,0.34%,0.015216602426417944
Denizli,13231,6384,2161,4686,793926,0.80%,0.27%,0.01666528114710943
Diyarbakır,11790,8192,1502,2096,1099830,0.74%,0.14%,0.010719838520498622
Edirne,7408,2582,1193,3633,334075,0.77%,0.36%,0.022174661378432988
Elazığ,4867,2518,771,1578,432965,0.58%,0.18%,0.011241093390920744
Erzincan,2472,1286,477,709,180234,0.71%,0.26%,0.013715503179200374
Erzurum,5899,3771,750,1378,526063,0.72%,0.14%,0.01121348583724763
Eskişehir,14147,4663,2567,6917,698642,0.67%,0.37%,0.020249283610203797
Gaziantep,21153,15710,2186,3257,1317351,1.19%,0.17%,0.016057223928930102
Giresun,6503,2857,926,2720,359477,0.79%,0.26%,0.01809016988569505
Gümüşhane,1102,654,211,237,110911,0.59%,0.19%,0.009935894546077486
Hakkari,3563,2993,407,163,181606,1.65%,0.22%,0.019619395834939376
Hatay,19899,13895,2595,3409,1120447,1.24%,0.23%,0.017759876192269694
Isparta,6639,2002,1220,3417,342106,0.59%,0.36%,0.019406265894196535
Mersin,25812,12943,3269,9600,1356886,0.95%,0.24%,0.01902296876819423
İstanbul,176876,77549,33624,65703,11520854,0.67%,0.29%,0.015352681320325733
İzmir,63680,25870,10853,26957,3429827,0.75%,0.32%,0.018566534113819734
Kars,3736,2613,483,640,194225,1.35%,0.25%,0.019235422834341615
Kastamonu,4070,1702,628,1740,302774,0.56%,0.21%,0.013442369556170609
Kayseri,16365,8998,2539,4828,1016718,0.89%,0.25%,0.016095908600024786
Kırklareli,6011,2775,1111,2125,294199,0.94%,0.38%,0.02043174857834323
Kırşehir,3201,1143,593,1465,185308,0.62%,0.32%,0.017273943920391995
Kocaeli,20398,9484,3712,7202,1453509,0.65%,0.26%,0.014033624834796345
Konya,21053,10197,3793,7063,1611865,0.63%,0.24%,0.013061267537914156
Kütahya,5940,2879,1351,1710,454645,0.63%,0.30%,0.01306513873461712
Malatya,8731,4488,1165,3078,585623,0.77%,0.20%,0.014908908973862024
Manisa,18142,9470,2963,5709,1101092,0.86%,0.27%,0.01647637073014789
Kahramanmaraş,11069,7811,1217,2041,785567,0.99%,0.15%,0.014090459502499469
Mardin,4564,3288,631,645,517582,0.64%,0.12%,0.008817926434845106
Muğla,18215,6287,2925,9003,787329,0.80%,0.37%,0.02313518236975902
Muş,2745,2176,335,234,244220,0.89%,0.14%,0.011239865694865285
Nevşehir,3861,1818,661,1382,228791,0.79%,0.29%,0.016875663815447285
Niğde,4162,2150,659,1353,260708,0.82%,0.25%,0.015964220507234148
Ordu,10058,5075,1642,3341,589401,0.86%,0.28%,0.01706478272008361
Rize,4567,2029,660,1878,268906,0.75%,0.25%,0.016983629967349187
Sakarya,9957,4966,1787,3204,777027,0.64%,0.23%,0.012814226532668749
Samsun,18644,9153,2762,6729,1030199,0.89%,0.27%,0.01809747437145639
Siirt,1930,1558,195,177,197181,0.79%,0.10%,0.009787961314731135
Sinop,2643,1031,456,1156,172933,0.60%,0.26%,0.015283375642589905
Sivas,7552,3502,1202,2848,478755,0.73%,0.25%,0.015774247788534847
Tekirdağ,16970,9726,2277,4967,809854,1.20%,0.28%,0.020954394248839915
Tokat,6907,3318,1149,2440,457272,0.73%,0.25%,0.015104795395300828
Trabzon,10450,4664,1670,4116,621825,0.75%,0.27%,0.016805371286133557
Tunceli,1539,908,173,458,68980,1.32%,0.25%,0.02231081472890693
Şanlıurfa,12535,10135,1333,1067,1157716,0.88%,0.12%,0.01082735316778899
Uşak,4334,2234,829,1271,286295,0.78%,0.29%,0.015138231544386035
Van,10739,8276,1492,971,693216,1.19%,0.22%,0.015491563956977334
