,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran
Adana,5437,1987,2650,800,1599578,0.12%,0.17%
Adıyaman,3474,2246,693,535,417362,0.54%,0.17%
Afyon,2221,728,1130,363,544755,0.13%,0.21%
Ağrı,2687,1956,561,170,316215,0.62%,0.18%
Amasya,1471,416,760,295,261116,0.16%,0.29%
Ankara,31695,7388,20286,4021,4269423,0.17%,0.48%
Antalya,11310,4074,5174,2062,1903745,0.21%,0.27%
Artvin,538,127,277,134,135986,0.09%,0.20%
Aydın,6032,1221,3152,1659,867298,0.14%,0.36%
Balıkesir,8243,1801,3558,2884,992100,0.18%,0.36%
Bilecik,1061,306,568,187,169031,0.18%,0.34%
Bingöl,683,402,199,82,193043,0.21%,0.10%
Bitlis,696,491,157,48,216393,0.23%,0.07%
Bolu,1431,386,715,330,247627,0.16%,0.29%
Burdur,1000,239,568,193,212252,0.11%,0.27%
Bursa,15500,4768,8469,2263,2314439,0.21%,0.37%
Çanakkale,3896,913,2079,904,437937,0.21%,0.47%
Çankırı,779,170,429,180,151413,0.11%,0.28%
Çorum,1905,565,998,342,407844,0.14%,0.24%
Denizli,4322,1271,2386,665,793926,0.16%,0.30%
Diyarbakır,4146,2595,1212,339,1099830,0.24%,0.11%
Edirne,2098,498,1094,506,334075,0.15%,0.33%
Elazığ,1523,476,787,260,432965,0.11%,0.18%
Erzincan,993,234,442,317,180234,0.13%,0.25%
Erzurum,1820,761,711,348,526063,0.14%,0.14%
Eskişehir,4910,1151,3017,742,698642,0.16%,0.43%
Gaziantep,5541,2586,2476,479,1317351,0.20%,0.19%
Giresun,1554,557,618,379,359477,0.15%,0.17%
Gümüşhane,291,84,120,87,110911,0.08%,0.11%
Hakkari,4131,3717,361,53,181606,2.05%,0.20%
Hatay,4472,1844,2210,418,1120447,0.16%,0.20%
Isparta,1761,381,1040,340,342106,0.11%,0.30%
Mersin,6884,2075,3690,1119,1356886,0.15%,0.27%
İstanbul,89836,29620,51331,8885,11520854,0.26%,0.45%
İzmir,26799,6621,15146,5032,3429827,0.19%,0.44%
Kars,1043,561,380,102,194225,0.29%,0.20%
Kastamonu,1471,397,697,377,302774,0.13%,0.23%
Kayseri,3301,1135,1700,466,1016718,0.11%,0.17%
Kırklareli,1588,443,856,289,294199,0.15%,0.29%
Kırşehir,915,249,485,181,185308,0.13%,0.26%
Kocaeli,9399,2706,5687,1006,1453509,0.19%,0.39%
Konya,7580,2644,3835,1101,1611865,0.16%,0.24%
Kütahya,2227,868,1008,351,454645,0.19%,0.22%
Malatya,1764,554,901,309,585623,0.09%,0.15%
Manisa,6497,1754,3841,902,1101092,0.16%,0.35%
Kahramanmaraş,2566,1110,1040,416,785567,0.14%,0.13%
Mardin,2524,1768,563,193,517582,0.34%,0.11%
Muğla,6618,1428,3572,1618,787329,0.18%,0.45%
Muş,775,508,209,58,244220,0.21%,0.09%
Nevşehir,1046,270,605,171,228791,0.12%,0.26%
Niğde,1158,337,603,218,260708,0.13%,0.23%
Ordu,3804,1046,1813,945,589401,0.18%,0.31%
Rize,1077,342,502,233,268906,0.13%,0.19%
Sakarya,3816,1130,2027,659,777027,0.15%,0.26%
Samsun,4684,1654,2092,938,1030199,0.16%,0.20%
Siirt,1225,931,219,75,197181,0.47%,0.11%
Sinop,1041,227,524,290,172933,0.13%,0.30%
Sivas,2441,729,1151,561,478755,0.15%,0.24%
Tekirdağ,5506,1902,2671,933,809854,0.23%,0.33%
Tokat,2243,692,1159,392,457272,0.15%,0.25%
Trabzon,2838,811,1532,495,621825,0.13%,0.25%
Tunceli,155,47,78,30,68980,0.07%,0.11%
Şanlıurfa,6300,5020,1008,272,1157716,0.43%,0.09%
Uşak,1267,389,723,155,286295,0.14%,0.25%
Van,4557,3203,989,365,693216,0.46%,0.14%
Yozgat,1041,332,508,201,315031,0.11%,0.16%
Zonguldak,3212,785,1886,541,466537,0.17%,0.40%
Aksaray,818,313,395,110,299426,0.10%,0.13%
Bayburt,171,51,83,37,62060,0.08%,0.13%
Karaman,744,252,369,123,188095,0.13%,0.20%
Kırıkkale,662,155,380,127,214988,0.07%,0.18%
Batman,1026,585,359,82,375020,0.16%,0.10%
Şırnak,3650,3185,373,92,307348,1.04%,0.12%
Bartın,613,170,320,123,159253,0.11%,0.20%
Ardahan,295,133,110,52,71678,0.19%,0.15%
Iğdır,327,159,127,41,130907,0.12%,0.10%
Yalova,1822,454,1010,358,210810,0.22%,0.48%
Karabük,1067,301,568,198,195265,0.15%,0.29%
Kilis,406,233,156,17,94522,0.25%,0.17%
Osmaniye,1442,615,626,201,378009,0.16%,0.17%
Düzce,972,372,439,161,298284,0.12%,0.15%
