,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,9467,8744,723,0,1599578,0.55%,0.05%,0.005918435987491701
Adıyaman,1783,1641,142,0,417362,0.39%,0.03%,0.004272070768301858
Afyon,3657,3341,316,0,544755,0.61%,0.06%,0.0067131095630145665
Ağrı,1564,1432,132,0,316215,0.45%,0.04%,0.004946001929067249
Amasya,1775,1575,200,0,261116,0.60%,0.08%,0.006797745063496684
Ankara,38588,34944,3644,0,4269423,0.82%,0.09%,0.009038223666289332
Antalya,17850,16062,1788,0,1903745,0.84%,0.09%,0.009376255748537751
Artvin,606,548,58,0,135986,0.40%,0.04%,0.00445634109393614
Aydın,6012,5306,706,0,867298,0.61%,0.08%,0.006931873473707999
Balıkesir,7875,7003,872,0,992100,0.71%,0.09%,0.007937707892349561
Bilecik,1057,951,106,0,169031,0.56%,0.06%,0.006253290816477451
Bingöl,451,399,52,0,193043,0.21%,0.03%,0.002336267049310257
Bitlis,773,722,51,0,216393,0.33%,0.02%,0.003572204276478444
Bolu,1783,1538,245,0,247627,0.62%,0.10%,0.007200345681206008
Burdur,1503,1342,161,0,212252,0.63%,0.08%,0.007081205359666811
Bursa,20637,18759,1878,0,2314439,0.81%,0.08%,0.008916631632978877
Çanakkale,3480,2932,548,0,437937,0.67%,0.13%,0.007946348447379417
Çankırı,919,806,113,0,151413,0.53%,0.07%,0.006069492051541149
Çorum,2880,2656,224,0,407844,0.65%,0.05%,0.007061523523700239
Denizli,7559,7019,540,0,793926,0.88%,0.07%,0.009521038484695047
Diyarbakır,3765,3400,365,0,1099830,0.31%,0.03%,0.003423256321431494
Edirne,2540,2044,496,0,334075,0.61%,0.15%,0.00760308314001347
Elazığ,2022,1834,188,0,432965,0.42%,0.04%,0.00467012345108727
Erzincan,1063,955,108,0,180234,0.53%,0.06%,0.005897888300764561
Erzurum,3076,2860,216,0,526063,0.54%,0.04%,0.005847208414201341
Eskişehir,5798,5126,672,0,698642,0.73%,0.10%,0.008298957119669301
Gaziantep,8855,8195,660,0,1317351,0.62%,0.05%,0.0067218228095625235
Giresun,1612,1423,189,0,359477,0.40%,0.05%,0.004484292458210122
Gümüşhane,184,175,9,0,110911,0.16%,0.01%,0.0016589878370946074
Hakkari,1347,1264,83,0,181606,0.70%,0.05%,0.007417155820842924
Hatay,7056,6557,499,0,1120447,0.59%,0.04%,0.0062974866281046765
Isparta,2844,2491,353,0,342106,0.73%,0.10%,0.008313212863849216
Mersin,8279,7532,747,0,1356886,0.56%,0.06%,0.006101470573062144
İstanbul,115113,105195,9918,0,11520854,0.91%,0.09%,0.009991707211982722
İzmir,30689,27782,2907,0,3429827,0.81%,0.08%,0.008947681617760895
Kars,913,835,78,0,194225,0.43%,0.04%,0.0047007336851589655
Kastamonu,1723,1572,151,0,302774,0.52%,0.05%,0.005690713205228982
Kayseri,6221,5599,622,0,1016718,0.55%,0.06%,0.006118707448869795
Kırklareli,1957,1714,243,0,294199,0.58%,0.08%,0.006651960067845234
Kırşehir,1352,1204,148,0,185308,0.65%,0.08%,0.007295961318453601
Kocaeli,12484,11308,1176,0,1453509,0.78%,0.08%,0.008588870106755445
Konya,10465,9272,1193,0,1611865,0.58%,0.07%,0.0064924792088667475
Kütahya,2612,2295,317,0,454645,0.50%,0.07%,0.005745141813942746
Malatya,2543,2263,280,0,585623,0.39%,0.05%,0.004342384093520917
Manisa,7657,6744,913,0,1101092,0.61%,0.08%,0.006954005659835872
Kahramanmaraş,5672,5356,316,0,785567,0.68%,0.04%,0.0072202625619457025
Mardin,1519,1462,57,0,517582,0.28%,0.01%,0.0029348006692659326
Muğla,6785,5930,855,0,787329,0.75%,0.11%,0.0086177442974919
Muş,892,826,66,0,244220,0.34%,0.03%,0.0036524445172385553
Nevşehir,1016,920,96,0,228791,0.40%,0.04%,0.00444073411978618
Niğde,1308,1193,115,0,260708,0.46%,0.04%,0.005017107261764119
Ordu,4582,4132,450,0,589401,0.70%,0.08%,0.0077739942755441546
Rize,1358,1233,125,0,268906,0.46%,0.05%,0.005050091853658899
Sakarya,4822,4410,412,0,777027,0.57%,0.05%,0.00620570456367668
Samsun,8367,7298,1069,0,1030199,0.71%,0.10%,0.008121731820745312
Siirt,539,512,27,0,197181,0.26%,0.01%,0.002733529092559628
Sinop,826,717,109,0,172933,0.41%,0.06%,0.004776416299954318
Sivas,2700,2371,329,0,478755,0.50%,0.07%,0.005639627784566219
Tekirdağ,8652,8012,640,0,809854,0.99%,0.08%,0.010683407132643662
Tokat,3094,2835,259,0,457272,0.62%,0.06%,0.00676621354467363
Trabzon,3860,3393,467,0,621825,0.55%,0.08%,0.006207534274112491
Tunceli,273,226,47,0,68980,0.33%,0.07%,0.003957668889533198
Şanlıurfa,4114,3878,236,0,1157716,0.33%,0.02%,0.0035535485386744246
Uşak,1901,1733,168,0,286295,0.61%,0.06%,0.006640004191480815
Van,4442,4162,280,0,693216,0.60%,0.04%,0.00640781516872086
Yozgat,1566,1429,137,0,315031,0.45%,0.04%,0.004970939367871734
Zonguldak,3728,3328,400,0,466537,0.71%,0.09%,0.007990791727129895
Aksaray,1467,1341,126,0,299426,0.45%,0.04%,0.004899374135846586
Bayburt,375,345,30,0,62060,0.56%,0.05%,0.006042539477924589
Karaman,1105,1023,82,0,188095,0.54%,0.04%,0.005874690980621495
Kırıkkale,796,650,146,0,214988,0.30%,0.07%,0.0037025322343572664
Batman,1485,1369,116,0,375020,0.37%,0.03%,0.003959788811263399
Şırnak,2779,2600,179,0,307348,0.85%,0.06%,0.009041867850124289
Bartın,950,831,119,0,159253,0.52%,0.07%,0.005965350731226413
Ardahan,197,161,36,0,71678,0.22%,0.05%,0.002748402578196936
Iğdır,450,380,70,0,130907,0.29%,0.05%,0.00343755490539085
Yalova,1609,1438,171,0,210810,0.68%,0.08%,0.007632465253071486
Karabük,1489,1347,142,0,195265,0.69%,0.07%,0.007625534529997696
Kilis,618,556,62,0,94522,0.59%,0.07%,0.0065381604282600874
Osmaniye,1866,1700,166,0,378009,0.45%,0.04%,0.004936390403403094
Düzce,1747,1585,162,0,298284,0.53%,0.05%,0.005856834426251492
