,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,25388,5586,16391,3411,1599578,0.35%,1.02%,0.01587168615722397
Adıyaman,7592,3055,3571,966,417362,0.73%,0.86%,0.018190443787407574
Afyon,7211,1385,4370,1456,544755,0.25%,0.80%,0.013237143302952703
Ağrı,5609,3674,1651,284,316215,1.16%,0.52%,0.017737931470676597
Amasya,6711,1463,4096,1152,261116,0.56%,1.57%,0.02570122091331056
Ankara,76620,11924,55070,9626,4269423,0.28%,1.29%,0.017946218962140787
Antalya,33137,8078,20314,4745,1903745,0.42%,1.07%,0.017406217744498343
Artvin,2922,480,1717,725,135986,0.35%,1.26%,0.021487506066800995
Aydın,17881,3015,10953,3913,867298,0.35%,1.26%,0.020616904454985485
Balıkesir,22686,3713,12685,6288,992100,0.37%,1.28%,0.022866646507408526
Bilecik,3310,572,2063,675,169031,0.34%,1.22%,0.019582206814134685
Bingöl,2025,928,799,298,193043,0.48%,0.41%,0.010489890853333196
Bitlis,2357,1611,611,135,216393,0.74%,0.28%,0.010892219249236343
Bolu,4498,739,2809,950,247627,0.30%,1.13%,0.018164416642773202
Burdur,4021,680,2314,1027,212252,0.32%,1.09%,0.018944462242994176
Bursa,36707,6648,24806,5253,2314439,0.29%,1.07%,0.015859998902541826
Çanakkale,10509,1750,6455,2304,437937,0.40%,1.47%,0.023996602251008706
Çankırı,2403,425,1201,777,151413,0.28%,0.79%,0.01587049989102653
Çorum,6806,1294,4126,1386,407844,0.32%,1.01%,0.01668775316052216
Denizli,14127,2465,9108,2554,793926,0.31%,1.15%,0.017793849804641743
Diyarbakır,14958,8035,5685,1238,1099830,0.73%,0.52%,0.013600283680205123
Edirne,7408,1100,4538,1770,334075,0.33%,1.36%,0.022174661378432988
Elazığ,4912,1264,2788,860,432965,0.29%,0.64%,0.011345027889090342
Erzincan,3491,733,2059,699,180234,0.41%,1.14%,0.019369264400723504
Erzurum,7095,2913,2977,1205,526063,0.55%,0.57%,0.013486977795435147
Eskişehir,16979,2108,12602,2269,698642,0.30%,1.80%,0.024302861837679383
Gaziantep,18473,5758,11065,1650,1317351,0.44%,0.84%,0.01402283825647075
Giresun,7515,1531,3833,2151,359477,0.43%,1.07%,0.020905370858219023
Gümüşhane,1534,396,687,451,110911,0.36%,0.62%,0.01383090946795178
Hakkari,5086,3897,1097,92,181606,2.15%,0.60%,0.028005682631631112
Hatay,16596,5132,9501,1963,1120447,0.46%,0.85%,0.014811945589572733
Isparta,6075,1217,3349,1509,342106,0.36%,0.98%,0.01775765406043741
Mersin,24111,5786,14209,4116,1356886,0.43%,1.05%,0.01776936308577139
İstanbul,193170,32509,145028,15633,11520854,0.28%,1.26%,0.016766986197377383
İzmir,68742,10038,47510,11194,3429827,0.29%,1.39%,0.0200424103023272
Kars,2889,1321,1139,429,194225,0.68%,0.59%,0.014874501222808598
Kastamonu,5401,878,2940,1583,302774,0.29%,0.97%,0.0178383877083237
Kayseri,16617,3449,10555,2613,1016718,0.34%,1.04%,0.016343764937770355
Kırklareli,5589,817,3589,1183,294199,0.28%,1.22%,0.01899734533428054
Kırşehir,3526,571,2204,751,185308,0.31%,1.19%,0.019027780775789496
Kocaeli,24635,4520,17147,2968,1453509,0.31%,1.18%,0.016948639464908714
Konya,21777,5850,11393,4534,1611865,0.36%,0.71%,0.013510436668083246
Kütahya,7702,1176,5047,1479,454645,0.26%,1.11%,0.01694068998889243
Malatya,8464,2013,4696,1755,585623,0.34%,0.80%,0.014452984257790421
Manisa,19749,3645,12725,3379,1101092,0.33%,1.16%,0.017935830975068387
Kahramanmaraş,9656,3427,4750,1479,785567,0.44%,0.60%,0.012291758691492896
Mardin,6506,3945,2158,403,517582,0.76%,0.42%,0.01256998890996982
Muğla,19413,3232,12389,3792,787329,0.41%,1.57%,0.024656782615653686
Muş,2277,1236,859,182,244220,0.51%,0.35%,0.009323560723937434
Nevşehir,3942,837,2436,669,228791,0.37%,1.06%,0.01722969872066646
Niğde,3986,1036,2073,877,260708,0.40%,0.80%,0.01528913573806711
Ordu,11372,2389,6363,2620,589401,0.41%,1.08%,0.019294164753707578
Rize,4300,804,2516,980,268906,0.30%,0.94%,0.01599071794604806
Sakarya,11855,2342,7655,1858,777027,0.30%,0.99%,0.015256870095891134
Samsun,15195,3800,8267,3128,1030199,0.37%,0.80%,0.014749577508811404
Siirt,3314,2272,884,158,197181,1.15%,0.45%,0.016806893159077192
Sinop,3279,560,1853,866,172933,0.32%,1.07%,0.018961100541828337
Sivas,8878,1924,4732,2222,478755,0.40%,0.99%,0.018543931656066256
Tekirdağ,16263,3258,10550,2455,809854,0.40%,1.30%,0.020081397387677283
Tokat,6951,1552,3733,1666,457272,0.34%,0.82%,0.01520101821235501
Trabzon,10752,2093,6313,2346,621825,0.34%,1.02%,0.017291038475455312
Tunceli,1644,477,778,389,68980,0.69%,1.13%,0.023832995071035083
Şanlıurfa,12453,8107,3609,737,1157716,0.70%,0.31%,0.010756524052531018
Uşak,4816,914,2880,1022,286295,0.32%,1.01%,0.01682180967184198
Van,8661,4702,3251,708,693216,0.68%,0.47%,0.012493941282370863
Yozgat,4387,1047,2400,940,315031,0.33%,0.76%,0.013925613669765833
Zonguldak,7737,1459,4608,1670,466537,0.31%,0.99%,0.01658389366759764
Aksaray,3755,1034,2049,672,299426,0.35%,0.68%,0.012540661131631856
Bayburt,771,161,380,230,62060,0.26%,0.61%,0.012423461166612955
Karaman,3230,856,1630,744,188095,0.46%,0.87%,0.01717217363566283
Kırıkkale,3505,824,1903,778,214988,0.38%,0.89%,0.0163032355294249
Batman,5129,2857,1817,455,375020,0.76%,0.48%,0.013676603914457896
Şırnak,7299,5443,1684,172,307348,1.77%,0.55%,0.023748324374975597
Bartın,4184,776,2449,959,159253,0.49%,1.54%,0.02627266048363296
Ardahan,1976,844,759,373,71678,1.18%,1.06%,0.027567733474706327
Iğdır,1712,809,729,174,130907,0.62%,0.56%,0.013077986662286966
Yalova,4490,698,2939,853,210810,0.33%,1.39%,0.021298799867178975
Karabük,3290,630,1868,792,195265,0.32%,0.96%,0.016848897651908945
Kilis,1236,483,618,135,94522,0.51%,0.65%,0.013076320856520175
Osmaniye,6669,1942,3575,1152,378009,0.51%,0.95%,0.017642437084831313
Düzce,4218,819,2610,789,298284,0.27%,0.88%,0.014140885867160157
