,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,9945,3756,5425,764,1599578,2258718,0.23%,0.34%,0.0062172648035919474,0.17%,0.24%,0.004402940074856622
Adıyaman,1970,722,1136,112,417362,632459,0.17%,0.27%,0.004720123058639742,0.11%,0.18%,0.0031148264156253607
Afyon,4205,1180,2479,546,544755,736912,0.22%,0.46%,0.007719066369285275,0.16%,0.34%,0.005706244436242048
Ağrı,4024,1788,2011,225,316215,535435,0.57%,0.64%,0.012725519029774045,0.33%,0.38%,0.007515384687216936
Amasya,1300,347,785,168,261116,335494,0.13%,0.30%,0.004978630187349684,0.10%,0.23%,0.0038748830083399407
Ankara,32292,9815,18966,3511,4269423,5663322,0.23%,0.44%,0.007563551327661841,0.17%,0.33%,0.005701953729630772
Antalya,16377,6027,8593,1757,1903745,2548308,0.32%,0.45%,0.008602517669120601,0.24%,0.34%,0.006426617190700653
Artvin,720,247,336,137,135986,169501,0.18%,0.25%,0.005294662685864721,0.15%,0.20%,0.004247762550073451
Aydın,6530,1838,3727,965,867298,1119084,0.21%,0.43%,0.007529130702480577,0.16%,0.33%,0.005835129445153357
Balıkesir,7013,2101,3739,1173,992100,1240285,0.21%,0.38%,0.007068843866545711,0.17%,0.30%,0.00565434557379957
Bilecik,1050,305,621,124,169031,218717,0.18%,0.37%,0.006211878294514024,0.14%,0.28%,0.004800724223540009
Bingöl,951,518,354,79,193043,281768,0.27%,0.18%,0.004926363556306108,0.18%,0.13%,0.0033751171176286876
Bitlis,1498,743,684,71,216393,350994,0.34%,0.32%,0.00692258991741877,0.21%,0.19%,0.004267879223006661
Bolu,1553,463,881,209,247627,314802,0.19%,0.36%,0.006271529356653354,0.15%,0.28%,0.00493325963621578
Burdur,1405,417,807,181,212252,267092,0.20%,0.38%,0.006619490040140965,0.16%,0.30%,0.0052603597262366525
Bursa,22888,7455,13593,1840,2314439,3101833,0.32%,0.59%,0.009889221534894634,0.24%,0.44%,0.007378862756312155
Çanakkale,2971,870,1535,566,437937,541548,0.20%,0.35%,0.006784080815277083,0.16%,0.28%,0.005486124960298995
Çankırı,985,271,537,177,151413,192428,0.18%,0.35%,0.006505385931194811,0.14%,0.28%,0.005118797680171285
Çorum,2509,711,1523,275,407844,530126,0.17%,0.37%,0.006151861986445798,0.13%,0.29%,0.004732837099104741
Denizli,6019,1881,3614,524,793926,1040915,0.24%,0.46%,0.007581311104561382,0.18%,0.35%,0.005782412588924168
Diyarbakır,7067,3592,3020,455,1099830,1783431,0.33%,0.27%,0.006425538492312448,0.20%,0.17%,0.003962586721886072
Edirne,2442,687,1339,416,334075,407763,0.21%,0.40%,0.007309735837760982,0.17%,0.33%,0.005988772890134711
Elazığ,2588,1107,1137,344,432965,587960,0.26%,0.26%,0.005977388472509325,0.19%,0.19%,0.004401659976869175
Erzincan,1063,400,518,145,180234,234431,0.22%,0.29%,0.005897888300764561,0.17%,0.22%,0.004534383251361808
Erzurum,3021,1367,1267,387,526063,758279,0.26%,0.24%,0.005742658198732852,0.18%,0.17%,0.003984021712324883
