,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Eskişehir,4131,1119,2522,490,698642,888828,0.16%,0.36%,0.005912899596646065,0.13%,0.28%,0.004647693366995639
Gaziantep,11027,4204,6155,668,1317351,2101157,0.32%,0.47%,0.008370586123212417,0.20%,0.29%,0.0052480609492769935
Giresun,2259,691,1253,315,359477,448721,0.19%,0.35%,0.0062841294436083535,0.15%,0.28%,0.005034308623844215
Gümüşhane,375,129,168,78,110911,141702,0.12%,0.15%,0.0033810893419047704,0.09%,0.12%,0.002646398780539442
Hakkari,939,299,604,36,181606,280514,0.16%,0.33%,0.005170534013193397,0.11%,0.22%,0.003347426509906814
Hatay,9062,3583,5045,434,1120447,1659320,0.32%,0.45%,0.008087843512455296,0.22%,0.30%,0.005461273292674107
Isparta,2021,669,1109,243,342106,440304,0.20%,0.32%,0.005907525737636873,0.15%,0.25%,0.004590010538173626
Mersin,9866,3668,5435,763,1356886,1868757,0.27%,0.40%,0.007271060354370227,0.20%,0.29%,0.005279445107095251
İstanbul,111814,37395,66777,7642,11520854,15462452,0.32%,0.58%,0.009705356911909482,0.24%,0.43%,0.0072313239840615185
İzmir,26639,7807,16196,2636,3429827,4394694,0.23%,0.47%,0.007766864042996921,0.18%,0.37%,0.006061627954073708
Kars,797,302,423,72,194225,284923,0.16%,0.22%,0.004103488222422448,0.11%,0.15%,0.0027972469754986434
Kastamonu,1633,559,850,224,302774,376377,0.18%,0.28%,0.0053934617899819666,0.15%,0.23%,0.004338734832362232
Kayseri,5946,2037,3430,479,1016718,1421455,0.20%,0.34%,0.005848229302520463,0.14%,0.24%,0.0041830378028147215
Kırklareli,2206,628,1290,288,294199,361737,0.21%,0.44%,0.007498325963038624,0.17%,0.36%,0.006098353223474513
Kırşehir,988,313,542,133,185308,243042,0.17%,0.29%,0.005331664040408401,0.13%,0.22%,0.004065141004435447
Kocaeli,12353,4178,7243,932,1453509,1997258,0.29%,0.50%,0.008498743385833868,0.21%,0.36%,0.006184979607041253
Konya,13983,5519,7153,1311,1611865,2250020,0.34%,0.44%,0.008675044125903844,0.25%,0.32%,0.006214611425676217
Kütahya,2608,919,1444,245,454645,576688,0.20%,0.32%,0.005736343740720782,0.16%,0.25%,0.004522376050828177
Malatya,3009,1057,1615,337,585623,806156,0.18%,0.28%,0.005138117867638395,0.13%,0.20%,0.0037325281955353554
Manisa,8652,2706,5124,822,1101092,1450616,0.25%,0.47%,0.007857654037991376,0.19%,0.35%,0.0059643627259040296
Kahramanmaraş,6657,2477,3749,431,785567,1168163,0.32%,0.48%,0.008474133969476823,0.21%,0.32%,0.0056986910217152915
Mardin,2932,1517,1277,138,517582,854716,0.29%,0.25%,0.00566480287181548,0.18%,0.15%,0.0034303792136803337
Muğla,5633,1601,3251,781,787329,1000773,0.20%,0.41%,0.007154569436664977,0.16%,0.32%,0.005628649054281041
Muş,1233,638,555,40,244220,411117,0.26%,0.23%,0.005048726558021456,0.16%,0.13%,0.002999146228445917
Nevşehir,1322,468,713,141,228791,304962,0.20%,0.31%,0.005778199317280837,0.15%,0.23%,0.0043349663236731135
Niğde,1614,593,835,186,260708,362071,0.23%,0.32%,0.0061908341899749916,0.16%,0.23%,0.004457689237746188
Ordu,6537,1969,3691,877,589401,761400,0.33%,0.63%,0.0110909211216133,0.26%,0.48%,0.008585500394011032
Rize,1900,729,916,255,268906,344359,0.27%,0.34%,0.007065666069184027,0.21%,0.27%,0.00551749772766212
Sakarya,5840,2100,3092,648,777027,1042649,0.27%,0.40%,0.007515826348376569,0.20%,0.30%,0.005601117921755068
Samsun,9349,3150,5099,1100,1030199,1356079,0.31%,0.49%,0.00907494571437169,0.23%,0.38%,0.006894141123046666
Siirt,2175,1101,964,110,197181,331070,0.56%,0.49%,0.011030474538621875,0.33%,0.29%,0.006569607635847404
Sinop,945,293,464,188,172933,216460,0.17%,0.27%,0.005464544071981634,0.14%,0.21%,0.004365702670239305
Sivas,3610,1274,1809,527,478755,635889,0.27%,0.38%,0.007540391223068167,0.20%,0.28%,0.005677091442059856
Tekirdağ,6529,1903,4011,615,809854,1081065,0.23%,0.50%,0.008061946968218964,0.18%,0.37%,0.00603941483629569
Tokat,3127,1016,1723,388,457272,597861,0.22%,0.38%,0.006838380657464266,0.17%,0.29%,0.005230312731554659
Trabzon,4154,1501,2138,515,621825,811901,0.24%,0.34%,0.006680336107425723,0.18%,0.26%,0.005116387342791793
Tunceli,187,49,122,16,68980,83443,0.07%,0.18%,0.002710930704552044,0.06%,0.15%,0.002241050777177235
Şanlıurfa,6850,3653,2932,265,1157716,2115256,0.32%,0.25%,0.005916822433135588,0.17%,0.14%,0.003238378711607484
Uşak,1770,564,1053,153,286295,369433,0.20%,0.37%,0.006182434202483452,0.15%,0.29%,0.004791125860440188
Van,10231,4125,5592,514,693216,1149342,0.60%,0.81%,0.014758747634215022,0.36%,0.49%,0.0089016150110237
Yozgat,1511,541,735,235,315031,419095,0.17%,0.23%,0.004796353374747247,0.13%,0.18%,0.00360538779990217
Zonguldak,4193,1258,2372,563,466537,591204,0.27%,0.51%,0.008987497240304627,0.21%,0.40%,0.007092306547317
Aksaray,2001,775,1079,147,299426,423011,0.26%,0.36%,0.006682786397974792,0.18%,0.26%,0.00473037344182539
Bayburt,267,113,115,39,62060,81910,0.18%,0.19%,0.004302288108282307,0.14%,0.14%,0.0032596752533268223
Karaman,1151,415,649,87,188095,254919,0.22%,0.35%,0.006119248252212978,0.16%,0.25%,0.004515159717400429
Kırıkkale,568,220,278,70,214988,278703,0.10%,0.13%,0.002642007926023778,0.08%,0.10%,0.002038011790328773
Batman,2828,1576,1070,182,375020,620278,0.42%,0.29%,0.0075409311503386485,0.25%,0.17%,0.004559246015496277
Şırnak,5510,2106,3253,151,307348,537762,0.69%,1.06%,0.017927560940692634,0.39%,0.60%,0.01024616837932022
Bartın,982,297,592,93,159253,198979,0.19%,0.37%,0.006166288861120355,0.15%,0.30%,0.004935194166218545
Ardahan,194,60,104,30,71678,96161,0.08%,0.15%,0.002706548731828455,0.06%,0.11%,0.0020174499017273115
Iğdır,830,441,348,41,130907,201314,0.34%,0.27%,0.006340379047720901,0.22%,0.17%,0.004122912465104265
Yalova,1643,555,833,255,210810,276050,0.26%,0.40%,0.007793747924671505,0.20%,0.30%,0.005951820322405361
Karabük,1301,398,731,172,195265,243614,0.20%,0.37%,0.006662740378460041,0.16%,0.30%,0.005340415575459539
Kilis,654,281,347,26,94522,142792,0.30%,0.37%,0.006919024142527665,0.20%,0.24%,0.004580088520365287
Osmaniye,1866,633,1040,193,378009,548556,0.17%,0.28%,0.004936390403403094,0.12%,0.19%,0.0034016581716360774
Düzce,1276,440,712,124,298284,395679,0.15%,0.24%,0.004277802362848829,0.11%,0.18%,0.003224836294066655
