,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Sinop,1286,194,750,342,172933,216460,0.11%,0.43%,0.007436406006950669,0.09%,0.35%,0.005941051464473806
Sivas,1087,192,515,380,478755,635889,0.04%,0.11%,0.002270472371045733,0.03%,0.08%,0.0017094178386479401
Tekirdağ,6457,1085,4493,879,809854,1081065,0.13%,0.55%,0.007973042054493774,0.10%,0.42%,0.005972813845605954
Tokat,1157,228,608,321,457272,597861,0.05%,0.13%,0.0025302227120838363,0.04%,0.10%,0.0019352324369711353
Trabzon,1754,346,1024,384,621825,811901,0.06%,0.16%,0.0028207293048687332,0.04%,0.13%,0.0021603619160464145
Tunceli,44,0,27,17,68980,83443,0.00%,0.04%,0.0006378660481298927,0.00%,0.03%,0.0005273060652181728
Şanlıurfa,1200,664,412,124,1157716,2115256,0.06%,0.04%,0.0010365236379215627,0.03%,0.02%,0.000567307219551676
Uşak,936,169,630,137,286295,369433,0.06%,0.22%,0.0032693550358895546,0.05%,0.17%,0.0025336123194192183
Van,769,315,405,49,693216,1149342,0.05%,0.06%,0.0011093223468586991,0.03%,0.04%,0.0006690784814267642
Yozgat,653,148,346,159,315031,419095,0.05%,0.11%,0.002072811882005263,0.04%,0.08%,0.0015581192808313152
Zonguldak,964,191,485,288,466537,591204,0.04%,0.10%,0.0020662884187106273,0.03%,0.08%,0.0016305708351093701
Aksaray,391,117,179,95,299426,423011,0.04%,0.06%,0.001305831824891626,0.03%,0.04%,0.0009243258449543866
Bayburt,93,33,39,21,62060,81910,0.05%,0.06%,0.001498549790525298,0.04%,0.05%,0.0011353925039677695
Karaman,357,80,207,70,188095,254919,0.04%,0.11%,0.0018979770860469444,0.03%,0.08%,0.0014004448471867535
Kırıkkale,362,72,203,87,214988,278703,0.03%,0.09%,0.0016838149105996613,0.03%,0.07%,0.0012988737114419293
Batman,379,183,157,39,375020,620278,0.05%,0.04%,0.0010106127673190763,0.03%,0.03%,0.0006110163507330584
Şırnak,856,302,531,23,307348,537762,0.10%,0.17%,0.0027851165454143186,0.06%,0.10%,0.001591782238239221
Bartın,553,50,454,49,159253,198979,0.03%,0.29%,0.003472462057229691,0.03%,0.23%,0.002779187753481523
Ardahan,88,19,30,39,71678,96161,0.03%,0.04%,0.0012277128268087837,0.02%,0.03%,0.0009151319141855846
Iğdır,258,134,94,30,130907,201314,0.10%,0.07%,0.0019708648124240873,0.07%,0.05%,0.001281580019273374
Yalova,604,127,239,238,210810,276050,0.06%,0.11%,0.0028651392248944547,0.05%,0.09%,0.00218800941858359
Karabük,748,105,468,175,195265,243614,0.05%,0.24%,0.0038306916242030063,0.04%,0.19%,0.0030704310918091733
Kilis,83,39,36,8,94522,142792,0.04%,0.04%,0.000878102452339138,0.03%,0.03%,0.0005812650568659309
Osmaniye,637,162,283,192,378009,548556,0.04%,0.07%,0.0016851450626836927,0.03%,0.05%,0.0011612305762766244
Düzce,773,150,483,140,298284,395679,0.05%,0.16%,0.0025914899894060694,0.04%,0.12%,0.001953603805104643
