,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,3026,752,1774,500,1599578,2258718,0.05%,0.11%,0.0018917489487852422,0.03%,0.08%,0.0013396980056828696
Adıyaman,408,126,230,52,417362,632459,0.03%,0.06%,0.0009775686334644745,0.02%,0.04%,0.000645101105368095
Afyon,1451,327,771,353,544755,736912,0.06%,0.14%,0.002663582711494158,0.04%,0.10%,0.001969027509390538
Ağrı,1328,584,671,73,316215,535435,0.18%,0.21%,0.004199674272251474,0.11%,0.13%,0.0024802263580079747
Amasya,398,74,187,137,261116,335494,0.03%,0.07%,0.0015242267804347492,0.02%,0.06%,0.0011863103363994587
Ankara,23103,4476,14583,4044,4269423,5663322,0.10%,0.34%,0.005411269860119272,0.08%,0.26%,0.004079407810468838
Antalya,9129,2305,5214,1610,1903745,2548308,0.12%,0.27%,0.004795285082823592,0.09%,0.20%,0.0035823770125118313
Artvin,471,79,277,115,135986,169501,0.06%,0.20%,0.003463591840336505,0.05%,0.16%,0.002778744668173049
Aydın,3096,538,1671,887,867298,1119084,0.06%,0.19%,0.003569707297837652,0.05%,0.15%,0.0027665483556194173
Balıkesir,4016,675,2017,1324,992100,1240285,0.07%,0.20%,0.004047979034371535,0.05%,0.16%,0.003237965467614298
Bilecik,443,80,235,128,169031,218717,0.05%,0.14%,0.002620821032828298,0.04%,0.11%,0.0020254484105030703
Bingöl,79,32,34,13,193043,281768,0.02%,0.02%,0.0004092352481053444,0.01%,0.01%,0.00028037250503960706
Bitlis,410,287,91,32,216393,350994,0.13%,0.04%,0.0018947008452214259,0.08%,0.03%,0.0011681111358028912
Bolu,462,102,235,125,247627,314802,0.04%,0.09%,0.0018657093127970698,0.03%,0.07%,0.0014675891512760401
Burdur,505,100,262,143,212252,267092,0.05%,0.12%,0.0023792473098015565,0.04%,0.10%,0.0018907342788252737
Bursa,3201,1017,1445,739,2314439,3101833,0.04%,0.06%,0.001383056541995706,0.03%,0.05%,0.0010319704510204128
Çanakkale,2918,593,1563,762,437937,541548,0.14%,0.36%,0.006663058841796879,0.11%,0.29%,0.005388257365921396
Çankırı,469,63,254,152,151413,192428,0.04%,0.17%,0.0030974883266298137,0.03%,0.13%,0.0024372752406094747
Çorum,717,145,376,196,407844,530126,0.04%,0.09%,0.0017580251272545386,0.03%,0.07%,0.0013525086488872457
Denizli,2511,436,1614,461,793926,1040915,0.05%,0.20%,0.0031627632802049563,0.04%,0.16%,0.0024123007161968076
Diyarbakır,1127,516,487,124,1099830,1783431,0.05%,0.04%,0.0010247038178627607,0.03%,0.03%,0.0006319280084286972
Edirne,1758,275,1021,462,334075,407763,0.08%,0.31%,0.00526229140163137,0.07%,0.25%,0.004311327903708772
Elazığ,1033,281,579,173,432965,587960,0.06%,0.13%,0.002385874146870994,0.05%,0.10%,0.0017569222396081367
Erzincan,268,47,151,70,180234,234431,0.03%,0.08%,0.0014869558462887135,0.02%,0.06%,0.0011431935196283768
Erzurum,838,278,408,152,526063,758279,0.05%,0.08%,0.0015929651011380767,0.04%,0.05%,0.00110513412609343
Eskişehir,1650,325,887,438,698642,888828,0.05%,0.13%,0.00236172460287243,0.04%,0.10%,0.0018563771618355857
Gaziantep,3881,1109,2390,382,1317351,2101157,0.08%,0.18%,0.0029460637294084872,0.05%,0.11%,0.0018470775863012616
Giresun,776,171,342,263,359477,448721,0.05%,0.10%,0.0021586916548207535,0.04%,0.08%,0.0017293596689256798
Gümüşhane,153,32,87,34,110911,141702,0.03%,0.08%,0.0013794844514971464,0.02%,0.06%,0.0010797307024600924
Hakkari,1393,1284,94,15,181606,280514,0.71%,0.05%,0.0076704514168034095,0.46%,0.03%,0.004965884055697755
Hatay,1622,414,1087,121,1120447,1659320,0.04%,0.10%,0.001447636523637441,0.02%,0.07%,0.0009775088590506954
Isparta,556,117,329,110,342106,440304,0.03%,0.10%,0.0016252272687412672,0.03%,0.07%,0.0012627639085722592
Mersin,2522,680,1246,596,1356886,1868757,0.05%,0.09%,0.001858667566766847,0.04%,0.07%,0.0013495601621826702
İstanbul,41891,9831,25962,6098,11520854,15462452,0.09%,0.23%,0.003636101976468064,0.06%,0.17%,0.0027092080867898573
İzmir,8771,2091,4965,1715,3429827,4394694,0.06%,0.14%,0.0025572718390752653,0.05%,0.11%,0.0019958158634025484
Kars,130,33,59,38,194225,284923,0.02%,0.03%,0.0006693268116874758,0.01%,0.02%,0.0004562636221014099
Kastamonu,1104,210,571,323,302774,376377,0.07%,0.19%,0.003646284027030062,0.06%,0.15%,0.0029332291824420726
Kayseri,1703,415,999,289,1016718,1421455,0.04%,0.10%,0.001674997393574226,0.03%,0.07%,0.0011980681766218418
Kırklareli,1954,354,1194,406,294199,361737,0.12%,0.41%,0.006641762888385073,0.10%,0.33%,0.005401714505289755
Kırşehir,296,59,131,106,185308,243042,0.03%,0.07%,0.001597340643685108,0.02%,0.05%,0.001217896495255964
Kocaeli,2371,667,1280,424,1453509,1997258,0.05%,0.09%,0.0016312248496569337,0.03%,0.06%,0.0011871275518736187
Konya,4987,1451,2649,887,1611865,2250020,0.09%,0.16%,0.0030939315637475845,0.06%,0.12%,0.002216424742891174
Kütahya,791,193,423,175,454645,576688,0.04%,0.09%,0.0017398189796434581,0.03%,0.07%,0.0013716255583608467
Malatya,730,176,374,180,585623,806156,0.03%,0.06%,0.0012465357405702987,0.02%,0.05%,0.0009055319317849151
Manisa,5802,1259,3819,724,1101092,1450616,0.11%,0.35%,0.005269314462370084,0.09%,0.26%,0.003999680135887099
Kahramanmaraş,947,291,478,178,785567,1168163,0.04%,0.06%,0.001205498703484235,0.02%,0.04%,0.0008106745377143429
Mardin,316,123,155,38,517582,854716,0.02%,0.03%,0.0006105312781356384,0.01%,0.02%,0.00036971344867768943
Muğla,3287,524,1785,978,787329,1000773,0.07%,0.23%,0.004174874798210151,0.05%,0.18%,0.0032844611115607635
Muş,437,165,241,31,244220,411117,0.07%,0.10%,0.0017893702399475883,0.04%,0.06%,0.0010629577468214645
Nevşehir,314,67,175,72,228791,304962,0.03%,0.08%,0.0013724316078866739,0.02%,0.06%,0.0010296364792990603
Niğde,404,77,184,143,260708,362071,0.03%,0.07%,0.0015496264019516086,0.02%,0.05%,0.0011158032540579059
Ordu,2105,422,981,702,589401,761400,0.07%,0.17%,0.0035714225120079537,0.06%,0.13%,0.0027646440767008142
Rize,502,139,197,166,268906,344359,0.05%,0.07%,0.0018668233509107272,0.04%,0.06%,0.0014577809785717812
Sakarya,1765,460,910,395,777027,1042649,0.06%,0.12%,0.0022714783398775076,0.04%,0.09%,0.0016928036184756328
Samsun,3977,942,2295,740,1030199,1356079,0.09%,0.22%,0.0038604192005622213,0.07%,0.17%,0.0029327199964013896
Siirt,59,34,20,5,197181,331070,0.02%,0.01%,0.00029921747024307615,0.01%,0.01%,0.00017821004621379165
