,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,12454,2592,9347,515,1599578,0.16%,0.58%,0.007785803505674622
Adıyaman,1914,501,1352,61,417362,0.12%,0.32%,0.0045859469716936375
Afyon,4171,751,3148,272,544755,0.14%,0.58%,0.007656652990794027
Ağrı,2656,1016,1576,64,316215,0.32%,0.50%,0.008399348544502949
Amasya,2241,393,1682,166,261116,0.15%,0.64%,0.008582392499885108
Ankara,37579,5643,30098,1838,4269423,0.13%,0.70%,0.008801891965260879
Antalya,20374,4883,14531,960,1903745,0.26%,0.76%,0.01070206356418533
Artvin,897,142,682,73,135986,0.10%,0.50%,0.006596267262806465
Aydın,8463,1527,6215,721,867298,0.18%,0.72%,0.009757891751162807
Balıkesir,13290,2078,10045,1167,992100,0.21%,1.01%,0.013395827033565165
Bilecik,1751,241,1408,102,169031,0.14%,0.83%,0.01035904656542291
Bingöl,591,197,372,22,193043,0.10%,0.19%,0.0030614940712690953
Bitlis,1048,540,471,37,216393,0.25%,0.22%,0.004843040209248913
Bolu,1843,294,1454,95,247627,0.12%,0.59%,0.007442645591958874
Burdur,2016,361,1512,143,212252,0.17%,0.71%,0.009498143715960274
Bursa,24086,4399,18539,1148,2314439,0.19%,0.80%,0.010406841571542823
Çanakkale,6266,961,4804,501,437937,0.22%,1.10%,0.014307994072206733
Çankırı,1411,220,1047,144,151413,0.15%,0.69%,0.009318882790777543
Çorum,3477,631,2615,231,407844,0.15%,0.64%,0.008525318504133933
Denizli,8521,1340,6814,367,793926,0.17%,0.86%,0.01073273831566166
Diyarbakır,6465,2603,3563,299,1099830,0.24%,0.32%,0.005878181173454079
Edirne,3722,571,2835,316,334075,0.17%,0.85%,0.011141210805956746
Elazığ,2647,541,1920,186,432965,0.12%,0.44%,0.0061136581478872425
Erzincan,1170,191,876,103,180234,0.11%,0.49%,0.006491560970738041
Erzurum,4211,1300,2584,327,526063,0.25%,0.49%,0.00800474467886926
Eskişehir,7142,1022,5701,419,698642,0.15%,0.82%,0.010222689159827207
Gaziantep,8022,2071,5734,217,1317351,0.16%,0.44%,0.006089493233010792
Giresun,3489,768,2385,336,359477,0.21%,0.66%,0.00970576698926496
Gümüşhane,361,78,260,23,110911,0.07%,0.23%,0.003254862006473659
Hakkari,404,153,244,7,181606,0.08%,0.13%,0.002224596103652963
Hatay,8227,2042,5884,301,1120447,0.18%,0.53%,0.007342605228092002
Isparta,2510,397,1946,167,342106,0.12%,0.57%,0.007336907274353563
Mersin,10561,2191,7879,491,1356886,0.16%,0.58%,0.007783262558534763
İstanbul,131785,28347,99036,4402,11520854,0.25%,0.86%,0.011438822156760254
İzmir,39953,7400,30508,2045,3429827,0.22%,0.89%,0.011648692485072863
Kars,779,169,580,30,194225,0.09%,0.30%,0.004010812202342644
Kastamonu,2459,358,1873,228,302774,0.12%,0.62%,0.008121569223249024
Kayseri,5323,1084,3962,277,1016718,0.11%,0.39%,0.005235473356427249
Kırklareli,3100,495,2450,155,294199,0.17%,0.83%,0.010537085442166697
Kırşehir,1794,270,1420,104,185308,0.15%,0.77%,0.009681179441794202
Kocaeli,14600,2775,11262,563,1453509,0.19%,0.77%,0.010044657446221524
Konya,12153,2756,8677,720,1611865,0.17%,0.54%,0.007539713313459874
