,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,27081,25097,1984,0,1599578,1.57%,0.12%,0.01693009031131961
Adıyaman,5309,4862,447,0,417362,1.16%,0.11%,0.012720372242801214
Afyon,9369,8711,658,0,544755,1.60%,0.12%,0.01719855714954429
Ağrı,2880,2287,593,0,316215,0.72%,0.19%,0.009107727337412837
Amasya,4287,3836,451,0,261116,1.47%,0.17%,0.016417990471667764
Ankara,83345,67816,15529,0,4269423,1.59%,0.36%,0.019521373262850743
Antalya,31717,28954,2763,0,1903745,1.52%,0.15%,0.01666031952808806
Artvin,2078,1883,195,0,135986,1.38%,0.14%,0.015280984807259571
Aydın,14423,12927,1496,0,867298,1.49%,0.17%,0.016629808900746917
Balıkesir,14660,13438,1222,0,992100,1.35%,0.12%,0.014776736216107247
Bilecik,2782,2561,221,0,169031,1.52%,0.13%,0.01645851944317906
Bingöl,1861,1649,212,0,193043,0.85%,0.11%,0.009640339199038556
Bitlis,1736,1563,173,0,216393,0.72%,0.08%,0.00802244065196194
Bolu,3566,3175,391,0,247627,1.28%,0.16%,0.014400691362412016
Burdur,3198,2841,357,0,212252,1.34%,0.17%,0.015066995835139362
Bursa,41270,38082,3188,0,2314439,1.65%,0.14%,0.017831534985367943
Çanakkale,6589,6040,549,0,437937,1.38%,0.13%,0.015045543080397409
Çankırı,2084,1918,166,0,151413,1.27%,0.11%,0.013763679472700494
Çorum,6313,5673,640,0,407844,1.39%,0.16%,0.01547895764066653
Denizli,14872,13820,1052,0,793926,1.74%,0.13%,0.01873222441386225
Diyarbakır,9818,9216,602,0,1099830,0.84%,0.05%,0.00892683414709546
Edirne,5306,4827,479,0,334075,1.44%,0.14%,0.015882661079099004
Elazığ,5366,4884,482,0,432965,1.13%,0.11%,0.012393611492845843
Erzincan,2163,1961,202,0,180234,1.09%,0.11%,0.012001065281800326
Erzurum,7275,6702,573,0,526063,1.27%,0.11%,0.013829142136968385
Eskişehir,10514,9753,761,0,698642,1.40%,0.11%,0.015049195439151954
Gaziantep,29107,27605,1502,0,1317351,2.10%,0.11%,0.022095098420997897
Giresun,5756,5200,556,0,359477,1.45%,0.15%,0.016012150986015796
Gümüşhane,1071,926,145,0,110911,0.83%,0.13%,0.009656391160480025
Hakkari,2182,2061,121,0,181606,1.13%,0.07%,0.012015021530125656
Hatay,18480,17128,1352,0,1120447,1.53%,0.12%,0.01649341735932177
Isparta,4968,4484,484,0,342106,1.31%,0.14%,0.014521814876091036
Mersin,22336,20768,1568,0,1356886,1.53%,0.12%,0.016461220765782828
İstanbul,173131,162460,10671,0,11520854,1.41%,0.09%,0.01502761861230079
İzmir,58383,53924,4459,0,3429827,1.57%,0.13%,0.017022141349986458
Kars,2835,2672,163,0,194225,1.38%,0.08%,0.014596473162569186
Kastamonu,3777,3347,430,0,302774,1.11%,0.14%,0.012474651059866435
Kayseri,20201,18674,1527,0,1016718,1.84%,0.15%,0.01986883285237401
Kırklareli,5151,4876,275,0,294199,1.66%,0.09%,0.017508557133096986
Kırşehir,2582,2373,209,0,185308,1.28%,0.11%,0.013933559263496448
Kocaeli,26812,25332,1480,0,1453509,1.74%,0.10%,0.01844639420877339
Konya,22587,20833,1754,0,1611865,1.29%,0.11%,0.01401296014244369
Kütahya,7949,7183,766,0,454645,1.58%,0.17%,0.017483971010348733
Malatya,8366,7774,592,0,585623,1.33%,0.10%,0.014285641103576874
Manisa,17890,16284,1606,0,1101092,1.48%,0.15%,0.01624750702030348
Kahramanmaraş,12102,11314,788,0,785567,1.44%,0.10%,0.015405433273037183
Mardin,4864,4491,373,0,517582,0.87%,0.07%,0.009397544736872612
Muğla,16628,14273,2355,0,787329,1.81%,0.30%,0.021119506584921934
Muş,2324,2130,194,0,244220,0.87%,0.08%,0.009516010154778478
Nevşehir,3413,3114,299,0,228791,1.36%,0.13%,0.014917544833494325
Niğde,4049,3762,287,0,260708,1.44%,0.11%,0.015530785399757583
Ordu,9016,8334,682,0,589401,1.41%,0.12%,0.01529688616069535
Rize,4418,4064,354,0,268906,1.51%,0.13%,0.016429532996660542
Sakarya,12516,11589,927,0,777027,1.49%,0.12%,0.01610754838634951
Samsun,18198,16432,1766,0,1030199,1.60%,0.17%,0.01766454830571569
Siirt,1487,1244,243,0,197181,0.63%,0.12%,0.007541294546634818
Sinop,2301,2026,275,0,172933,1.17%,0.16%,0.013305731121301314
Sivas,6475,5838,637,0,478755,1.22%,0.13%,0.013524662927802321
Tekirdağ,18308,17379,929,0,809854,2.15%,0.11%,0.02260654389556636
Tokat,6580,6086,494,0,457272,1.33%,0.11%,0.014389684914011791
Trabzon,8765,7902,863,0,621825,1.27%,0.14%,0.01409560567683834
Tunceli,895,790,105,0,68980,1.15%,0.15%,0.012974775297187591
Şanlıurfa,9459,8678,781,0,1157716,0.75%,0.07%,0.008170397575916718
Uşak,4711,4364,347,0,286295,1.52%,0.12%,0.016455055100508216
Van,10009,9060,949,0,693216,1.31%,0.14%,0.014438501130960624
Yozgat,4239,3816,423,0,315031,1.21%,0.13%,0.01345581863372176
Zonguldak,7182,6656,526,0,466537,1.43%,0.11%,0.015394277409937476
Aksaray,4886,4595,291,0,299426,1.53%,0.10%,0.016317888226139346
Bayburt,763,681,82,0,62060,1.10%,0.13%,0.012294553657750564
Karaman,2534,2364,170,0,188095,1.26%,0.09%,0.013471915787235174
Kırıkkale,3256,2864,392,0,214988,1.33%,0.18%,0.015145031350587009
Batman,3311,3024,287,0,375020,0.81%,0.08%,0.008828862460668765
Şırnak,2118,1804,314,0,307348,0.59%,0.10%,0.006891211265405989
Bartın,3349,3137,212,0,159253,1.97%,0.13%,0.021029431156712904
