,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,1768,205,1466,97,1599578,0.01%,0.09%,0.0011052915206385685
Adıyaman,338,114,204,20,417362,0.03%,0.05%,0.000809848524781844
Afyon,719,128,563,28,544755,0.02%,0.10%,0.0013198593863296343
Ağrı,138,57,68,13,316215,0.02%,0.02%,0.00043641193491769843
Amasya,359,57,277,25,261116,0.02%,0.11%,0.001374867874814259
Ankara,8396,977,6884,535,4269423,0.02%,0.16%,0.0019665420830871057
Antalya,6332,1096,4962,274,1903745,0.06%,0.26%,0.0033260757086689655
Artvin,211,27,167,17,135986,0.02%,0.12%,0.0015516303148853559
Aydın,3231,399,2575,257,867298,0.05%,0.30%,0.003725363139313131
Balıkesir,3803,364,2875,564,992100,0.04%,0.29%,0.003833282935187985
Bilecik,345,43,287,15,169031,0.03%,0.17%,0.002041045725340322
Bingöl,133,41,85,7,193043,0.02%,0.04%,0.0006889656708608963
Bitlis,251,61,174,16,216393,0.03%,0.08%,0.0011599266150014095
Bolu,256,38,199,19,247627,0.02%,0.08%,0.0010338129525455624
Burdur,317,39,264,14,212252,0.02%,0.12%,0.0014935077172417693
Bursa,4981,711,4058,212,2314439,0.03%,0.18%,0.002152141404461297
Çanakkale,1538,168,1238,132,437937,0.04%,0.28%,0.0035119206643878
Çankırı,151,19,127,5,151413,0.01%,0.08%,0.0009972723610258037
Çorum,494,59,403,32,407844,0.01%,0.10%,0.0012112474377458048
Denizli,934,145,760,29,793926,0.02%,0.10%,0.0011764320604187293
Diyarbakır,1287,496,728,63,1099830,0.05%,0.07%,0.0011701808461307658
Edirne,1321,159,1076,86,334075,0.05%,0.32%,0.003954201900770785
Elazığ,686,105,523,58,432965,0.02%,0.12%,0.0015844236832076495
Erzincan,321,63,220,38,180234,0.03%,0.12%,0.0017810180099204367
Erzurum,394,68,297,29,526063,0.01%,0.06%,0.0007489597253560886
Eskişehir,1289,140,1090,59,698642,0.02%,0.16%,0.0018450078867288254
Gaziantep,960,189,734,37,1317351,0.01%,0.06%,0.0007287351662540963
Giresun,1316,229,967,120,359477,0.06%,0.27%,0.0036608739919382883
Gümüşhane,56,8,44,4,110911,0.01%,0.04%,0.0005049093417244457
Hakkari,124,45,73,6,181606,0.02%,0.04%,0.0006827968238934837
Hatay,1157,230,874,53,1120447,0.02%,0.08%,0.001032623586836325
Isparta,440,64,356,20,342106,0.02%,0.10%,0.0012861510759822978
Mersin,1306,171,1053,82,1356886,0.01%,0.08%,0.0009624979548760913
İstanbul,31631,4615,25648,1368,11520854,0.04%,0.22%,0.0027455429953369775
İzmir,10898,1093,9194,611,3429827,0.03%,0.27%,0.0031774197357476047
Kars,76,32,44,0,194225,0.02%,0.02%,0.00039129875144806284
Kastamonu,610,74,475,61,302774,0.02%,0.16%,0.002014704036674219
Kayseri,695,119,554,22,1016718,0.01%,0.05%,0.0006835720425919478
Kırklareli,964,87,802,75,294199,0.03%,0.27%,0.0032766936665318373
Kırşehir,225,41,178,6,185308,0.02%,0.10%,0.0012141947460444233
Kocaeli,2374,275,2002,97,1453509,0.02%,0.14%,0.0016332888203650614
Konya,929,146,719,64,1611865,0.01%,0.04%,0.000576350997136857
Kütahya,371,51,306,14,454645,0.01%,0.07%,0.0008160212913371972
Malatya,599,97,469,33,585623,0.02%,0.08%,0.0010228423405501492
Manisa,2045,211,1740,94,1101092,0.02%,0.16%,0.0018572471691738746
Kahramanmaraş,313,53,238,22,785567,0.01%,0.03%,0.00039843832543882317
Mardin,318,118,181,19,517582,0.02%,0.03%,0.0006143954001491551
Muğla,4107,524,3207,376,787329,0.07%,0.41%,0.005216370792895981
Muş,139,45,84,10,244220,0.02%,0.03%,0.0005691589550405373
Nevşehir,288,32,241,15,228791,0.01%,0.11%,0.001258790774112618
Niğde,300,42,242,16,260708,0.02%,0.09%,0.001150712674716541
Ordu,1334,190,1040,104,589401,0.03%,0.18%,0.0022633147890824754
Rize,400,49,324,27,268906,0.02%,0.12%,0.0014875086461440057
Sakarya,2025,257,1661,107,777027,0.03%,0.21%,0.002606087047168245
Samsun,2187,349,1716,122,1030199,0.03%,0.17%,0.0021228908201231023
Siirt,286,153,123,10,197181,0.08%,0.06%,0.0014504440082969455
Sinop,459,70,343,46,172933,0.04%,0.20%,0.002654207120676794
Sivas,750,106,604,40,478755,0.02%,0.13%,0.0015665632734906162
Tekirdağ,3230,407,2608,215,809854,0.05%,0.32%,0.003988373212949495
Tokat,826,111,654,61,457272,0.02%,0.14%,0.001806364701971693
Trabzon,1283,168,1011,104,621825,0.03%,0.16%,0.002063281469866924
Tunceli,268,46,190,32,68980,0.07%,0.28%,0.0038851841113366195
Şanlıurfa,1218,762,425,31,1157716,0.07%,0.04%,0.0010520714924903863
Uşak,274,26,231,17,286295,0.01%,0.08%,0.0009570547861471559
Van,1648,820,737,91,693216,0.12%,0.11%,0.0023773253935281354
Yozgat,235,36,179,20,315031,0.01%,0.06%,0.0007459583342591681
Zonguldak,1066,144,838,84,466537,0.03%,0.18%,0.002284920595794117
Aksaray,265,68,182,15,299426,0.02%,0.06%,0.0008850266843894652
Bayburt,29,5,23,1,62060,0.01%,0.04%,0.00046728971962616824
Karaman,134,21,107,6,188095,0.01%,0.06%,0.0007124059650708419
Kırıkkale,117,15,86,16,214988,0.01%,0.04%,0.0005442164213816586
Batman,645,343,270,32,375020,0.09%,0.07%,0.00171990827155885
Şırnak,353,175,175,3,307348,0.06%,0.06%,0.0011485352109009983
Bartın,519,88,411,20,159253,0.06%,0.26%,0.0032589652942173774
Ardahan,25,4,18,3,71678,0.01%,0.03%,0.0003487820530706772
Iğdır,151,70,76,5,130907,0.05%,0.06%,0.0011534906460311518
Yalova,757,105,601,51,210810,0.05%,0.29%,0.00359091124709454
Karabük,456,48,378,30,195265,0.02%,0.19%,0.0023352879420275013
Kilis,35,10,24,1,94522,0.01%,0.03%,0.0003702841666490341
Osmaniye,305,42,245,18,378009,0.01%,0.06%,0.000806859095947451
Düzce,498,62,425,11,298284,0.02%,0.14%,0.0016695498249989942
