,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,8765,3223,4504,1038,1599578,2258718,0.20%,0.28%,0.005479570236649916,0.14%,0.20%,0.0038805198347026944
Adıyaman,1466,528,787,151,417362,632459,0.13%,0.19%,0.003512538276124803,0.08%,0.12%,0.0023179368148765374
Afyon,3736,1138,1958,640,544755,736912,0.21%,0.36%,0.006858128883626584,0.15%,0.27%,0.00506980480708687
Ağrı,3939,1686,2000,253,316215,535435,0.53%,0.63%,0.012456714577107349,0.31%,0.37%,0.0073566352591817865
Amasya,975,247,528,200,261116,335494,0.09%,0.20%,0.003733972640512263,0.07%,0.16%,0.0029061622562549555
Ankara,27447,8184,14250,5013,4269423,5663322,0.19%,0.33%,0.006428737560087159,0.14%,0.25%,0.0048464487804154525
Antalya,13361,4485,6407,2469,1903745,2548308,0.24%,0.34%,0.007018271879899882,0.18%,0.25%,0.005243086785427821
Artvin,577,168,254,155,135986,169501,0.12%,0.19%,0.004243083846866589,0.10%,0.15%,0.003404109710267196
Aydın,4882,1291,2306,1285,867298,1119084,0.15%,0.27%,0.005628976430246582,0.12%,0.21%,0.004362496470327518
Balıkesir,5763,1665,2632,1466,992100,1240285,0.17%,0.27%,0.0058088902328394315,0.13%,0.21%,0.004646512696678586
Bilecik,734,199,356,179,169031,218717,0.12%,0.21%,0.004342398731593613,0.09%,0.16%,0.0033559348381698726
Bingöl,641,326,239,76,193043,281768,0.17%,0.12%,0.0033205037219686804,0.12%,0.08%,0.0022749212117770647
Bitlis,1083,487,514,82,216393,350994,0.23%,0.24%,0.005004782964328791,0.14%,0.15%,0.003085522829450076
Bolu,1123,311,591,221,247627,314802,0.13%,0.24%,0.004535046662924479,0.10%,0.19%,0.00356732168156492
Burdur,1172,342,581,249,212252,267092,0.16%,0.27%,0.0055217383110642065,0.13%,0.22%,0.004388001138184596
Bursa,16214,5241,8940,2033,2314439,3101833,0.23%,0.39%,0.0070055853707961194,0.17%,0.29%,0.005227231769086215
Çanakkale,2312,607,945,760,437937,541548,0.14%,0.22%,0.005279298163891153,0.11%,0.17%,0.004269242984924698
Çankırı,796,180,400,216,151413,192428,0.12%,0.26%,0.005257144366732051,0.09%,0.21%,0.004136612135448064
Çorum,1661,516,835,310,407844,530126,0.13%,0.20%,0.0040726356155785055,0.10%,0.16%,0.0031332173860553906
Denizli,4097,1267,2128,702,793926,1040915,0.16%,0.27%,0.00516043056909586,0.12%,0.20%,0.00393596018887229
Diyarbakır,5506,2792,2215,499,1099830,1783431,0.25%,0.20%,0.005006228235272724,0.16%,0.12%,0.0030873075549320383
Edirne,2115,547,969,599,334075,407763,0.16%,0.29%,0.00633091371697972,0.13%,0.24%,0.005186836471185468
Elazığ,1898,763,823,312,432965,587960,0.18%,0.19%,0.004383726167242156,0.13%,0.14%,0.00322811075583373
Erzincan,680,239,299,142,180234,234431,0.13%,0.17%,0.003772873042822109,0.10%,0.13%,0.0029006402736839413
Erzurum,2698,1141,1128,429,526063,758279,0.22%,0.21%,0.00512866329698154,0.15%,0.15%,0.0035580571267303986
Eskişehir,3179,832,1639,708,698642,888828,0.12%,0.23%,0.0045502560682008815,0.09%,0.18%,0.0035766199984698954
Gaziantep,10086,3993,5259,834,1317351,2101157,0.30%,0.40%,0.007656273840457099,0.19%,0.25%,0.004800212454376327
Giresun,1286,405,624,257,359477,448721,0.11%,0.17%,0.0035774194176539805,0.09%,0.14%,0.0028659233688639488
Gümüşhane,766,240,220,306,110911,141702,0.22%,0.20%,0.006906438495730811,0.17%,0.16%,0.0054057105757152335
Hakkari,528,125,380,23,181606,280514,0.07%,0.21%,0.0029073929275464467,0.04%,0.14%,0.0018822589959859401
Hatay,6697,2462,3571,664,1120447,1659320,0.22%,0.32%,0.005977078790875427,0.15%,0.22%,0.004035990646770966
Isparta,1494,458,723,313,342106,440304,0.13%,0.21%,0.004367067517085348,0.10%,0.16%,0.003393110214760711
Mersin,7498,2635,3683,1180,1356886,1868757,0.19%,0.27%,0.005525887952267177,0.14%,0.20%,0.004012292662984005
İstanbul,89120,30489,48867,9764,11520854,15462452,0.26%,0.42%,0.007735537660663003,0.20%,0.32%,0.005763639557296605
İzmir,21507,5950,11410,4147,3429827,4394694,0.17%,0.33%,0.0062705786618392125,0.14%,0.26%,0.0048938560910042886
Kars,330,112,170,48,194225,284923,0.06%,0.09%,0.0016990603681297464,0.04%,0.06%,0.0011582076561035789
Kastamonu,1576,475,769,332,302774,376377,0.16%,0.25%,0.005205202560325524,0.13%,0.20%,0.004187290934355712
Kayseri,4603,1602,2337,664,1016718,1421455,0.16%,0.23%,0.004527312391439908,0.11%,0.16%,0.0032382312489667277
Kırklareli,1969,505,1032,432,294199,361737,0.17%,0.35%,0.006692748785685879,0.14%,0.29%,0.005443181095657895
