,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,11306,1536,9156,614,1599578,0.10%,0.57%,0.007068114215124239
Adıyaman,3414,1414,1684,316,417362,0.34%,0.40%,0.008179949300607147
Afyon,3740,649,2764,327,544755,0.12%,0.51%,0.00686547163403732
Ağrı,3087,1706,1251,130,316215,0.54%,0.40%,0.009762345239789383
Amasya,2595,404,1901,290,261116,0.15%,0.73%,0.009938111797055714
Ankara,47924,5493,39791,2640,4269423,0.13%,0.93%,0.011224936015944076
Antalya,22138,3648,16830,1660,1903745,0.19%,0.88%,0.011628658249923178
Artvin,1728,230,1231,267,135986,0.17%,0.91%,0.012707190446075331
Aydın,10092,1336,7631,1125,867298,0.15%,0.88%,0.01163613890496692
Balıkesir,15113,2031,11078,2004,992100,0.20%,1.12%,0.015233343412962404
Bilecik,2416,281,1967,168,169031,0.17%,1.16%,0.01429323615194846
Bingöl,987,454,457,76,193043,0.24%,0.24%,0.005112850504809809
Bitlis,1688,1045,537,106,216393,0.48%,0.25%,0.007800622016423822
Bolu,1690,257,1263,170,247627,0.10%,0.51%,0.006824780819539065
Burdur,1783,239,1302,242,212252,0.11%,0.61%,0.008400391986883516
Bursa,27747,3525,22570,1652,2314439,0.15%,0.98%,0.011988650381366716
Çanakkale,7628,906,5916,806,437937,0.21%,1.35%,0.01741803044730178
Çankırı,1466,191,1030,245,151413,0.13%,0.68%,0.009682127690488927
Çorum,3663,641,2561,461,407844,0.16%,0.63%,0.00898137523170624
Denizli,7933,1126,6236,571,793926,0.14%,0.79%,0.00999211513415608
Diyarbakır,5799,2310,3144,345,1099830,0.21%,0.29%,0.005272633043288508
Edirne,4480,463,3547,470,334075,0.14%,1.06%,0.013410162388685176
Elazığ,3301,734,2234,333,432965,0.17%,0.52%,0.007624172854618734
Erzincan,1638,273,1093,272,180234,0.15%,0.61%,0.009088185359033257
Erzurum,3333,1190,1835,308,526063,0.23%,0.35%,0.006335743057390464
Eskişehir,8646,945,7132,569,698642,0.14%,1.02%,0.012375436919051531
Gaziantep,9136,2242,6480,414,1317351,0.17%,0.49%,0.00693512966551815
Giresun,3909,601,2733,575,359477,0.17%,0.76%,0.010874131029245265
Gümüşhane,588,153,319,116,110911,0.14%,0.29%,0.0053015480881066805
Hakkari,3667,2615,964,88,181606,1.44%,0.53%,0.020192064138850038
Hatay,6830,1518,4980,332,1120447,0.14%,0.44%,0.00609578141580994
Isparta,3073,481,2287,305,342106,0.14%,0.67%,0.008982596037485458
Mersin,12491,1980,9541,970,1356886,0.15%,0.70%,0.009205637024775847
İstanbul,154177,20553,128233,5391,11520854,0.18%,1.11%,0.013382428073474414
İzmir,47098,5117,38633,3348,3429827,0.15%,1.13%,0.013731887934872516
Kars,1249,486,659,104,194225,0.25%,0.34%,0.00643068605998198
Kastamonu,3466,506,2411,549,302774,0.17%,0.80%,0.011447482280512858
Kayseri,6347,1029,4780,538,1016718,0.10%,0.47%,0.006242635617742579
Kırklareli,3459,364,2899,196,294199,0.12%,0.99%,0.011757347917566002
Kırşehir,1401,215,1035,151,185308,0.12%,0.56%,0.0075603859520366095
Kocaeli,16442,2335,13278,829,1453509,0.16%,0.91%,0.011311935461011937
Konya,12880,2695,8884,1301,1611865,0.17%,0.55%,0.007990743641682152
Kütahya,3146,456,2444,246,454645,0.10%,0.54%,0.0069196845890749925
Malatya,3533,602,2532,399,585623,0.10%,0.43%,0.006032891467718993
Manisa,10666,1494,8398,774,1101092,0.14%,0.76%,0.00968674733809709
Kahramanmaraş,4625,1316,2928,381,785567,0.17%,0.37%,0.0058874672688644
Mardin,3685,1995,1563,127,517582,0.39%,0.30%,0.007119644809904517
Muğla,12082,1447,9591,1044,787329,0.18%,1.22%,0.015345554399749025
Muş,1017,493,448,76,244220,0.20%,0.18%,0.004164278109900909
Nevşehir,1885,306,1355,224,228791,0.13%,0.59%,0.008238960448619045
Niğde,2304,422,1637,245,260708,0.16%,0.63%,0.008837473341823035
Ordu,8739,1453,6179,1107,589401,0.25%,1.05%,0.014826917497595016
Rize,2257,286,1770,201,268906,0.11%,0.66%,0.008393267535867553
Sakarya,7890,1087,6251,552,777027,0.14%,0.80%,0.010154087309707384
Samsun,9849,1675,7218,956,1030199,0.16%,0.70%,0.009560288837399376
Siirt,1776,1071,612,93,197181,0.54%,0.31%,0.009006953002571242
Sinop,2108,299,1460,349,172933,0.17%,0.84%,0.012189691961626756
Sivas,5186,845,3533,808,478755,0.18%,0.74%,0.010832262848429782
Tekirdağ,12049,1532,9787,730,809854,0.19%,1.21%,0.01487799035381686
Tokat,4880,762,3531,587,457272,0.17%,0.77%,0.010671985164191116
