,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Bayburt,762,385,139,238,62060,0.62%,0.22%,0.012278440219142765
Karaman,3477,1649,532,1296,188095,0.88%,0.28%,0.018485339854860575
Kırıkkale,3866,1376,681,1809,214988,0.64%,0.32%,0.01798239901761959
Batman,5257,3887,785,585,375020,1.04%,0.21%,0.014017919044317637
Şırnak,5087,3903,930,254,307348,1.27%,0.30%,0.016551270872105887
Bartın,2946,1249,436,1261,159253,0.78%,0.27%,0.018498866583361067
Ardahan,1593,731,298,564,71678,1.02%,0.42%,0.02222439242166355
Iğdır,1389,788,285,316,130907,0.60%,0.22%,0.010610586141306423
Yalova,6048,1281,1096,3671,210810,0.61%,0.52%,0.028689341112850434
Karabük,3039,1099,673,1267,195265,0.56%,0.34%,0.015563465034696439
Kilis,2028,1374,259,395,94522,1.45%,0.27%,0.02145532257040689
Osmaniye,7976,3875,1414,2687,378009,1.03%,0.37%,0.021100026718940554
Düzce,4629,1770,707,2152,298284,0.59%,0.24%,0.01551876734923764
