,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,29917,13867,4901,11149,1599578,0.87%,0.31%,0.018703057931529442
Adıyaman,6524,3793,1120,1611,417362,0.91%,0.27%,0.015631514129221157
Afyon,9093,3865,1484,3744,544755,0.71%,0.27%,0.01669190737120357
Ağrı,4377,3040,829,508,316215,0.96%,0.26%,0.013841848109672216
Amasya,6094,1714,1309,3071,261116,0.66%,0.50%,0.023338286432083823
Ankara,97837,28466,18364,51007,4269423,0.67%,0.43%,0.022915742946997757
Antalya,40334,16445,6683,17206,1903745,0.86%,0.35%,0.021186661028656673
Artvin,2966,1100,415,1451,135986,0.81%,0.31%,0.021811068786492728
Aydın,21404,5945,3043,12416,867298,0.69%,0.35%,0.02467894541437891
Balıkesir,24244,6056,4407,13781,992100,0.61%,0.44%,0.024437052716460034
Bilecik,3070,994,595,1481,169031,0.59%,0.35%,0.018162348918245766
Bingöl,3187,2266,455,466,193043,1.17%,0.24%,0.016509275135591552
Bitlis,1937,1297,298,342,216393,0.60%,0.14%,0.00895130618827781
Bolu,5488,1849,1049,2590,247627,0.75%,0.42%,0.022162365170195496
Burdur,5187,1300,900,2987,212252,0.61%,0.42%,0.024437932269189454
Bursa,40859,16955,9006,14898,2314439,0.73%,0.39%,0.017653954154764933
Çanakkale,11541,2780,2364,6397,437937,0.63%,0.54%,0.026353105583679846
Çankırı,3089,900,565,1624,151413,0.59%,0.37%,0.02040115445833581
Çorum,7568,2641,1721,3206,407844,0.65%,0.42%,0.018556114592834516
Denizli,14581,5406,2509,6666,793926,0.68%,0.32%,0.01836569151281102
Diyarbakır,13004,7679,2430,2895,1099830,0.70%,0.22%,0.011823645472482111
Edirne,8595,1781,1837,4977,334075,0.53%,0.55%,0.025727755743470776
Elazığ,5880,2346,1175,2359,432965,0.54%,0.27%,0.01358077442749414
Erzincan,3343,1176,706,1461,180234,0.65%,0.39%,0.018548109679638693
Erzurum,7131,4042,1105,1984,526063,0.77%,0.21%,0.013555410663741795
Eskişehir,17458,4051,3700,9707,698642,0.58%,0.53%,0.02498847764663447
Gaziantep,22565,14894,2722,4949,1317351,1.13%,0.21%,0.017129071902628835
Giresun,8952,3145,1362,4445,359477,0.87%,0.38%,0.02490284496643735
Gümüşhane,1512,685,253,574,110911,0.62%,0.23%,0.013632552226560034
Hakkari,3990,3376,448,166,181606,1.86%,0.25%,0.02197063973657258
Hatay,23929,14233,3821,5875,1120447,1.27%,0.34%,0.021356654977879364
Isparta,7361,1934,1346,4081,342106,0.57%,0.39%,0.021516722887058398
Mersin,30805,11954,4911,13940,1356886,0.88%,0.36%,0.022702717840702904
İstanbul,205261,75561,44077,85623,11520854,0.66%,0.38%,0.01781647436900077
İzmir,82433,24082,15250,43101,3429827,0.70%,0.44%,0.024034156824819443
Kars,3473,1912,659,902,194225,0.98%,0.34%,0.01788132320762003
Kastamonu,5634,1921,923,2790,302774,0.63%,0.30%,0.0186079385944632
Kayseri,21199,9242,3916,8041,1016718,0.91%,0.39%,0.02085042263439813
Kırklareli,7395,2408,1541,3446,294199,0.82%,0.52%,0.025136047369297653
Kırşehir,3931,1055,817,2059,185308,0.57%,0.44%,0.021213331318669457
Kocaeli,24214,9125,5025,10064,1453509,0.63%,0.35%,0.016658995575534793
Konya,26238,10700,5010,10528,1611865,0.66%,0.31%,0.016278038173172072
Kütahya,6883,2484,1544,2855,454645,0.55%,0.34%,0.015139284496695224
Malatya,11365,4244,2073,5048,585623,0.72%,0.35%,0.019406683139152663
Manisa,20792,8492,3902,8398,1101092,0.77%,0.35%,0.018883072440813303
Kahramanmaraş,12340,7440,1865,3035,785567,0.95%,0.24%,0.015708399156278204
Mardin,5627,4000,877,750,517582,0.77%,0.17%,0.010871707285029232
Muğla,24099,6319,4213,13567,787329,0.80%,0.54%,0.0306085511901632
Muş,3698,2937,408,353,244220,1.20%,0.17%,0.01514208500532307
Nevşehir,4698,1573,924,2201,228791,0.69%,0.40%,0.02053402450271208
Niğde,5012,2028,960,2024,260708,0.78%,0.37%,0.01922457308559768
Ordu,13173,4950,2637,5586,589401,0.84%,0.45%,0.02234980938274621
Rize,5702,1942,861,2899,268906,0.72%,0.32%,0.0212044357507828
Sakarya,11336,4596,1973,4767,777027,0.59%,0.25%,0.014588939637876162
Samsun,20720,8091,3194,9435,1030199,0.79%,0.31%,0.020112619018267344
Siirt,1658,1078,283,297,197181,0.55%,0.14%,0.008408518062085089
Sinop,3715,1116,603,1996,172933,0.65%,0.35%,0.021482308177155313
Sivas,8518,2925,1391,4202,478755,0.61%,0.29%,0.01779198128479076
Tekirdağ,18102,7768,3021,7313,809854,0.96%,0.37%,0.022352177059074847
Tokat,8951,3338,1788,3825,457272,0.73%,0.39%,0.019574782623908746
Trabzon,13001,4160,2143,6698,621825,0.67%,0.34%,0.020907811683351426
Tunceli,1719,541,290,888,68980,0.78%,0.42%,0.024920266743983763
Şanlıurfa,13754,10671,1610,1473,1157716,0.92%,0.14%,0.011880288429977647
Uşak,5451,2145,1131,2175,286295,0.75%,0.40%,0.01903980160324141
Van,11585,8426,1783,1376,693216,1.22%,0.26%,0.01671196279370355
Yozgat,4782,2070,779,1933,315031,0.66%,0.25%,0.015179458529478052
Zonguldak,8310,2971,1605,3734,466537,0.64%,0.34%,0.01781209207415489
Aksaray,4617,2137,852,1628,299426,0.71%,0.28%,0.015419502648400606
