,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,14001,3579,7961,2461,1599578,2258718,0.22%,0.50%,0.008752933586233368,0.16%,0.35%,0.00619864896813148
Adıyaman,4297,1219,2598,480,417362,632459,0.29%,0.62%,0.010295618671560898,0.19%,0.41%,0.006794116298447805
Afyon,5370,1168,2930,1272,544755,736912,0.21%,0.54%,0.009857642426411873,0.16%,0.40%,0.007287165903120047
Ağrı,2111,664,1313,134,316215,535435,0.21%,0.42%,0.006675837642110589,0.12%,0.25%,0.00394258873626117
Amasya,1943,388,1067,488,261116,335494,0.15%,0.41%,0.007441137272323412,0.12%,0.32%,0.005791459757849619
Ankara,61777,12422,36699,12656,4269423,5663322,0.29%,0.86%,0.014469636763562664,0.22%,0.65%,0.010908261970624309
Antalya,26528,7097,14205,5226,1903745,2548308,0.37%,0.75%,0.013934639355585964,0.28%,0.56%,0.010410044625688888
Artvin,1698,330,817,551,135986,169501,0.24%,0.60%,0.012486579500830968,0.19%,0.48%,0.010017640013923221
Aydın,10022,1831,5203,2988,867298,1119084,0.21%,0.60%,0.011555428468646302,0.16%,0.46%,0.008955538636956653
Balıkesir,12362,2303,5968,4091,992100,1240285,0.23%,0.60%,0.012460437455901623,0.19%,0.48%,0.009967064021575687
Bilecik,1703,279,952,472,169031,218717,0.17%,0.56%,0.010075074986245127,0.13%,0.44%,0.0077863174787510805
Bingöl,2848,1077,1453,318,193043,281768,0.56%,0.75%,0.014753189703848365,0.38%,0.52%,0.01010760625763039
Bitlis,2204,1426,650,128,216393,350994,0.66%,0.30%,0.010185172348458591,0.41%,0.19%,0.006279309617828225
Bolu,2203,404,1156,643,247627,314802,0.16%,0.47%,0.008896445056476071,0.13%,0.37%,0.006998049567664755
Burdur,2435,489,1199,747,212252,267092,0.23%,0.56%,0.011472212275973842,0.18%,0.45%,0.00911670884938523
Bursa,22181,4738,12880,4563,2314439,3101833,0.20%,0.56%,0.00958374794064566,0.15%,0.42%,0.007150933012834669
Çanakkale,7562,1575,3611,2376,437937,541548,0.36%,0.82%,0.017267323838817,0.29%,0.67%,0.013963674503460451
Çankırı,1411,300,582,529,151413,192428,0.20%,0.38%,0.009318882790777543,0.16%,0.30%,0.007332612717483942
Çorum,4325,858,2315,1152,407844,530126,0.21%,0.57%,0.010604544875001226,0.16%,0.44%,0.008158437805351935
Denizli,8799,1743,5072,1984,793926,1040915,0.22%,0.64%,0.011082896894672803,0.17%,0.49%,0.008453139785669339
Diyarbakır,9120,3743,4442,935,1099830,1783431,0.34%,0.40%,0.008292190611276288,0.21%,0.25%,0.005113738630762838
Edirne,4268,731,1903,1634,334075,407763,0.22%,0.57%,0.012775574347077752,0.18%,0.47%,0.01046686433050571
Elazığ,4974,1494,2574,906,432965,587960,0.35%,0.59%,0.0114882265310129,0.25%,0.44%,0.008459759167290292
Erzincan,2007,456,976,575,180234,234431,0.25%,0.54%,0.011135523819035254,0.19%,0.42%,0.008561154454828926
Erzurum,8769,2844,4532,1393,526063,758279,0.54%,0.86%,0.016669106171694266,0.38%,0.60%,0.011564345049777193
Eskişehir,9034,1560,5122,2352,698642,888828,0.22%,0.73%,0.012930800037787593,0.18%,0.58%,0.010163946230316776
Gaziantep,9843,3092,5656,1095,1317351,2101157,0.23%,0.43%,0.007471812751499031,0.15%,0.27%,0.004684561886617707
