,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,42938,8627,28955,5356,1599578,0.54%,1.81%,0.02684332992826858
Adıyaman,4864,1323,2911,630,417362,0.32%,0.70%,0.011654151551890205
Afyon,5794,782,3588,1424,544755,0.14%,0.66%,0.010635973969949794
Ağrı,2322,1007,1147,168,316215,0.32%,0.36%,0.007343105165789099
Amasya,6327,1037,3731,1559,261116,0.40%,1.43%,0.024230610150278036
Ankara,91041,13689,61895,15457,4269423,0.32%,1.45%,0.02132395876445131
Antalya,39682,8389,24932,6361,1903745,0.44%,1.31%,0.020844178185628854
Artvin,1996,243,1144,609,135986,0.18%,0.84%,0.014677981556924978
Aydın,22011,3433,12868,5710,867298,0.40%,1.48%,0.02537882019790199
Balıkesir,27791,3843,15980,7968,992100,0.39%,1.61%,0.028012297147464973
Bilecik,4812,550,3337,925,169031,0.33%,1.97%,0.02846815081257284
Bingöl,2686,917,1446,323,193043,0.48%,0.75%,0.01391399843558171
Bitlis,3629,1824,1537,268,216393,0.84%,0.71%,0.016770413090996476
Bolu,3932,617,2276,1039,247627,0.25%,0.92%,0.0158787208180045
Burdur,3976,633,2155,1188,212252,0.30%,1.02%,0.018732450106477207
Bursa,45866,8034,30235,7597,2314439,0.35%,1.31%,0.01981732938306
Çanakkale,7539,944,4295,2300,437937,0.22%,0.98%,0.017214804869193513
Çankırı,3599,480,2030,1089,151413,0.32%,1.34%,0.023769425346568656
Çorum,6661,994,3943,1724,407844,0.24%,0.97%,0.016332225066446975
Denizli,13363,1660,8824,2879,793926,0.21%,1.11%,0.01683154349397803
Diyarbakır,17748,7309,8692,1747,1099830,0.66%,0.79%,0.01613703936062846
Edirne,9227,1304,5253,2670,334075,0.39%,1.57%,0.027619546509017438
Elazığ,5585,1158,3349,1078,432965,0.27%,0.77%,0.012899426050604552
Erzincan,3155,436,1942,777,180234,0.24%,1.08%,0.01750502125015258
Erzurum,12319,3583,6963,1773,526063,0.68%,1.32%,0.023417347351933133
Eskişehir,13104,1481,8779,2844,698642,0.21%,1.26%,0.01875638739153959
Gaziantep,26477,7006,16544,2927,1317351,0.53%,1.26%,0.02009866770511428
Giresun,10362,1658,6019,2685,359477,0.46%,1.67%,0.028825209957799802
Gümüşhane,1985,347,1158,480,110911,0.31%,1.04%,0.017897232916482587
Hakkari,5368,2165,3058,145,181606,1.19%,1.68%,0.029558494763388874
Hatay,24272,5707,15818,2747,1120447,0.51%,1.41%,0.021662782800078897
Isparta,3293,499,2069,725,342106,0.15%,0.60%,0.009625671575476606
Mersin,34092,6789,21759,5544,1356886,0.50%,1.60%,0.025125176322845104
İstanbul,198896,39765,131419,27712,11520854,0.35%,1.14%,0.01726399796403982
İzmir,62727,8167,41143,13417,3429827,0.24%,1.20%,0.018288677533881446
Kars,4626,1250,2803,573,194225,0.64%,1.44%,0.02381773716050972
Kastamonu,5899,724,3340,1835,302774,0.24%,1.10%,0.01948317887269052
Kayseri,15506,2479,10334,2693,1016718,0.24%,1.02%,0.015251033226519054
Kırklareli,6791,853,4243,1695,294199,0.29%,1.44%,0.02308301523798517
Kırşehir,3399,533,1958,908,185308,0.29%,1.06%,0.01834243529691109
Kocaeli,30304,5929,19673,4702,1453509,0.41%,1.35%,0.020848856113034043
Konya,21901,4405,12809,4687,1611865,0.27%,0.79%,0.013587366187614967
Kütahya,6846,878,4213,1755,454645,0.19%,0.93%,0.015057902319392052
Malatya,11534,2357,6971,2206,585623,0.40%,1.19%,0.01969526470101072
Manisa,15632,2285,10333,3014,1101092,0.21%,0.94%,0.014196815524951594
Kahramanmaraş,12213,2935,7578,1700,785567,0.37%,0.96%,0.015546732487489928
Mardin,5717,2151,3128,438,517582,0.42%,0.60%,0.011045592775637483
Muğla,24065,3532,14862,5671,787329,0.45%,1.89%,0.030565367209895736
Muş,3412,1373,1712,327,244220,0.56%,0.70%,0.013971009745311604
Nevşehir,3234,583,2108,543,228791,0.25%,0.92%,0.01413517140097294
Niğde,3467,636,1908,923,260708,0.24%,0.73%,0.013298402810807493
Ordu,13515,2448,8417,2650,589401,0.42%,1.43%,0.022930059501086696
Rize,5513,830,3503,1180,268906,0.31%,1.30%,0.02050158791547976
Sakarya,14034,2407,9165,2462,777027,0.31%,1.18%,0.018061148454300815
Samsun,13835,2197,8661,2977,1030199,0.21%,0.84%,0.013429444214176096
Siirt,2968,1606,1141,221,197181,0.81%,0.58%,0.015052160197990678
Sinop,2457,352,1288,817,172933,0.20%,0.74%,0.01420781458715225
Sivas,7180,1092,4165,1923,478755,0.23%,0.87%,0.0149972324048835
Tekirdağ,14004,1926,9350,2728,809854,0.24%,1.15%,0.01729200571954945
Tokat,9550,1680,5574,2296,457272,0.37%,1.22%,0.02088472506516909
Trabzon,11144,1635,6820,2689,621825,0.26%,1.10%,0.017921440919872956
Tunceli,650,73,334,243,68980,0.11%,0.48%,0.009423021165555233
Şanlıurfa,16797,7730,7982,1085,1157716,0.67%,0.69%,0.014508739621807076
Uşak,7162,946,4880,1336,286295,0.33%,1.70%,0.025016154665642082
Van,13291,5267,7162,862,693216,0.76%,1.03%,0.019172956192586438
Yozgat,5206,848,3316,1042,315031,0.27%,1.05%,0.016525357821928637
Zonguldak,9132,1282,5920,1930,466537,0.27%,1.27%,0.019574010207121836
Aksaray,4693,1123,2670,900,299426,0.38%,0.89%,0.01567332162203683
Bayburt,1298,256,814,228,62060,0.41%,1.31%,0.02091524331292298
Karaman,3571,675,2082,814,188095,0.36%,1.11%,0.018985087322895347
Kırıkkale,4425,856,2741,828,214988,0.40%,1.27%,0.020582544141998622
Batman,6470,2886,3110,474,375020,0.77%,0.83%,0.017252413204629086
Şırnak,5352,2188,3000,164,307348,0.71%,0.98%,0.017413485690487656
Bartın,3540,359,2449,732,159253,0.23%,1.54%,0.02222878061951737
Ardahan,2320,563,1274,483,71678,0.79%,1.78%,0.03236697452495885
Iğdır,1791,695,893,203,130907,0.53%,0.68%,0.013681468523455583
Yalova,5756,1180,3190,1386,210810,0.56%,1.51%,0.027304207580285567
Karabük,4128,602,2554,972,195265,0.31%,1.31%,0.021140501369933166
Kilis,2058,671,1141,246,94522,0.71%,1.21%,0.021772708998963206
Osmaniye,11105,2404,7098,1603,378009,0.64%,1.88%,0.02937760741146375
Düzce,7527,1141,5262,1124,298284,0.38%,1.76%,0.025234340427243835
