,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,39021,8540,26050,4431,1599578,2258718,0.53%,1.63%,0.024394559064953383,0.38%,1.15%,0.017275728975463072
Adıyaman,2117,673,1166,278,417362,632459,0.16%,0.28%,0.005072335286873266,0.11%,0.18%,0.0033472525491771007
Afyon,6289,948,3845,1496,544755,736912,0.17%,0.71%,0.011544639333278263,0.13%,0.52%,0.008534261892871877
Ağrı,1977,717,1047,213,316215,535435,0.23%,0.33%,0.006252075328494853,0.13%,0.20%,0.003692324932064583
Amasya,6239,1039,3753,1447,261116,335494,0.40%,1.44%,0.02389359518374975,0.31%,1.12%,0.01859645776079453
Ankara,77963,12587,51256,14120,4269423,5663322,0.29%,1.20%,0.018260781374907102,0.22%,0.91%,0.013766301827796477
Antalya,39905,8732,24750,6423,1903745,2548308,0.46%,1.30%,0.020961315722431314,0.34%,0.97%,0.01565941008700675
Artvin,1454,204,946,304,135986,169501,0.15%,0.70%,0.010692277146176812,0.12%,0.56%,0.008578120483064996
Aydın,20569,3660,12043,4866,867298,1119084,0.42%,1.39%,0.023716185209697243,0.33%,1.08%,0.018380210958247996
Balıkesir,26086,4141,14693,7252,992100,1240285,0.42%,1.48%,0.026293720391089608,0.33%,1.18%,0.021032262746062395
Bilecik,4557,604,2992,961,169031,218717,0.36%,1.77%,0.026959551798190866,0.28%,1.37%,0.020835143130163637
Bingöl,1629,547,863,219,193043,281768,0.28%,0.45%,0.008438534419792481,0.19%,0.31%,0.00578135203429772
Bitlis,3671,1912,1504,255,216393,350994,0.88%,0.70%,0.016964504397092326,0.54%,0.43%,0.010458868242761984
Bolu,4788,994,2682,1112,247627,314802,0.40%,1.08%,0.019335532878078723,0.32%,0.85%,0.015209560295042598
Burdur,3909,689,2195,1025,212252,267092,0.32%,1.03%,0.018416787592107495,0.26%,0.82%,0.01463540652659009
Bursa,44850,9135,28594,7121,2314439,3101833,0.39%,1.24%,0.01937834611324818,0.29%,0.92%,0.014459192354972044
Çanakkale,8022,1181,4601,2240,437937,541548,0.27%,1.05%,0.018317703231286692,0.22%,0.85%,0.01481309136032263
Çankırı,3534,507,2001,1026,151413,192428,0.33%,1.32%,0.02334013591963702,0.26%,1.04%,0.01836531066165007
Çorum,8916,1605,5455,1856,407844,530126,0.39%,1.34%,0.021861299908788656,0.30%,1.03%,0.01681864311503303
Denizli,17331,2753,11384,3194,793926,1040915,0.35%,1.43%,0.021829490405906846,0.26%,1.09%,0.016649774477262794
Diyarbakır,8341,3576,3950,815,1099830,1783431,0.33%,0.36%,0.007583899329896438,0.20%,0.22%,0.0046769401227185125
Edirne,6236,889,3313,2034,334075,407763,0.27%,0.99%,0.01866646711067874,0.22%,0.81%,0.015293197273906656
Elazığ,6712,1671,3909,1132,432965,587960,0.39%,0.90%,0.015502407815874262,0.28%,0.66%,0.0114157425675216
Erzincan,3447,580,2067,800,180234,234431,0.32%,1.15%,0.019125137321482074,0.25%,0.88%,0.014703686799100802
Erzurum,12644,4014,6972,1658,526063,758279,0.76%,1.33%,0.02403514407970148,0.53%,0.92%,0.01667460130110421
Eskişehir,12880,1630,8193,3057,698642,888828,0.23%,1.17%,0.018435765384846602,0.18%,0.92%,0.01449099263299536
Gaziantep,18117,4907,11215,1995,1317351,2101157,0.37%,0.85%,0.013752598965651524,0.23%,0.53%,0.008622392329559381
Giresun,7711,1333,4308,2070,359477,448721,0.37%,1.20%,0.02145060741020983,0.30%,0.96%,0.01718439743181175
Gümüşhane,1364,248,793,323,110911,141702,0.22%,0.71%,0.012298148966288286,0.18%,0.56%,0.009625834497748797
Hakkari,3793,1458,2200,135,181606,280514,0.80%,1.21%,0.020885873814741805,0.52%,0.78%,0.013521606764724756
Hatay,15395,3862,9888,1645,1120447,1659320,0.34%,0.88%,0.01374005196140469,0.23%,0.60%,0.009277896969843068
Isparta,8371,1389,4858,2124,342106,440304,0.41%,1.42%,0.024469024220563216,0.32%,1.10%,0.019011864529961117
Mersin,29787,6345,18787,4655,1356886,1868757,0.47%,1.38%,0.021952470583379884,0.34%,1.01%,0.01593947206619159
İstanbul,189210,40509,122996,25705,11520854,15462452,0.35%,1.07%,0.01642326167834433,0.26%,0.80%,0.012236739683977677
İzmir,62995,9770,41465,11760,3429827,4394694,0.28%,1.21%,0.018366815585742373,0.22%,0.94%,0.014334331355038598
Kars,4329,1277,2517,535,194225,284923,0.66%,1.30%,0.022288582829192945,0.45%,0.88%,0.015193578615976948
Kastamonu,5793,802,3457,1534,302774,376377,0.26%,1.14%,0.019133082761399592,0.21%,0.92%,0.015391482476346854
Kayseri,22661,4090,15082,3489,1016718,1421455,0.40%,1.48%,0.02228838281608076,0.29%,1.06%,0.015942115649106022
Kırklareli,7501,1062,4879,1560,294199,361737,0.36%,1.66%,0.02549634771022335,0.29%,1.35%,0.02073605962342807
Kırşehir,4534,784,2726,1024,185308,243042,0.42%,1.47%,0.024467373238068513,0.32%,1.12%,0.018655211856386963
Kocaeli,27715,6010,17420,4285,1453509,1997258,0.41%,1.20%,0.01906764939191983,0.30%,0.87%,0.013876524715384793
Konya,27899,6347,16057,5495,1611865,2250020,0.39%,1.00%,0.017308521495286517,0.28%,0.71%,0.01239944533826366
Kütahya,10609,1691,6874,2044,454645,576688,0.37%,1.51%,0.023334689702955054,0.29%,1.19%,0.01839642926504453
