,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,39561,7468,27579,4514,1599578,0.47%,1.72%,0.024732148104062445
Adıyaman,9381,2458,5889,1034,417362,0.59%,1.41%,0.022476890565025085
Afyon,12559,2052,8347,2160,544755,0.38%,1.53%,0.023054400602105535
Ağrı,4235,1727,2189,319,316215,0.55%,0.69%,0.013392786553452557
Amasya,7685,1209,4799,1677,261116,0.46%,1.84%,0.029431363838294092
Ankara,89792,12578,62642,14572,4269423,0.29%,1.47%,0.021031413378341756
Antalya,46890,9592,30408,6890,1903745,0.50%,1.60%,0.024630399554562192
Artvin,4561,573,2905,1083,135986,0.42%,2.14%,0.033540217375318045
Aydın,27220,3843,17119,6258,867298,0.44%,1.97%,0.031384829666389176
Balıkesir,32281,4254,19889,8138,992100,0.43%,2.00%,0.03253805059973793
Bilecik,5817,668,4284,865,169031,0.40%,2.53%,0.03441380575160769
Bingöl,3902,1229,2151,522,193043,0.64%,1.11%,0.02021311314059562
Bitlis,3393,1452,1667,274,216393,0.67%,0.77%,0.015679804799600728
Bolu,7128,1043,4740,1345,247627,0.42%,1.91%,0.028785229397440507
Burdur,6567,1009,3989,1569,212252,0.48%,1.88%,0.03093963778904321
Bursa,44198,7067,30448,6683,2314439,0.31%,1.32%,0.019096636377109098
Çanakkale,13723,1914,8616,3193,437937,0.44%,1.97%,0.031335557397525214
Çankırı,3865,549,2310,1006,151413,0.36%,1.53%,0.025526209770627358
Çorum,9931,1710,6389,1832,407844,0.42%,1.57%,0.024349996567314954
Denizli,22158,2871,15775,3512,793926,0.36%,1.99%,0.027909402135715418
Diyarbakır,23983,9471,12231,2281,1099830,0.86%,1.11%,0.02180609730594728
Edirne,9946,1295,6323,2328,334075,0.39%,1.89%,0.02977175783880865
Elazığ,7335,1322,4865,1148,432965,0.31%,1.12%,0.016941323201644473
Erzincan,4701,768,2835,1098,180234,0.43%,1.57%,0.026082759079862846
Erzurum,13610,3523,8340,1747,526063,0.67%,1.59%,0.02587142604592986
Eskişehir,18213,2140,12423,3650,698642,0.31%,1.78%,0.026069145570979127
Gaziantep,24289,5365,16770,2154,1317351,0.41%,1.27%,0.018437758805360152
Giresun,7868,1186,4555,2127,359477,0.33%,1.27%,0.021887353015631043
Gümüşhane,2412,400,1510,502,110911,0.36%,1.36%,0.021747166647131482
Hakkari,4657,1584,2942,131,181606,0.87%,1.62%,0.025643425877999625
Hatay,18392,4381,12184,1827,1120447,0.39%,1.09%,0.016414877276658333
Isparta,10415,1631,6571,2213,342106,0.48%,1.92%,0.030443780582626437
Mersin,39027,7057,26308,5662,1356886,0.52%,1.94%,0.02876218046320767
İstanbul,225883,41771,156918,27194,11520854,0.36%,1.36%,0.019606445841601674
İzmir,89074,11772,62279,15023,3429827,0.34%,1.82%,0.02597040608753736
Kars,5162,1226,3257,679,194225,0.63%,1.68%,0.026577423091775004
Kastamonu,7854,989,5014,1851,302774,0.33%,1.66%,0.025940140170556257
Kayseri,28878,4568,20625,3685,1016718,0.45%,2.03%,0.028403156037367292
Kırklareli,8138,912,5388,1838,294199,0.31%,1.83%,0.027661548815597604
Kırşehir,5650,803,3679,1168,185308,0.43%,1.99%,0.03048977917844885
Kocaeli,33606,5455,23719,4432,1453509,0.38%,1.63%,0.02312059987244661
Konya,29846,5785,18739,5322,1611865,0.36%,1.16%,0.018516439031804773
Kütahya,10629,1304,7337,1988,454645,0.29%,1.61%,0.023378680069064874
Malatya,15625,2832,10210,2583,585623,0.48%,1.74%,0.026680987597823173
Manisa,22250,3244,15758,3248,1101092,0.29%,1.43%,0.02020721247634167
Kahramanmaraş,15025,3459,9678,1888,785567,0.44%,1.23%,0.019126312586959484
Mardin,7319,2631,4253,435,517582,0.51%,0.82%,0.01414075450846436
Muğla,27635,3978,17906,5751,787329,0.51%,2.27%,0.03509968513797917
Muş,3179,1170,1699,310,244220,0.48%,0.70%,0.013016951928588977
Nevşehir,4079,685,2712,682,228791,0.30%,1.19%,0.017828498498629754
Niğde,4624,854,2812,958,260708,0.33%,1.08%,0.01773631802629762
Ordu,16322,2716,10767,2839,589401,0.46%,1.83%,0.027692521729688276
Rize,7745,1114,5149,1482,268906,0.41%,1.91%,0.02880188616096331
Sakarya,15246,2438,10376,2432,777027,0.31%,1.34%,0.019620939812902253
Samsun,22573,3789,14744,4040,1030199,0.37%,1.43%,0.02191130063220795
Siirt,3840,2086,1455,299,197181,1.06%,0.74%,0.019474492978532414
Sinop,4389,643,2711,1035,172933,0.37%,1.57%,0.025379771356536924
Sivas,10580,1581,6919,2080,478755,0.33%,1.45%,0.022098985911374294
Tekirdağ,19852,2961,13757,3134,809854,0.37%,1.70%,0.024513060378784323
Tokat,11497,1988,7055,2454,457272,0.43%,1.54%,0.025142584719816653
Trabzon,19059,2856,12391,3812,621825,0.46%,1.99%,0.030650102520805692
Tunceli,2308,314,1442,552,68980,0.46%,2.09%,0.03345897361554074
Şanlıurfa,16556,7227,8255,1074,1157716,0.62%,0.71%,0.014300571124524495
Uşak,7664,927,5335,1402,286295,0.32%,1.86%,0.026769590806685412
Van,13216,5386,6945,885,693216,0.78%,1.00%,0.019064764806351844
Yozgat,4994,858,3280,856,315031,0.27%,1.04%,0.015852408175703343
Zonguldak,11055,1553,7630,1872,466537,0.33%,1.64%,0.02369586978096057
Aksaray,5371,1235,3286,850,299426,0.41%,1.10%,0.017937654044738932
Bayburt,1342,229,893,220,62060,0.37%,1.44%,0.02162423461166613
Karaman,4653,782,3008,863,188095,0.42%,1.60%,0.024737499667721097
Kırıkkale,4016,685,2698,633,214988,0.32%,1.25%,0.018680112378365303
Batman,6209,2441,3329,439,375020,0.65%,0.89%,0.01655645032264946
Şırnak,4504,1915,2447,142,307348,0.62%,0.80%,0.014654398271665994
Bartın,5140,592,3808,740,159253,0.37%,2.39%,0.03227568711421449
Ardahan,2423,491,1460,472,71678,0.69%,2.04%,0.03380395658361003
Iğdır,2229,748,1276,205,130907,0.57%,0.97%,0.01702735529803601
Yalova,6334,1149,3821,1364,210810,0.55%,1.81%,0.03004601299748589
Karabük,4368,583,3024,761,195265,0.30%,1.55%,0.022369600286789748
Kilis,2238,714,1321,203,94522,0.76%,1.40%,0.023677027570301094
Osmaniye,9387,1973,6308,1106,378009,0.52%,1.67%,0.02483274207756958
Düzce,8031,1286,5589,1156,298284,0.43%,1.87%,0.026924005310375348
