,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,19901,5868,10545,3488,1599578,0.37%,0.66%,0.012441406420943523
Adıyaman,5989,2896,2195,898,417362,0.69%,0.53%,0.014349653298575337
Afyon,6904,1712,3574,1618,544755,0.31%,0.66%,0.012673587208928784
Ağrı,4836,3437,1112,287,316215,1.09%,0.35%,0.015293392154072388
Amasya,4828,1233,2311,1284,261116,0.47%,0.89%,0.01848986657271098
Ankara,66182,13140,42634,10408,4269423,0.31%,1.00%,0.015501392108488665
Antalya,27849,8398,14085,5366,1903745,0.44%,0.74%,0.014628534809021166
Artvin,2401,383,1279,739,135986,0.28%,0.94%,0.017656229317723884
Aydın,15461,3067,7975,4419,867298,0.35%,0.92%,0.01782662937075838
Balıkesir,20497,3623,9693,7181,992100,0.37%,0.98%,0.02066021570406209
Bilecik,2876,512,1624,740,169031,0.30%,0.96%,0.017014630452402223
Bingöl,1753,881,614,258,193043,0.46%,0.32%,0.009080878353527453
Bitlis,2555,1917,481,157,216393,0.89%,0.22%,0.011807221120831081
Bolu,4319,872,2393,1054,247627,0.35%,0.97%,0.017441555242360487
Burdur,3671,832,1763,1076,212252,0.39%,0.83%,0.017295478958973296
Bursa,30991,7021,18055,5915,2314439,0.30%,0.78%,0.013390285939702883
Çanakkale,9126,1610,5291,2225,437937,0.37%,1.21%,0.020838613773213957
Çankırı,2348,432,1080,836,151413,0.29%,0.71%,0.015507254991315144
Çorum,5981,1427,2921,1633,407844,0.35%,0.72%,0.014664920901128862
Denizli,12770,2511,7348,2911,793926,0.32%,0.93%,0.016084622496303182
Diyarbakır,11972,7075,3779,1118,1099830,0.64%,0.34%,0.010885318640153479
Edirne,5846,1464,2725,1657,334075,0.44%,0.82%,0.01749906458130659
Elazığ,5088,1433,2591,1064,432965,0.33%,0.60%,0.011751527259709214
Erzincan,2847,578,1274,995,180234,0.32%,0.71%,0.015796131695462564
Erzurum,6777,3054,2324,1399,526063,0.58%,0.44%,0.012882487458726426
Eskişehir,13721,2256,8920,2545,698642,0.32%,1.28%,0.01963952925818946
Gaziantep,15810,7010,6797,2003,1317351,0.53%,0.52%,0.012001357269247148
Giresun,6225,1446,2552,2227,359477,0.40%,0.71%,0.017316824163993803
Gümüşhane,1125,314,465,346,110911,0.28%,0.42%,0.010143268025714311
Hakkari,5450,4465,889,96,181606,2.46%,0.49%,0.030010021695318436
Hatay,14540,5582,6688,2270,1120447,0.50%,0.60%,0.01297696365825425
Isparta,6017,1336,2955,1726,342106,0.39%,0.86%,0.017588115964057925
Mersin,21769,6183,11203,4383,1356886,0.46%,0.83%,0.016043352204975214
İstanbul,162549,34149,110531,17869,11520854,0.30%,0.96%,0.014109110314218026
İzmir,59874,11240,35699,12935,3429827,0.33%,1.04%,0.017456857153436603
Kars,2857,1458,984,415,194225,0.75%,0.51%,0.014709743853777836
Kastamonu,4768,969,2274,1525,302774,0.32%,0.75%,0.015747719421086354
Kayseri,13260,3448,7009,2803,1016718,0.34%,0.69%,0.013041964438516875
Kırklareli,4942,848,2864,1230,294199,0.29%,0.97%,0.016798153630705748
Kırşehir,3071,623,1701,747,185308,0.34%,0.92%,0.016572409178232998
Kocaeli,20099,4597,12359,3143,1453509,0.32%,0.85%,0.013827915754219617
Konya,20196,6330,9224,4642,1611865,0.39%,0.57%,0.012529585294053782
Kütahya,6634,1242,3925,1467,454645,0.27%,0.86%,0.01459160443862794
Malatya,6911,1817,3424,1670,585623,0.31%,0.58%,0.011801107538467581
Manisa,18189,4109,9986,4094,1101092,0.37%,0.91%,0.01651905562841252
Kahramanmaraş,8349,3446,3240,1663,785567,0.44%,0.41%,0.010627992265459216
Mardin,7180,5118,1633,429,517582,0.99%,0.32%,0.013872198028524949
Muğla,17554,3039,10170,4345,787329,0.39%,1.29%,0.022295634988676906
Muş,2565,1734,613,218,244220,0.71%,0.25%,0.010502825321431496
Nevşehir,3580,731,2028,821,228791,0.32%,0.89%,0.01564746865042768
Niğde,4270,1169,2146,955,260708,0.45%,0.82%,0.0163784770701321
Ordu,9868,2222,4978,2668,589401,0.38%,0.84%,0.016742421543227786
Rize,3708,811,1879,1018,268906,0.30%,0.70%,0.013789205149754933
Sakarya,9689,2333,5092,2264,777027,0.30%,0.66%,0.012469322172845989
Samsun,12695,3622,5803,3270,1030199,0.35%,0.56%,0.01232286189367297
Siirt,3204,2314,712,178,197181,1.17%,0.36%,0.016249030078962983
Sinop,2942,534,1482,926,172933,0.31%,0.86%,0.017012368952137532
Sivas,7568,1836,3602,2130,478755,0.38%,0.75%,0.01580766780503598
Tekirdağ,12992,3363,6792,2837,809854,0.42%,0.84%,0.01604239776552317
Tokat,6650,1477,3256,1917,457272,0.32%,0.71%,0.014542766668416172
Trabzon,9359,2084,4762,2513,621825,0.34%,0.77%,0.015050858360471193
Tunceli,1286,238,642,406,68980,0.35%,0.93%,0.018643084952160046
Şanlıurfa,12880,9283,2907,690,1157716,0.80%,0.25%,0.01112535371369144
Uşak,3742,834,1926,982,286295,0.29%,0.67%,0.01307043434219948
Van,7814,4737,2367,710,693216,0.68%,0.34%,0.011272099893828186
Yozgat,3943,1037,1841,1065,315031,0.33%,0.58%,0.012516228561633617
Zonguldak,6312,1393,3304,1615,466537,0.30%,0.71%,0.013529473546578298
Aksaray,3110,1005,1441,664,299426,0.34%,0.48%,0.010386539579061271
Bayburt,869,489,221,159,62060,0.79%,0.36%,0.014002578150177247
Karaman,2554,754,1139,661,188095,0.40%,0.61%,0.01357824503575321
Kırıkkale,2875,759,1303,813,214988,0.35%,0.61%,0.013372839414292891
Batman,4167,2710,1125,332,375020,0.72%,0.30%,0.011111407391605781
Şırnak,6835,5229,1429,177,307348,1.70%,0.46%,0.02223863503260148
Bartın,2597,620,1074,903,159253,0.39%,0.67%,0.01630738510420526
Ardahan,1805,876,561,368,71678,1.22%,0.78%,0.025182064231702894
Iğdır,1806,1140,476,190,130907,0.87%,0.36%,0.013796053686968611
Yalova,3845,741,2269,835,210810,0.35%,1.08%,0.01823917271476685
Karabük,2687,646,1315,726,195265,0.33%,0.67%,0.013760786623306789
Kilis,1251,540,516,195,94522,0.57%,0.55%,0.013235014070798332
Osmaniye,6235,2226,2661,1348,378009,0.59%,0.70%,0.016494316272892974
Düzce,3511,825,1838,848,298284,0.28%,0.62%,0.011770661517211786
