,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,11468,2253,8670,545,1599578,0.14%,0.54%,0.007169390926856959
Adıyaman,1683,424,1179,80,417362,0.10%,0.28%,0.004032470613040957
Afyon,4490,774,3398,318,544755,0.14%,0.62%,0.00824223733605015
Ağrı,2114,936,1121,57,316215,0.30%,0.35%,0.006685324858087061
Amasya,2366,401,1817,148,261116,0.15%,0.70%,0.009061106940976425
Ankara,37685,5704,30124,1857,4269423,0.13%,0.71%,0.008826719676171699
Antalya,23477,5163,17098,1216,1903745,0.27%,0.90%,0.012332008751172033
Artvin,1080,140,835,105,135986,0.10%,0.61%,0.007941994028797082
Aydın,9572,1488,7424,660,867298,0.17%,0.86%,0.011036575663728038
Balıkesir,14814,2254,11147,1413,992100,0.23%,1.12%,0.014931962503779862
Bilecik,1555,231,1224,100,169031,0.14%,0.72%,0.00919949595044696
Bingöl,523,145,359,19,193043,0.08%,0.19%,0.00270924094631766
Bitlis,1246,576,614,56,216393,0.27%,0.28%,0.00575804208084365
Bolu,1954,306,1521,127,247627,0.12%,0.61%,0.007890900426851677
Burdur,1998,323,1539,136,212252,0.15%,0.73%,0.009413338861353485
Bursa,24274,4188,18820,1266,2314439,0.18%,0.81%,0.010488070759263907
Çanakkale,6194,1006,4699,489,437937,0.23%,1.07%,0.014143586862950606
Çankırı,1564,250,1160,154,151413,0.17%,0.77%,0.010329364057247397
Çorum,3807,570,2955,282,407844,0.14%,0.72%,0.009334451407891253
Denizli,6116,909,4896,311,793926,0.11%,0.62%,0.007703488738245126
Diyarbakır,5739,2281,3210,248,1099830,0.21%,0.29%,0.005218079157688006
Edirne,4192,674,3156,362,334075,0.20%,0.94%,0.012548080520841129
Elazığ,3084,606,2306,172,432965,0.14%,0.53%,0.007122977607889784
Erzincan,1723,266,1320,137,180234,0.15%,0.73%,0.009559794489386021
Erzurum,3378,828,2341,209,526063,0.16%,0.45%,0.006421284142773774
Eskişehir,7505,985,6117,403,698642,0.14%,0.88%,0.010742268572459142
Gaziantep,7606,1815,5607,184,1317351,0.14%,0.43%,0.005773707994300684
Giresun,4464,784,3267,413,359477,0.22%,0.91%,0.012418040653504953
Gümüşhane,496,80,371,45,110911,0.07%,0.33%,0.004472054169559377
Hakkari,450,167,271,12,181606,0.09%,0.15%,0.002477891699613449
Hatay,10318,2474,7462,382,1120447,0.22%,0.67%,0.009208824692287988
Isparta,2544,396,1960,188,342106,0.12%,0.57%,0.0074362916756794675
Mersin,12999,2412,9865,722,1356886,0.18%,0.73%,0.00958002367184863
İstanbul,130811,27038,99311,4462,11520854,0.23%,0.86%,0.011354279812937478
İzmir,43150,7278,33269,2603,3429827,0.21%,0.97%,0.012580809469398893
Kars,988,228,710,50,194225,0.12%,0.37%,0.005086883768824817
Kastamonu,3735,576,2848,311,302774,0.19%,0.94%,0.01233593373275116
Kayseri,4553,850,3455,248,1016718,0.08%,0.34%,0.00447813454664912
Kırklareli,3229,486,2504,239,294199,0.17%,0.85%,0.010975564158953633
Kırşehir,1514,238,1178,98,185308,0.13%,0.64%,0.008170181535605586
Kocaeli,13600,2319,10738,543,1453509,0.16%,0.74%,0.009356667210178953
Konya,7601,1595,5530,476,1611865,0.10%,0.34%,0.004715655467424381
Kütahya,2864,459,2230,175,454645,0.10%,0.49%,0.006299420426926503
Malatya,3498,649,2631,218,585623,0.11%,0.45%,0.005973126055499869
Manisa,10433,1612,8260,561,1101092,0.15%,0.75%,0.00947513922542349
Kahramanmaraş,4332,1007,3116,209,785567,0.13%,0.40%,0.0055144882613449905
Mardin,1790,639,1084,67,517582,0.12%,0.21%,0.0034583892020974456
Muğla,11197,1664,8788,745,787329,0.21%,1.12%,0.014221500795728342
Muş,735,266,437,32,244220,0.11%,0.18%,0.0030095815248546392
Nevşehir,1802,332,1351,119,228791,0.15%,0.59%,0.007876183940801867
Niğde,2319,426,1734,159,260708,0.16%,0.67%,0.008895008975558862
Ordu,8011,1392,6038,581,589401,0.24%,1.02%,0.01359176519890533
Rize,2129,323,1696,110,268906,0.12%,0.63%,0.00791726476910147
Sakarya,7468,1351,5703,414,777027,0.17%,0.73%,0.009610991638643188
Samsun,9067,1653,6889,525,1030199,0.16%,0.67%,0.008801212192984074
Siirt,1568,918,593,57,197181,0.47%,0.30%,0.007952084632900735
Sinop,1928,278,1446,204,172933,0.16%,0.84%,0.011148826424106447
Sivas,4939,880,3663,396,478755,0.18%,0.77%,0.010316341343693539
Tekirdağ,9947,1623,7765,559,809854,0.20%,0.96%,0.012282460789228676
Tokat,4519,741,3419,359,457272,0.16%,0.75%,0.009882520687905667
Trabzon,5647,919,4329,399,621825,0.15%,0.70%,0.009081333172516384
Tunceli,720,100,549,71,68980,0.14%,0.80%,0.010437808060307335
Şanlıurfa,4201,1851,2249,101,1157716,0.16%,0.19%,0.003628696502423738
Uşak,2863,465,2222,176,286295,0.16%,0.78%,0.010000174645033968
Van,4360,2034,2136,190,693216,0.29%,0.31%,0.006289525919771038
Yozgat,2599,455,1980,164,315031,0.14%,0.63%,0.008249981747827992
Zonguldak,5275,837,4042,396,466537,0.18%,0.87%,0.011306713079562821
Aksaray,1922,403,1427,92,299426,0.13%,0.48%,0.006418948254326612
Bayburt,339,88,226,25,62060,0.14%,0.36%,0.005462455688043828
Karaman,1502,270,1151,81,188095,0.14%,0.61%,0.007985326563704511
Kırıkkale,1427,210,1125,92,214988,0.10%,0.52%,0.006637579771894245
Batman,1368,467,828,73,375020,0.12%,0.22%,0.00364780545037598
Şırnak,1007,457,532,18,307348,0.15%,0.17%,0.003276416309850723
Bartın,1510,233,1187,90,159253,0.15%,0.75%,0.009481768004370405
Ardahan,428,82,303,43,71678,0.11%,0.42%,0.005971148748569993
Iğdır,628,238,369,21,130907,0.18%,0.28%,0.004797298845745453
Yalova,3729,683,2788,258,210810,0.32%,1.32%,0.017688914188131493
Karabük,1872,279,1459,134,195265,0.14%,0.75%,0.00958697155148132
Kilis,495,126,349,20,94522,0.13%,0.37%,0.005236876071179197
Osmaniye,3038,629,2278,131,378009,0.17%,0.60%,0.008036845683568382
Düzce,2377,375,1910,92,298284,0.13%,0.64%,0.007968915530165882
