,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,9989,2690,6515,784,1599578,2258718,0.17%,0.41%,0.006244772058630464,0.12%,0.29%,0.004422420151608124
Adıyaman,1906,609,1206,91,417362,632459,0.15%,0.29%,0.004566778959272766,0.10%,0.19%,0.0030136340853715417
Afyon,4504,1008,2893,603,544755,736912,0.19%,0.53%,0.008267936962487723,0.14%,0.39%,0.006111991662505156
Ağrı,2647,1111,1413,123,316215,535435,0.35%,0.45%,0.008370886896573533,0.21%,0.26%,0.004943643953047522
Amasya,1718,357,1136,225,261116,335494,0.14%,0.44%,0.006579451278359043,0.11%,0.34%,0.005120806929483091
Ankara,39737,7664,27707,4366,4269423,5663322,0.18%,0.65%,0.009307346683615093,0.14%,0.49%,0.007016553182036974
Antalya,17477,4708,10657,2112,1903745,2548308,0.25%,0.56%,0.009180326146621528,0.18%,0.42%,0.00685827615814101
Artvin,1170,224,703,243,135986,169501,0.16%,0.52%,0.008603826864530172,0.13%,0.41%,0.006902614143869358
Aydın,6442,1189,4153,1100,867298,1119084,0.14%,0.48%,0.007427666153963229,0.11%,0.37%,0.005756493703779162
Balıkesir,9775,1769,5942,2064,992100,1240285,0.18%,0.60%,0.009852837415583106,0.14%,0.48%,0.007881253099086096
Bilecik,1522,275,1070,177,169031,218717,0.16%,0.63%,0.009004265489762233,0.13%,0.49%,0.006958764064978945
Bingöl,792,352,381,59,193043,281768,0.18%,0.20%,0.004102712867081427,0.12%,0.14%,0.002810823088498339
Bitlis,1462,926,436,100,216393,350994,0.43%,0.20%,0.006756225940765182,0.26%,0.12%,0.004165313367180065
Bolu,1859,345,1183,331,247627,314802,0.14%,0.48%,0.007507258901492972,0.11%,0.38%,0.005905299203944067
Burdur,1660,359,1098,203,212252,267092,0.17%,0.52%,0.007820892147070463,0.13%,0.41%,0.006215086936336543
Bursa,20007,4795,13041,2171,2314439,3101833,0.21%,0.56%,0.008644427440083752,0.15%,0.42%,0.006450057111391877
Çanakkale,5604,1156,3451,997,437937,541548,0.26%,0.79%,0.012796361120435132,0.21%,0.64%,0.010348113186642735
Çankırı,1129,209,666,254,151413,192428,0.14%,0.44%,0.007456427123166439,0.11%,0.35%,0.00586712952376993
Çorum,2902,559,1898,445,407844,530126,0.14%,0.47%,0.00711546571728406,0.11%,0.36%,0.0054741702915910555
Denizli,8554,1778,6185,591,793926,1040915,0.22%,0.78%,0.010774303902378811,0.17%,0.59%,0.008217769942790719
Diyarbakır,5971,2729,2883,359,1099830,1783431,0.25%,0.26%,0.005429020848676614,0.15%,0.16%,0.0033480409390663278
Edirne,2947,608,1918,421,334075,407763,0.18%,0.57%,0.008821372446306966,0.15%,0.47%,0.0072272373903468435
Elazığ,3047,854,1832,361,432965,587960,0.20%,0.42%,0.007037520353839225,0.15%,0.31%,0.005182325328253623
Erzincan,906,197,578,131,180234,234431,0.11%,0.32%,0.005026798495289457,0.08%,0.25%,0.0038646765999377215
Erzurum,4280,1591,2125,564,526063,758279,0.30%,0.40%,0.008135907676457003,0.21%,0.28%,0.0056443604530786165
Eskişehir,6765,1241,4710,814,698642,888828,0.18%,0.67%,0.009683070871776962,0.14%,0.53%,0.007611146363525901
Gaziantep,8861,2619,5720,522,1317351,2101157,0.20%,0.43%,0.006726377404351612,0.12%,0.27%,0.004217200332959413
Giresun,2124,539,1203,382,359477,448721,0.15%,0.33%,0.005908583859328969,0.12%,0.27%,0.004733453526801732
Gümüşhane,504,148,253,103,110911,141702,0.13%,0.23%,0.004544184075520012,0.10%,0.18%,0.00355675996104501
Hakkari,4082,1439,2585,58,181606,280514,0.79%,1.42%,0.022477230928493554,0.51%,0.92%,0.01455185837427009
Hatay,8704,2458,5800,446,1120447,1659320,0.22%,0.52%,0.007768328176165406,0.15%,0.35%,0.005245522262131475
Isparta,2033,443,1279,311,342106,440304,0.13%,0.37%,0.005942602585163663,0.10%,0.29%,0.004617264435480941
Mersin,8827,2161,5713,953,1356886,1868757,0.16%,0.42%,0.006505336483683965,0.12%,0.31%,0.004723460567639345
İstanbul,103378,24351,69746,9281,11520854,15462452,0.21%,0.61%,0.008973119527423922,0.16%,0.45%,0.006685744279109161
İzmir,30213,5526,20795,3892,3429827,4394694,0.16%,0.61%,0.008808899107739254,0.13%,0.47%,0.006874881391059309
Kars,862,207,581,74,194225,284923,0.11%,0.30%,0.004438151628266186,0.07%,0.20%,0.0030253787865493482
Kastamonu,2558,513,1543,502,302774,376377,0.17%,0.51%,0.00844854578002074,0.14%,0.41%,0.006796377036854005
Kayseri,7364,1772,4987,605,1016718,1421455,0.17%,0.49%,0.0072429129807871995,0.12%,0.35%,0.005180607194740601
Kırklareli,2937,555,2014,368,294199,361737,0.19%,0.68%,0.009983038691497931,0.15%,0.56%,0.008119158394081888
Kırşehir,1189,222,758,209,185308,243042,0.12%,0.41%,0.006416344680208086,0.09%,0.31%,0.0048921585569572336
Kocaeli,12531,2730,8845,956,1453509,1997258,0.19%,0.61%,0.008621205647849446,0.14%,0.44%,0.006274101793558969
Konya,12351,3476,7530,1345,1611865,2250020,0.22%,0.47%,0.0076625523849702054,0.15%,0.33%,0.005489284539692981
Kütahya,2803,525,1996,282,454645,576688,0.12%,0.44%,0.006165249810291546,0.09%,0.35%,0.0048605138307022165
Malatya,3242,913,2004,325,585623,806156,0.16%,0.34%,0.0055359847546971345,0.11%,0.25%,0.004021554140885883
Manisa,7983,1701,5530,752,1101092,1450616,0.15%,0.50%,0.007250075379713956,0.12%,0.38%,0.005503179338984266
Kahramanmaraş,4764,1222,3084,458,785567,1168163,0.16%,0.39%,0.006064409528404324,0.10%,0.26%,0.004078197991204994
Mardin,2551,1071,1349,131,517582,854716,0.21%,0.26%,0.004928687628240549,0.13%,0.16%,0.002984617112584765
Muğla,7188,1352,4446,1390,787329,1000773,0.17%,0.56%,0.009129601475367984,0.14%,0.44%,0.007182447967720952
Muş,1389,600,713,76,244220,411117,0.25%,0.29%,0.005687494881664074,0.15%,0.17%,0.00337860025248287
Nevşehir,1310,270,885,155,228791,304962,0.12%,0.39%,0.005725749701692811,0.09%,0.29%,0.004295617158859137
Niğde,1890,468,1136,286,260708,362071,0.18%,0.44%,0.007249489850714209,0.13%,0.31%,0.005219970668736243
Ordu,5691,1282,3396,1013,589401,761400,0.22%,0.58%,0.009655565565718416,0.17%,0.45%,0.007474389282899921
Rize,1545,415,898,232,268906,344359,0.15%,0.33%,0.005745502145731222,0.12%,0.26%,0.0044865968364410395
