,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,36431,10686,21400,4345,1599578,2258718,0.67%,1.34%,0.02277538200700435,0.47%,0.95%,0.01612906082122691
Adıyaman,9614,2803,5848,963,417362,632459,0.67%,1.40%,0.023035158926782984,0.44%,0.92%,0.015200985360315847
Afyon,12814,3041,7612,2161,544755,736912,0.56%,1.40%,0.023522500940789896,0.41%,1.03%,0.01738877912152333
Ağrı,6528,2343,3855,330,316215,535435,0.74%,1.22%,0.02064418196480243,0.44%,0.72%,0.012191956073099442
Amasya,7673,1777,4232,1664,261116,335494,0.68%,1.62%,0.029385407251949325,0.53%,1.26%,0.022870751786917203
Ankara,80034,20443,45989,13602,4269423,5663322,0.48%,1.08%,0.018745858632419416,0.36%,0.81%,0.014131988257068908
Antalya,46574,14894,24165,7515,1903745,2548308,0.78%,1.27%,0.0244644109373892,0.58%,0.95%,0.018276440681424696
Artvin,4555,1150,2559,846,135986,169501,0.85%,1.88%,0.03349609518626918,0.68%,1.51%,0.026872997799423013
Aydın,21570,4933,12110,4527,867298,1119084,0.57%,1.40%,0.02487034444908209,0.44%,1.08%,0.019274692516379466
Balıkesir,25040,5714,13331,5995,992100,1240285,0.58%,1.34%,0.025239391190404192,0.46%,1.07%,0.020188908194487556
Bilecik,4053,930,2281,842,169031,218717,0.55%,1.35%,0.023977850216824134,0.43%,1.04%,0.018530795502864433
Bingöl,7073,2885,3440,748,193043,281768,1.49%,1.78%,0.0366395051879633,1.02%,1.22%,0.02510221174867267
Bitlis,6110,3165,2607,338,216393,350994,1.46%,1.20%,0.028235663815372954,0.90%,0.74%,0.01740770497501382
Bolu,6806,1583,3990,1233,247627,314802,0.64%,1.61%,0.02748488654306679,0.50%,1.27%,0.02161993888221803
Burdur,7347,1783,4092,1472,212252,267092,0.84%,1.93%,0.03461451482200403,0.67%,1.53%,0.027507375735701556
Bursa,52332,13272,31243,7817,2314439,3101833,0.57%,1.35%,0.022611094956488376,0.43%,1.01%,0.016871314477600825
Çanakkale,11815,2681,6524,2610,437937,541548,0.61%,1.49%,0.02697876635223788,0.50%,1.20%,0.021817087312666652
Çankırı,4144,798,2439,907,151413,192428,0.53%,1.61%,0.027368852080072385,0.41%,1.27%,0.021535327499116554
Çorum,11369,2729,6519,2121,407844,530126,0.67%,1.60%,0.027875854493384724,0.51%,1.23%,0.021445844950068474
Denizli,21037,4987,12560,3490,793926,1040915,0.63%,1.58%,0.026497431750566174,0.48%,1.21%,0.02021010361076553
Diyarbakır,32618,15081,14860,2677,1099830,1783431,1.37%,1.35%,0.02965731067528618,0.85%,0.83%,0.018289465642348932
Edirne,7860,1714,4264,1882,334075,407763,0.51%,1.28%,0.023527650976577115,0.42%,1.05%,0.019275902914192802
Elazığ,10205,3325,5333,1547,432965,587960,0.77%,1.23%,0.023570034529349946,0.57%,0.91%,0.017356622899516973
Erzincan,5251,1164,3143,944,180234,234431,0.65%,1.74%,0.029134347570380727,0.50%,1.34%,0.022398914819285846
Erzurum,11750,4134,5858,1758,526063,758279,0.79%,1.11%,0.022335727850086397,0.55%,0.77%,0.015495615729830313
Eskişehir,14127,3099,8157,2871,698642,888828,0.44%,1.17%,0.02022065664532049,0.35%,0.92%,0.015893963736515953
Gaziantep,31714,9791,19483,2440,1317351,2101157,0.74%,1.48%,0.024074069856856676,0.47%,0.93%,0.015093588913155943
Giresun,10995,2574,5891,2530,359477,448721,0.72%,1.64%,0.03058610147519869,0.57%,1.31%,0.024502976236904447
Gümüşhane,2822,765,1382,675,110911,141702,0.69%,1.25%,0.025443824327614033,0.54%,0.98%,0.019915032956486146
Hakkari,3759,689,2978,92,181606,280514,0.38%,1.64%,0.02069865533077101,0.25%,1.06%,0.013400400693013539
Hatay,30459,9828,17980,2651,1120447,1659320,0.88%,1.60%,0.02718468611188213,0.59%,1.08%,0.018356314634910685
Isparta,10922,2626,6000,2296,342106,440304,0.77%,1.75%,0.03192577739063331,0.60%,1.36%,0.024805588865874487
Mersin,34383,9924,19367,5092,1356886,1868757,0.73%,1.43%,0.025339637965164353,0.53%,1.04%,0.018398860847076426
İstanbul,218041,64266,128727,25048,11520854,15462452,0.56%,1.12%,0.018925767134971072,0.42%,0.83%,0.014101321058264239
İzmir,78498,19138,44994,14366,3429827,4394694,0.56%,1.31%,0.022886868637980867,0.44%,1.02%,0.01786199448698817
Kars,5052,1582,2951,519,194225,284923,0.81%,1.52%,0.026011069635731753,0.56%,1.04%,0.01773110629889479
Kastamonu,8444,1972,4536,1936,302774,376377,0.65%,1.50%,0.027888788337175584,0.52%,1.21%,0.02243495218889571
Kayseri,25844,7159,14632,4053,1016718,1421455,0.70%,1.44%,0.0254190444154623,0.50%,1.03%,0.01818137049713146
Kırklareli,7268,1395,4352,1521,294199,361737,0.47%,1.48%,0.024704366772150824,0.39%,1.20%,0.020091945253042958
