,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,27901,4675,20929,2297,1599578,0.29%,1.31%,0.017442725518855597
Adıyaman,9674,3205,5541,928,417362,0.77%,1.33%,0.023178919019939525
Afyon,8564,1418,6022,1124,544755,0.26%,1.11%,0.01572082862938385
Ağrı,5629,3099,2247,283,316215,0.98%,0.71%,0.017801179577186407
Amasya,6769,1117,4682,970,261116,0.43%,1.79%,0.02592334441397693
Ankara,73808,9344,58715,5749,4269423,0.22%,1.38%,0.017287581951940578
Antalya,38336,6959,27776,3601,1903745,0.37%,1.46%,0.020137150721341358
Artvin,3735,537,2385,813,135986,0.39%,1.75%,0.02746606268292324
Aydın,18054,2586,12852,2616,867298,0.30%,1.48%,0.020816374533320726
Balıkesir,25069,3261,17527,4281,992100,0.33%,1.77%,0.02526862211470618
Bilecik,3958,478,2991,489,169031,0.28%,1.77%,0.02341582313303477
Bingöl,2134,785,1104,245,193043,0.41%,0.57%,0.011054531891858291
Bitlis,2647,1466,1022,159,216393,0.68%,0.47%,0.012232373505612473
Bolu,6457,785,4933,739,247627,0.32%,1.99%,0.026075508728854283
Burdur,5054,775,3438,841,212252,0.37%,1.62%,0.02381131862126152
Bursa,40871,5725,31518,3628,2314439,0.25%,1.36%,0.017659138996534367
Çanakkale,11070,1644,7697,1729,437937,0.38%,1.76%,0.025277608423129354
Çankırı,3104,498,1992,614,151413,0.33%,1.32%,0.020500221249166187
Çorum,8439,1287,5909,1243,407844,0.32%,1.45%,0.020691735075175802
Denizli,16397,2394,12185,1818,793926,0.30%,1.53%,0.02065305834548812
Diyarbakır,16020,6846,8008,1166,1099830,0.62%,0.73%,0.014565887455334006
Edirne,7570,853,5553,1164,334075,0.26%,1.66%,0.022659582429095264
Elazığ,6296,1321,4170,805,432965,0.31%,0.96%,0.0145415911216842
Erzincan,3602,551,2438,613,180234,0.31%,1.35%,0.019985130441537113
Erzurum,8649,2434,5230,985,526063,0.46%,0.99%,0.016440996610672106
Eskişehir,16158,1750,12820,1588,698642,0.25%,1.83%,0.02312772492921983
Gaziantep,18329,4344,13064,921,1317351,0.33%,0.99%,0.013913527981532637
Giresun,9996,1656,6297,2043,359477,0.46%,1.75%,0.027807064151531252
Gümüşhane,1758,323,1041,394,110911,0.29%,0.94%,0.015850546834849565
Hakkari,4323,2782,1448,93,181606,1.53%,0.80%,0.02380427959428653
Hatay,17805,3995,12515,1295,1120447,0.36%,1.12%,0.015890979225255633
Isparta,8233,1215,5799,1219,342106,0.36%,1.70%,0.024065640474005133
Mersin,27181,4857,18992,3332,1356886,0.36%,1.40%,0.02003189656316006
İstanbul,193362,26904,155829,10629,11520854,0.23%,1.35%,0.016783651628603225
İzmir,69503,8598,54750,6155,3429827,0.25%,1.60%,0.020264287382424827
Kars,3133,1024,1777,332,194225,0.53%,0.91%,0.016130776161668168
Kastamonu,7209,1126,4769,1314,302774,0.37%,1.58%,0.023809838361285977
Kayseri,19733,3222,14463,2048,1016718,0.32%,1.42%,0.01940852822513224
Kırklareli,6284,678,4881,725,294199,0.23%,1.66%,0.02135969190921791
Kırşehir,4450,679,3070,701,185308,0.37%,1.66%,0.02401407386621193
