,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,26308,24781,1527,0,1599578,1.55%,0.10%,0.016446837853483855
Adıyaman,4789,4459,330,0,417362,1.07%,0.08%,0.01147445143544453
Afyon,7381,6875,506,0,544755,1.26%,0.09%,0.013549210195408945
Ağrı,3062,2527,535,0,316215,0.80%,0.17%,0.00968328510665212
Amasya,3645,3268,377,0,261116,1.25%,0.14%,0.013959313102222768
Ankara,60747,56613,4134,0,4269423,1.33%,0.10%,0.014228386365089616
Antalya,29620,27049,2571,0,1903745,1.42%,0.14%,0.015558806457797657
Artvin,1913,1743,170,0,135986,1.28%,0.13%,0.014067624608415572
Aydın,13933,12301,1632,0,867298,1.42%,0.19%,0.016064835846502586
Balıkesir,14784,13759,1025,0,992100,1.39%,0.10%,0.014901723616570911
Bilecik,2108,1974,134,0,169031,1.17%,0.08%,0.012471085185557678
Bingöl,1733,1579,154,0,193043,0.82%,0.08%,0.008977274493247618
Bitlis,2020,1897,123,0,216393,0.88%,0.06%,0.009334867578895805
Bolu,2804,2439,365,0,247627,0.98%,0.15%,0.011323482495850613
Burdur,2507,2209,298,0,212252,1.04%,0.14%,0.011811431694400996
Bursa,33783,31497,2286,0,2314439,1.36%,0.10%,0.014596625791390485
Çanakkale,6120,5460,660,0,437937,1.25%,0.15%,0.0139746127867707
Çankırı,1892,1730,162,0,151413,1.14%,0.11%,0.012495624550071659
Çorum,5665,5116,549,0,407844,1.25%,0.13%,0.013890114847833975
Denizli,12177,11363,814,0,793926,1.43%,0.10%,0.015337701498628335
Diyarbakır,9711,9250,461,0,1099830,0.84%,0.04%,0.008829546384441231
Edirne,4166,3801,365,0,334075,1.14%,0.11%,0.012470253685549652
Elazığ,4267,3888,379,0,432965,0.90%,0.09%,0.009855300081992771
Erzincan,2041,1862,179,0,180234,1.03%,0.10%,0.01132416747117636
Erzurum,6731,6363,368,0,526063,1.21%,0.07%,0.012795045460334598
Eskişehir,9535,8938,597,0,698642,1.28%,0.09%,0.013647905508114313
Gaziantep,22849,21758,1091,0,1317351,1.65%,0.08%,0.017344656055979006
Giresun,5147,4687,460,0,359477,1.30%,0.13%,0.014318023128044354
Gümüşhane,1174,1032,142,0,110911,0.93%,0.13%,0.010585063699723202
Hakkari,1700,1603,97,0,181606,0.88%,0.05%,0.009360924198539696
Hatay,17964,16924,1040,0,1120447,1.51%,0.09%,0.016032886874613437
Isparta,4401,3898,503,0,342106,1.14%,0.15%,0.012864433830450212
Mersin,21694,20373,1321,0,1356886,1.50%,0.10%,0.01598807858582077
İstanbul,152322,143563,8759,0,11520854,1.25%,0.08%,0.013221415704078882
İzmir,50058,46282,3776,0,3429827,1.35%,0.11%,0.014594905224082732
Kars,2469,2296,173,0,194225,1.18%,0.09%,0.01271206075427983
Kastamonu,3236,2902,334,0,302774,0.96%,0.11%,0.010687839774881596
Kayseri,15463,14260,1203,0,1016718,1.40%,0.12%,0.015208740279998977
Kırklareli,4359,4078,281,0,294199,1.39%,0.10%,0.014816501755614397
Kırşehir,2343,2179,164,0,185308,1.18%,0.09%,0.012643814622142596
Kocaeli,21324,19979,1345,0,1453509,1.37%,0.09%,0.014670703793371764
Konya,19373,17710,1663,0,1611865,1.10%,0.10%,0.012018996628129526
Kütahya,6229,5211,1018,0,454645,1.15%,0.22%,0.013700799524904045
Malatya,7351,6931,420,0,585623,1.18%,0.07%,0.012552444149222282
Manisa,15413,14072,1341,0,1101092,1.28%,0.12%,0.013997922062824904
Kahramanmaraş,12913,12224,689,0,785567,1.56%,0.09%,0.016437808614669404
Mardin,4954,4660,294,0,517582,0.90%,0.06%,0.009571430227480863
Muğla,13758,12061,1697,0,787329,1.53%,0.22%,0.017474270603521528
Muş,2560,2417,143,0,244220,0.99%,0.06%,0.010482351977725003
Nevşehir,3065,2814,251,0,228791,1.23%,0.11%,0.013396505981441577
Niğde,3495,3270,225,0,260708,1.25%,0.09%,0.013405802660447703
Ordu,7912,7309,603,0,589401,1.24%,0.10%,0.013423798059385716
Rize,3949,3639,310,0,268906,1.35%,0.12%,0.014685429109056696
Sakarya,10562,9777,785,0,777027,1.26%,0.10%,0.013592835255402965
Samsun,14919,13359,1560,0,1030199,1.30%,0.15%,0.014481668104900121
Siirt,1566,1466,100,0,197181,0.74%,0.05%,0.007941941667807751
Sinop,2100,1834,266,0,172933,1.06%,0.15%,0.0121434312710703
Sivas,6006,5445,561,0,478755,1.14%,0.12%,0.012545038694112855
Tekirdağ,16393,15610,783,0,809854,1.93%,0.10%,0.02024192014856999
Tokat,5374,5022,352,0,457272,1.10%,0.08%,0.011752304973844888
Trabzon,8506,7643,863,0,621825,1.23%,0.14%,0.013679089776062397
Tunceli,949,598,351,0,68980,0.87%,0.51%,0.01375761090171064
Şanlıurfa,8701,8249,452,0,1157716,0.71%,0.04%,0.007515660144629599
Uşak,4535,4199,336,0,286295,1.47%,0.12%,0.01584030458093924
Van,10841,9912,929,0,693216,1.43%,0.13%,0.01563870424225638
Yozgat,3854,3575,279,0,315031,1.13%,0.09%,0.012233716681850358
Zonguldak,5743,5252,491,0,466537,1.13%,0.11%,0.012309848950887069
Aksaray,4083,3884,199,0,299426,1.30%,0.07%,0.013636090386272401
Bayburt,736,670,66,0,62060,1.08%,0.11%,0.011859490815339994
Karaman,2436,2267,169,0,188095,1.21%,0.09%,0.012950902469496798
Kırıkkale,2806,2446,360,0,214988,1.14%,0.17%,0.013051891268349861
Batman,3078,2890,188,0,375020,0.77%,0.05%,0.008207562263345954
Şırnak,3178,2752,426,0,307348,0.90%,0.14%,0.010340070538933066
Bartın,2468,2327,141,0,159253,1.46%,0.09%,0.015497353268070304
Ardahan,1206,1068,138,0,71678,1.49%,0.19%,0.016825246240129467
Iğdır,1864,1457,407,0,130907,1.11%,0.31%,0.014239116319218988
Yalova,2703,2523,180,0,210810,1.20%,0.09%,0.012821972392201508
Karabük,2845,2592,253,0,195265,1.33%,0.13%,0.01456994341023737
Kilis,1838,1690,148,0,94522,1.79%,0.16%,0.01944520852288356
Osmaniye,6075,5848,227,0,378009,1.55%,0.06%,0.016071045927477916
Düzce,5025,4778,247,0,298284,1.60%,0.08%,0.016846361185983826
