,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,5427,2409,1573,1445,1599578,0.15%,0.10%,0.0033927698430461033
Adıyaman,1243,759,304,180,417362,0.18%,0.07%,0.0029782299298929944
Afyon,2060,799,563,698,544755,0.15%,0.10%,0.003781516461528577
Ağrı,1229,862,254,113,316215,0.27%,0.08%,0.003886596145027908
Amasya,1085,329,363,393,261116,0.13%,0.14%,0.004155241348672621
Ankara,26994,7918,10316,8760,4269423,0.19%,0.24%,0.0063226342294965855
Antalya,11395,4241,3494,3660,1903745,0.22%,0.18%,0.005985570546475499
Artvin,480,142,89,249,135986,0.10%,0.07%,0.0035297751239098145
Aydın,6631,1221,1577,3833,867298,0.14%,0.18%,0.007645584332028899
Balıkesir,8392,1635,2033,4724,992100,0.16%,0.20%,0.008458824715250479
Bilecik,723,259,245,219,169031,0.15%,0.14%,0.004277321911365371
Bingöl,760,551,145,64,193043,0.29%,0.08%,0.003936946690633693
Bitlis,326,149,117,60,216393,0.07%,0.05%,0.001506518233029719
Bolu,1196,414,335,447,247627,0.17%,0.14%,0.0048298448876738
Burdur,934,278,289,367,212252,0.13%,0.14%,0.004400429677930008
Bursa,13353,5123,4432,3798,2314439,0.22%,0.19%,0.00576943267893429
Çanakkale,3635,783,1060,1792,437937,0.18%,0.24%,0.008300280633972467
Çankırı,831,183,260,388,151413,0.12%,0.17%,0.005488300212002932
Çorum,1585,532,582,471,407844,0.13%,0.14%,0.003886289855925305
Denizli,3126,1202,941,983,793926,0.15%,0.12%,0.003937394669024569
Diyarbakır,3126,1844,741,541,1099830,0.17%,0.07%,0.002842257439786149
Edirne,2277,577,839,861,334075,0.17%,0.25%,0.006815834767641997
Elazığ,1078,462,335,281,432965,0.11%,0.08%,0.002489808645040592
Erzincan,696,231,253,212,180234,0.13%,0.14%,0.0038616465261826294
Erzurum,1620,927,386,307,526063,0.18%,0.07%,0.0030794790737991456
Eskişehir,4334,1303,1375,1656,698642,0.19%,0.20%,0.0062034632902115815
Gaziantep,5892,3947,1211,734,1317351,0.30%,0.09%,0.004472612082884516
Giresun,1322,509,281,532,359477,0.14%,0.08%,0.0036775649067951497
Gümüşhane,229,83,50,96,110911,0.07%,0.05%,0.0020647185581231797
Hakkari,1439,1263,138,38,181606,0.70%,0.08%,0.007923747012763896
Hatay,4384,2088,1486,810,1120447,0.19%,0.13%,0.003912724118142134
Isparta,1625,468,544,613,342106,0.14%,0.16%,0.004749989769252804
Mersin,5484,1828,1835,1821,1356886,0.13%,0.14%,0.004041607032573113
İstanbul,77026,33777,22220,21029,11520854,0.29%,0.19%,0.006685789091676711
İzmir,24030,6729,7054,10247,3429827,0.20%,0.21%,0.007006184276932918
Kars,418,123,190,105,194225,0.06%,0.10%,0.0021521431329643453
Kastamonu,1497,526,340,631,302774,0.17%,0.11%,0.004944281873608698
Kayseri,2781,1225,891,665,1016718,0.12%,0.09%,0.002735271727263607
Kırklareli,1708,693,562,453,294199,0.24%,0.19%,0.005805594172651844
Kırşehir,738,222,233,283,185308,0.12%,0.13%,0.003982558767025708
Kocaeli,6490,2799,2143,1548,1453509,0.19%,0.15%,0.00446505663191628
Konya,6337,2574,2118,1645,1611865,0.16%,0.13%,0.003931470687681661
Kütahya,1263,446,459,358,454645,0.10%,0.10%,0.002777991619835256
Malatya,1742,617,608,517,585623,0.11%,0.10%,0.00297460994530611
Manisa,5681,2041,2055,1585,1101092,0.19%,0.19%,0.005159423554071776
Kahramanmaraş,2611,1574,517,520,785567,0.20%,0.07%,0.003323713954379448
Mardin,920,507,268,145,517582,0.10%,0.05%,0.0017774961262176814
Muğla,7372,1180,2211,3981,787329,0.15%,0.28%,0.009363303015638952
Muş,1179,918,146,115,244220,0.38%,0.06%,0.004827614445991319
Nevşehir,908,316,329,263,228791,0.14%,0.14%,0.003968687579493949
Niğde,826,253,241,332,260708,0.10%,0.09%,0.00316829556438621
Ordu,3450,1197,997,1256,589401,0.20%,0.17%,0.005853400316592609
Rize,845,279,260,306,268906,0.10%,0.10%,0.003142362014979212
Sakarya,3105,1144,897,1064,777027,0.15%,0.12%,0.003996000138991309
Samsun,5521,2371,1246,1904,1030199,0.23%,0.12%,0.005359158764471719
Siirt,280,160,100,20,197181,0.08%,0.05%,0.0014200151130179886
Sinop,831,223,230,378,172933,0.13%,0.13%,0.004805329231552104
Sivas,1737,603,422,712,478755,0.13%,0.09%,0.0036281605414042674
Tekirdağ,5058,2499,1124,1435,809854,0.31%,0.14%,0.0062455701891945955
Tokat,2235,763,670,802,457272,0.17%,0.15%,0.0048876817299113
Trabzon,2681,814,819,1048,621825,0.13%,0.13%,0.00431150243235637
Tunceli,169,37,76,56,68980,0.05%,0.11%,0.0024499855030443605
Şanlıurfa,1998,1218,532,248,1157716,0.11%,0.05%,0.001725811857139402
Uşak,840,327,311,202,286295,0.11%,0.11%,0.002934036570670113
Van,3447,2699,535,213,693216,0.39%,0.08%,0.004972476111341919
Yozgat,883,347,235,301,315031,0.11%,0.07%,0.0028028987623440233
Zonguldak,2870,994,947,929,466537,0.21%,0.20%,0.006151709296368777
Aksaray,760,315,275,170,299426,0.11%,0.09%,0.0025381897363622396
Bayburt,89,33,40,16,62060,0.05%,0.06%,0.0014340960360941025
Karaman,435,199,143,93,188095,0.11%,0.08%,0.0023126611552672853
Kırıkkale,788,303,298,187,214988,0.14%,0.14%,0.0036653208551174947
Batman,1144,777,224,143,375020,0.21%,0.06%,0.0030505039731214337
Şırnak,2431,2051,294,86,307348,0.67%,0.10%,0.007909600843343701
Bartın,619,258,211,150,159253,0.16%,0.13%,0.0038868969501359473
Ardahan,111,34,35,42,71678,0.05%,0.05%,0.0015485923156338067
Iğdır,210,110,71,29,130907,0.08%,0.05%,0.0016041922891823967
Yalova,1866,463,500,903,210810,0.22%,0.24%,0.0088515725060481
Karabük,866,349,231,286,195265,0.18%,0.12%,0.004434998591657491
Kilis,304,134,111,59,94522,0.14%,0.12%,0.0032161824760373247
Osmaniye,1138,387,415,336,378009,0.10%,0.11%,0.0030105103317645877
Düzce,1124,505,336,283,298284,0.17%,0.11%,0.0037682208901583724
