,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,18263,7353,5739,5171,1599578,0.46%,0.36%,0.011417386335646026
Adıyaman,5136,2549,1579,1008,417362,0.61%,0.38%,0.012305863974199855
Afyon,6608,2171,2340,2097,544755,0.40%,0.43%,0.012130223678534387
Ağrı,4970,3540,1082,348,316215,1.12%,0.34%,0.015717154467688125
Amasya,5233,1396,1792,2045,261116,0.53%,0.69%,0.02004090136184684
Ankara,63750,15758,31436,16556,4269423,0.37%,0.74%,0.014931760099666864
Antalya,27246,10498,8634,8114,1903745,0.55%,0.45%,0.01431179070726384
Artvin,2283,634,772,877,135986,0.47%,0.57%,0.016788492933096054
Aydın,16421,3760,5953,6708,867298,0.43%,0.69%,0.018933515354584006
Balıkesir,19854,4130,6243,9481,992100,0.42%,0.63%,0.02001209555488358
Bilecik,2909,670,1163,1076,169031,0.40%,0.69%,0.01720986091308695
Bingöl,2168,1314,483,371,193043,0.68%,0.25%,0.011230658454334009
Bitlis,2469,1701,414,354,216393,0.79%,0.19%,0.011409796065491952
Bolu,3960,829,1652,1479,247627,0.33%,0.67%,0.01599179410968917
Burdur,4360,1205,1278,1877,212252,0.57%,0.60%,0.020541620338088686
Bursa,31044,9222,13323,8499,2314439,0.40%,0.58%,0.01341318565751787
Çanakkale,8327,1917,3154,3256,437937,0.44%,0.72%,0.019014150437163337
Çankırı,2410,552,778,1080,151413,0.36%,0.51%,0.015916731060080708
Çorum,6421,1653,2475,2293,407844,0.41%,0.61%,0.01574376477280529
Denizli,12739,3290,5610,3839,793926,0.41%,0.71%,0.01604557603605374
Diyarbakır,11020,7035,2506,1479,1099830,0.64%,0.23%,0.010019730321958848
Edirne,5417,1257,1772,2388,334075,0.38%,0.53%,0.01621492179899723
Elazığ,4370,1569,1535,1266,432965,0.36%,0.35%,0.010093194600025406
Erzincan,2805,872,831,1102,180234,0.48%,0.46%,0.0155631013016412
Erzurum,6620,3174,1863,1583,526063,0.60%,0.35%,0.012584044116389102
Eskişehir,11240,2140,5307,3793,698642,0.31%,0.76%,0.016088354264415825
Gaziantep,14298,7304,4829,2165,1317351,0.55%,0.37%,0.010853599382396946
Giresun,6755,1817,2068,2870,359477,0.51%,0.58%,0.018791188309683234
Gümüşhane,1437,428,453,556,110911,0.39%,0.41%,0.01295633435817908
Hakkari,5109,4548,444,117,181606,2.50%,0.24%,0.028132330429611357
Hatay,15204,7034,4995,3175,1120447,0.63%,0.45%,0.013569584281987457
Isparta,6186,1336,2762,2088,342106,0.39%,0.81%,0.018082114900060214
Mersin,21908,7689,7306,6913,1356886,0.57%,0.54%,0.01614579264580812
İstanbul,136746,42597,66146,28003,11520854,0.37%,0.57%,0.011869432595882214
İzmir,57126,13724,24142,19260,3429827,0.40%,0.70%,0.01665565056196712
Kars,2966,1510,940,516,194225,0.78%,0.48%,0.015270948642038873
Kastamonu,4771,1280,1529,1962,302774,0.42%,0.50%,0.01575762780159459
Kayseri,13919,4563,5606,3750,1016718,0.45%,0.55%,0.013690128432859456
Kırklareli,4724,947,1895,1882,294199,0.32%,0.64%,0.016057158589934024
Kırşehir,2669,663,1055,951,185308,0.36%,0.57%,0.014403047898633626
Kocaeli,18344,5509,7964,4871,1453509,0.38%,0.55%,0.012620492889964906
Konya,20772,7314,7628,5830,1611865,0.45%,0.47%,0.012886935320265655
Kütahya,5733,1498,2413,1822,454645,0.33%,0.53%,0.012609838445380462
Malatya,7381,2289,2685,2407,585623,0.39%,0.46%,0.012603671645410102
Manisa,17908,5892,6962,5054,1101092,0.54%,0.63%,0.01626385442814951
Kahramanmaraş,9429,4085,2909,2435,785567,0.52%,0.37%,0.012002795433107552
Mardin,6610,4855,1154,601,517582,0.94%,0.22%,0.01277092325467269
Muğla,16748,3572,6632,6544,787329,0.45%,0.84%,0.021271920632924737
Muş,3462,2513,620,329,244220,1.03%,0.25%,0.014175743182376545
Nevşehir,3576,926,1487,1163,228791,0.40%,0.65%,0.015629985445231673
Niğde,3601,1140,1394,1067,260708,0.44%,0.53%,0.013812387805514215
Ordu,10355,2870,3622,3863,589401,0.49%,0.61%,0.017568684138642453
Rize,4066,1148,1370,1548,268906,0.43%,0.51%,0.015120525388053817
Sakarya,9540,3118,3675,2747,777027,0.40%,0.47%,0.012277565644437065
Samsun,13347,4735,4337,4275,1030199,0.46%,0.42%,0.012955749326101074
Siirt,2974,2239,471,264,197181,1.14%,0.24%,0.015082589093269635
Sinop,3013,835,981,1197,172933,0.48%,0.57%,0.0174229325808261
Sivas,7665,1974,2767,2924,478755,0.41%,0.58%,0.0160102766550741
Tekirdağ,12408,3771,4245,4392,809854,0.47%,0.52%,0.015321280131974405
Tokat,7997,2839,2334,2824,457272,0.62%,0.51%,0.017488496999597612
Trabzon,8821,2431,3225,3165,621825,0.39%,0.52%,0.014185663168898003
Tunceli,1342,299,469,574,68980,0.43%,0.68%,0.01945491446796173
Şanlıurfa,15104,11744,2287,1073,1157716,1.01%,0.20%,0.013046377522639404
Uşak,4136,1101,1648,1387,286295,0.38%,0.58%,0.014446637209870937
