,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran
Adana,20484,8609,3376,8499,1599578,0.54%,0.21%
Adıyaman,5090,2834,832,1424,417362,0.68%,0.20%
Afyon,6347,2267,1178,2902,544755,0.42%,0.22%
Ağrı,3720,2635,650,435,316215,0.83%,0.21%
Amasya,5485,1448,980,3057,261116,0.55%,0.38%
Ankara,64445,17827,15649,30969,4269423,0.42%,0.37%
Antalya,30299,12024,5600,12675,1903745,0.63%,0.29%
Artvin,2253,617,385,1251,135986,0.45%,0.28%
Aydın,17950,3958,3268,10724,867298,0.46%,0.38%
Balıkesir,22361,4482,3499,14380,992100,0.45%,0.35%
Bilecik,2535,690,556,1289,169031,0.41%,0.33%
Bingöl,2512,1888,255,369,193043,0.98%,0.13%
Bitlis,1633,1193,216,224,216393,0.55%,0.10%
Bolu,3792,930,726,2136,247627,0.38%,0.29%
Burdur,4053,955,676,2422,212252,0.45%,0.32%
Bursa,29821,10252,7170,12399,2314439,0.44%,0.31%
Çanakkale,8970,1892,1738,5340,437937,0.43%,0.40%
Çankırı,2604,615,381,1608,151413,0.41%,0.25%
Çorum,5747,1744,1194,2809,407844,0.43%,0.29%
Denizli,11978,3620,2650,5708,793926,0.46%,0.33%
Diyarbakır,9888,6737,1382,1769,1099830,0.61%,0.13%
Edirne,6791,1522,1422,3847,334075,0.46%,0.43%
Elazığ,4680,1734,1036,1910,432965,0.40%,0.24%
Erzincan,2735,971,501,1263,180234,0.54%,0.28%
Erzurum,6100,3138,919,2043,526063,0.60%,0.17%
Eskişehir,12112,2671,2516,6925,698642,0.38%,0.36%
Gaziantep,15870,9139,2941,3790,1317351,0.69%,0.22%
Giresun,6534,1809,1070,3655,359477,0.50%,0.30%
Gümüşhane,1439,504,242,693,110911,0.45%,0.22%
Hakkari,3766,3191,454,121,181606,1.76%,0.25%
Hatay,17134,8851,3416,4867,1120447,0.79%,0.30%
Isparta,5844,1423,1135,3286,342106,0.42%,0.33%
Mersin,23414,8351,4432,10631,1356886,0.62%,0.33%
İstanbul,130685,49442,29114,52129,11520854,0.43%,0.25%
İzmir,62486,15821,12957,33708,3429827,0.46%,0.38%
Kars,2639,1356,506,777,194225,0.70%,0.26%
Kastamonu,6106,1364,1922,2820,302774,0.45%,0.63%
Kayseri,14301,5377,2822,6102,1016718,0.53%,0.28%
Kırklareli,6444,1762,1251,3431,294199,0.60%,0.43%
Kırşehir,2762,718,561,1483,185308,0.39%,0.30%
Kocaeli,16402,5945,3701,6756,1453509,0.41%,0.25%
Konya,19759,7186,4139,8434,1611865,0.45%,0.26%
Kütahya,5156,1496,1175,2485,454645,0.33%,0.26%
Malatya,7619,2522,1390,3707,585623,0.43%,0.24%
Manisa,16752,5551,3980,7221,1101092,0.50%,0.36%
Kahramanmaraş,8976,4419,1408,3149,785567,0.56%,0.18%
Mardin,5948,4623,659,666,517582,0.89%,0.13%
Muğla,18362,4286,3514,10562,787329,0.54%,0.45%
Muş,3414,2651,334,429,244220,1.09%,0.14%
Nevşehir,3580,1113,773,1694,228791,0.49%,0.34%
Niğde,3848,1297,675,1876,260708,0.50%,0.26%
Ordu,10405,3284,1947,5174,589401,0.56%,0.33%
Rize,4280,1343,819,2118,268906,0.50%,0.30%
Sakarya,9549,3640,1722,4187,777027,0.47%,0.22%
Samsun,15241,5628,2651,6962,1030199,0.55%,0.26%
Siirt,1647,1177,294,176,197181,0.60%,0.15%
Sinop,2981,704,583,1694,172933,0.41%,0.34%
Sivas,8437,3071,1121,4245,478755,0.64%,0.23%
Tekirdağ,14189,5224,2411,6554,809854,0.65%,0.30%
Tokat,7464,2271,1240,3953,457272,0.50%,0.27%
Trabzon,9501,2805,1721,4975,621825,0.45%,0.28%
Tunceli,1405,339,295,771,68980,0.49%,0.43%
Şanlıurfa,12437,9850,1414,1173,1157716,0.85%,0.12%
Uşak,4132,1314,813,2005,286295,0.46%,0.28%
Van,9557,6954,1514,1089,693216,1.00%,0.22%
Yozgat,3859,1473,621,1765,315031,0.47%,0.20%
Zonguldak,6429,1915,1348,3166,466537,0.41%,0.29%
Aksaray,3220,1410,640,1170,299426,0.47%,0.21%
Bayburt,883,401,149,333,62060,0.65%,0.24%
Karaman,2451,863,456,1132,188095,0.46%,0.24%
Kırıkkale,3423,1135,703,1585,214988,0.53%,0.33%
Batman,3435,2439,514,482,375020,0.65%,0.14%
Şırnak,5259,4338,760,161,307348,1.41%,0.25%
Bartın,2525,787,454,1284,159253,0.49%,0.29%
Ardahan,1348,566,230,552,71678,0.79%,0.32%
Iğdır,1630,1111,222,297,130907,0.85%,0.17%
Yalova,4341,1016,820,2505,210810,0.48%,0.39%
Karabük,2808,1053,458,1297,195265,0.54%,0.23%
Kilis,1356,766,316,274,94522,0.81%,0.33%
Osmaniye,6066,2665,970,2431,378009,0.71%,0.26%
Düzce,3643,1310,669,1664,298284,0.44%,0.22%
