,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,33812,30545,3267,0,1599578,1.91%,0.20%,0.021138075167325382
Adıyaman,7601,6928,673,0,417362,1.66%,0.16%,0.018212007801381054
Afyon,10663,9750,913,0,544755,1.79%,0.17%,0.019573936907417096
Ağrı,3736,2976,760,0,316215,0.94%,0.24%,0.011814746296032762
Amasya,5565,4802,763,0,261116,1.84%,0.29%,0.021312366917385375
Ankara,85491,77125,8366,0,4269423,1.81%,0.20%,0.0200240172969509
Antalya,38069,34135,3934,0,1903745,1.79%,0.21%,0.01999690084543886
Artvin,3252,2910,342,0,135986,2.14%,0.25%,0.023914226464488993
Aydın,19816,17602,2214,0,867298,2.03%,0.26%,0.022847971516134016
Balıkesir,20524,18821,1703,0,992100,1.90%,0.17%,0.020687430702550146
Bilecik,4089,3751,338,0,169031,2.22%,0.20%,0.02419082890120747
Bingöl,2306,1984,322,0,193043,1.03%,0.17%,0.011945525090264864
Bitlis,2394,2170,224,0,216393,1.00%,0.10%,0.011063204447463643
Bolu,4978,4343,635,0,247627,1.75%,0.26%,0.020102815928796133
Burdur,4317,3728,589,0,212252,1.76%,0.28%,0.02033903096319469
Bursa,49009,44819,4190,0,2314439,1.94%,0.18%,0.021175325856503457
Çanakkale,8538,7806,732,0,437937,1.78%,0.17%,0.01949595489762226
Çankırı,2357,2105,252,0,151413,1.39%,0.17%,0.01556669506581337
Çorum,8196,7219,977,0,407844,1.77%,0.24%,0.020095919027863594
Denizli,19622,18167,1455,0,793926,2.29%,0.18%,0.024715149774664137
Diyarbakır,14161,13144,1017,0,1099830,1.20%,0.09%,0.012875626233145122
Edirne,7308,6626,682,0,334075,1.98%,0.20%,0.02187532739654269
Elazığ,7208,6428,780,0,432965,1.48%,0.18%,0.01664799695125472
Erzincan,3376,3012,364,0,180234,1.67%,0.20%,0.018731204989069765
Erzurum,9126,8300,826,0,526063,1.58%,0.16%,0.017347732115735186
Eskişehir,15434,14192,1242,0,698642,2.03%,0.18%,0.02209142880044429
Gaziantep,30264,28463,1801,0,1317351,2.16%,0.14%,0.022973376116160387
Giresun,7641,6716,925,0,359477,1.87%,0.26%,0.021255880070213114
Gümüşhane,1738,1408,330,0,110911,1.27%,0.30%,0.015670222069947976
Hakkari,2694,2503,191,0,181606,1.38%,0.11%,0.014834311641685848
Hatay,13839,12501,1338,0,1120447,1.12%,0.12%,0.012351320499764826
Isparta,7468,6708,760,0,342106,1.96%,0.22%,0.021829491444172275
Mersin,29356,26914,2442,0,1356886,1.98%,0.18%,0.021634831518639
İstanbul,229238,213886,15352,0,11520854,1.86%,0.13%,0.019897656892449118
İzmir,71261,65432,5829,0,3429827,1.91%,0.17%,0.020776849677840895
Kars,3628,3312,316,0,194225,1.71%,0.16%,0.018679366713862788
Kastamonu,6099,5459,640,0,302774,1.80%,0.21%,0.020143737573239447
Kayseri,22614,20724,1890,0,1016718,2.04%,0.19%,0.022242155641977422
Kırklareli,6958,6464,494,0,294199,2.20%,0.17%,0.023650658227934152
Kırşehir,3813,3471,342,0,185308,1.87%,0.18%,0.020576553629632826
Kocaeli,32005,29853,2152,0,1453509,2.05%,0.15%,0.022019127504542456
Konya,29291,26768,2523,0,1611865,1.66%,0.16%,0.01817211739196521
Kütahya,9723,8554,1169,0,454645,1.88%,0.26%,0.02138591648428994
Malatya,11785,10781,1004,0,585623,1.84%,0.17%,0.02012386808578215
Manisa,21188,19186,2002,0,1101092,1.74%,0.18%,0.019242715413425943
Kahramanmaraş,15155,13964,1191,0,785567,1.78%,0.15%,0.019291798153435673
Mardin,3689,3247,442,0,517582,0.63%,0.09%,0.007127373053931551
Muğla,21153,17964,3189,0,787329,2.28%,0.41%,0.026866786311694348
Muş,2117,1899,218,0,244220,0.78%,0.09%,0.00866841372532962
Nevşehir,4657,4208,449,0,228791,1.84%,0.20%,0.020354821649452993
Niğde,4297,3891,406,0,260708,1.49%,0.16%,0.016482041210856592
Ordu,11516,10390,1126,0,589401,1.76%,0.19%,0.019538480593008833
Rize,5784,5209,575,0,268906,1.94%,0.21%,0.021509375023242322
Sakarya,14786,13405,1381,0,777027,1.73%,0.18%,0.019028939792310948
Samsun,21735,19395,2340,0,1030199,1.88%,0.23%,0.02109786555801355
Siirt,1955,1724,231,0,197181,0.87%,0.12%,0.009914748378393456
Sinop,3545,3060,485,0,172933,1.77%,0.28%,0.020499268502830577
Sivas,9766,8715,1051,0,478755,1.82%,0.22%,0.020398742571879146
Tekirdağ,20358,19070,1288,0,809854,2.35%,0.16%,0.025137864355797464
Tokat,8687,7912,775,0,457272,1.73%,0.17%,0.018997445721583652
Trabzon,11946,10524,1422,0,621825,1.69%,0.23%,0.019211192859727416
Tunceli,1358,1112,246,0,68980,1.61%,0.36%,0.01968686575819078
Şanlıurfa,12134,11026,1108,0,1157716,0.95%,0.10%,0.010480981518783536
Uşak,6778,6197,581,0,286295,2.16%,0.20%,0.023674880804764317
Van,11758,10435,1323,0,693216,1.51%,0.19%,0.016961524257951346
Yozgat,5808,5208,600,0,315031,1.65%,0.19%,0.018436280873945738
Zonguldak,8407,7642,765,0,466537,1.64%,0.16%,0.018020006987655855
Aksaray,5959,5475,484,0,299426,1.83%,0.16%,0.01990141136708235
Bayburt,968,804,164,0,62060,1.30%,0.26%,0.01559780857234934
Karaman,3927,3558,369,0,188095,1.89%,0.20%,0.020877747946516388
Kırıkkale,4899,4371,528,0,214988,2.03%,0.25%,0.022787318361955085
Batman,4400,3946,454,0,375020,1.05%,0.12%,0.01173270758892859
Şırnak,2472,2007,465,0,307348,0.65%,0.15%,0.00804300011713107
Bartın,4502,4186,316,0,159253,2.63%,0.20%,0.028269483149454013
Ardahan,1432,1208,224,0,71678,1.69%,0.31%,0.01997823599988839
Iğdır,1889,1590,299,0,130907,1.21%,0.23%,0.0144300915917407
Yalova,3854,3544,310,0,210810,1.68%,0.15%,0.018281865186660973
Karabük,3692,3301,391,0,195265,1.69%,0.20%,0.018907638337643716
Kilis,1750,1538,212,0,94522,1.63%,0.22%,0.018514208332451706
Osmaniye,9081,8540,541,0,378009,2.26%,0.14%,0.024023237541963286
Düzce,7449,6913,536,0,298284,2.32%,0.18%,0.0249728446715211
