,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,23159,8644,10277,4238,1599578,2258718,0.54%,0.64%,0.014478193623568216,0.38%,0.45%,0.010253161306546457
Adıyaman,5534,1902,2924,708,417362,632459,0.46%,0.70%,0.013259472592138239,0.30%,0.46%,0.008749974306634897
Afyon,12228,3463,5935,2830,544755,736912,0.64%,1.09%,0.022446788005617203,0.47%,0.81%,0.016593568838613022
Ağrı,7307,3251,3490,566,316215,535435,1.03%,1.10%,0.02310769571335958,0.61%,0.65%,0.013646847890033337
Amasya,5169,1274,2204,1691,261116,335494,0.49%,0.84%,0.019795799568008088,0.38%,0.66%,0.015407130977007041
Ankara,66687,21616,29852,15219,4269423,5663322,0.51%,0.70%,0.01561967507084681,0.38%,0.53%,0.0117752442824194
Antalya,32531,12184,13111,7236,1903745,2548308,0.64%,0.69%,0.017087897801438743,0.48%,0.51%,0.012765725336183852
Artvin,3590,1100,1461,1029,135986,169501,0.81%,1.07%,0.026399776447575487,0.65%,0.86%,0.021179816048282903
Aydın,15063,4217,6699,4147,867298,1119084,0.49%,0.77%,0.017367732889964002,0.38%,0.60%,0.01346011559453982
Balıkesir,16763,4647,6526,5590,992100,1240285,0.47%,0.66%,0.01689648220945469,0.37%,0.53%,0.013515442015343248
Bilecik,2368,631,1102,635,169031,218717,0.37%,0.65%,0.014009264572770675,0.29%,0.50%,0.010826776153659751
Bingöl,4415,2073,1655,687,193043,281768,1.07%,0.86%,0.02287055215677336,0.74%,0.59%,0.015668919110757788
Bitlis,4377,2358,1542,477,216393,350994,1.09%,0.71%,0.020227086828132148,0.67%,0.44%,0.012470298637583548
Bolu,3966,1047,1753,1166,247627,314802,0.42%,0.71%,0.016016024100764456,0.33%,0.56%,0.01259839518173328
Burdur,4556,1355,1734,1467,212252,267092,0.64%,0.82%,0.021465050977140382,0.51%,0.65%,0.01705779282045138
Bursa,34808,11621,16344,6843,2314439,3101833,0.50%,0.71%,0.015039497692529378,0.37%,0.53%,0.011221751783542183
Çanakkale,6695,1773,2610,2312,437937,541548,0.40%,0.60%,0.015287587027357816,0.33%,0.48%,0.012362708384113689
Çankırı,2807,836,1051,920,151413,192428,0.55%,0.69%,0.018538698790724707,0.43%,0.55%,0.014587274201259692
Çorum,6499,1896,2847,1756,407844,530126,0.46%,0.70%,0.015935014368238836,0.36%,0.54%,0.012259349664042133
Denizli,13287,4129,5865,3293,793926,1040915,0.52%,0.74%,0.0167358166882052,0.40%,0.56%,0.012764731029911184
Diyarbakır,19963,9628,8267,2068,1099830,1783431,0.88%,0.75%,0.018150986970713656,0.54%,0.46%,0.011193592575210368
Edirne,5573,1537,2127,1909,334075,407763,0.46%,0.64%,0.01668188281074609,0.38%,0.52%,0.013667252791449935
Elazığ,6302,2600,2404,1298,432965,587960,0.60%,0.56%,0.01455544905477348,0.44%,0.41%,0.010718416218790393
Erzincan,3408,1153,1340,915,180234,234431,0.64%,0.74%,0.018908751955790806,0.49%,0.57%,0.014537326548110106
Erzurum,9330,3578,3937,1815,526063,758279,0.68%,0.75%,0.017735518369472857,0.47%,0.52%,0.012304178277388665
Eskişehir,11026,3055,4798,3173,698642,888828,0.44%,0.69%,0.01578204574016449,0.34%,0.54%,0.01240509974933283
Gaziantep,19907,8410,9435,2062,1317351,2101157,0.64%,0.72%,0.015111386411062806,0.40%,0.45%,0.009474303919221648
Giresun,7453,2056,3034,2363,359477,448721,0.57%,0.84%,0.02073289807136479,0.46%,0.68%,0.01660942991301945
Gümüşhane,2436,802,912,722,110911,141702,0.72%,0.82%,0.02196355636501339,0.57%,0.64%,0.017191006478384216
Hakkari,2032,513,1407,112,181606,280514,0.28%,0.77%,0.011189057630254507,0.18%,0.50%,0.0072438452269761935
Hatay,20898,8258,9726,2914,1120447,1659320,0.74%,0.87%,0.018651484630687575,0.50%,0.59%,0.012594315743798665
Isparta,7161,2201,2742,2218,342106,440304,0.64%,0.80%,0.020932108761611896,0.50%,0.62%,0.016263763218140194
Mersin,24947,8703,10868,5376,1356886,1868757,0.64%,0.80%,0.018385479693946286,0.47%,0.58%,0.013349515212518268
İstanbul,152441,55913,71344,25184,11520854,15462452,0.49%,0.62%,0.013231744799474067,0.36%,0.46%,0.009858785657022574
İzmir,47545,14678,20486,12381,3429827,4394694,0.43%,0.60%,0.013862215207939059,0.33%,0.47%,0.01081872822089547
Kars,4553,1795,2088,670,194225,284923,0.92%,1.08%,0.023441884412408288,0.63%,0.73%,0.015979755934059377
Kastamonu,5156,1506,2085,1565,302774,376377,0.50%,0.69%,0.017029203300151268,0.40%,0.55%,0.013699030493361708
Kayseri,20774,7289,8502,4983,1016718,1421455,0.72%,0.84%,0.020432410953676438,0.51%,0.60%,0.014614602643066436
Kırklareli,5322,1358,2292,1672,294199,361737,0.46%,0.78%,0.01808979636232618,0.38%,0.63%,0.01471234626261621
Kırşehir,3486,1081,1437,968,185308,243042,0.58%,0.78%,0.018811923932048266,0.44%,0.59%,0.014343199940750982
Kocaeli,16415,5837,7676,2902,1453509,1997258,0.40%,0.53%,0.011293359724638788,0.29%,0.38%,0.008218767930833173
Konya,31567,12252,12745,6570,1611865,2250020,0.76%,0.79%,0.019584146314982953,0.54%,0.57%,0.014029653069750491
Kütahya,7971,2460,3215,2296,454645,576688,0.54%,0.71%,0.017532360413069537,0.43%,0.56%,0.013822032017312655
Malatya,15317,5669,6361,3287,585623,806156,0.97%,1.09%,0.02615505197029488,0.70%,0.79%,0.019000044656369237
Manisa,21151,6704,9485,4962,1101092,1450616,0.61%,0.86%,0.019209112408409106,0.46%,0.65%,0.014580702267174773
Kahramanmaraş,14495,5363,6954,2178,785567,1168163,0.68%,0.89%,0.018451640662095023,0.46%,0.60%,0.012408371092047942
Mardin,8395,4304,3303,788,517582,854716,0.83%,0.64%,0.016219652151736343,0.50%,0.39%,0.009821975954586084
Muğla,13499,3980,5890,3629,787329,1000773,0.51%,0.75%,0.017145310283248807,0.40%,0.59%,0.013488573332813735
Muş,3353,1668,1346,339,244220,411117,0.68%,0.55%,0.013729424289574974,0.41%,0.33%,0.008155829119204509
Nevşehir,5214,1656,2355,1203,228791,304962,0.72%,1.03%,0.02278935797299719,0.54%,0.77%,0.01709721211167293
Niğde,7753,2771,3228,1754,260708,362071,1.06%,1.24%,0.029738251223591142,0.77%,0.89%,0.021412927298789464
Ordu,9480,2536,4505,2439,589401,761400,0.43%,0.76%,0.016084126087332732,0.33%,0.59%,0.012450748620961388
Rize,6785,2161,2851,1773,268906,344359,0.80%,1.06%,0.025231865410217696,0.63%,0.83%,0.019703274780098676
Sakarya,10126,3605,4193,2328,777027,1042649,0.46%,0.54%,0.013031722192407728,0.35%,0.40%,0.009711801382823942
Samsun,17584,5506,8256,3822,1030199,1356079,0.53%,0.80%,0.017068546950637694,0.41%,0.61%,0.012966796182228322
Siirt,3350,1671,1353,326,197181,331070,0.85%,0.69%,0.016989466530750934,0.50%,0.41%,0.010118706013833932
Sinop,3382,876,1451,1055,172933,216460,0.51%,0.84%,0.019556706932742737,0.40%,0.67%,0.015624133789152731
Sivas,8724,2747,3723,2254,478755,635889,0.57%,0.78%,0.01822226399724285,0.43%,0.59%,0.013719375551393404
Tekirdağ,13867,4216,6445,3206,809854,1081065,0.52%,0.80%,0.017122839425377907,0.39%,0.60%,0.012827165804091337
Tokat,8239,2500,3360,2379,457272,597861,0.55%,0.73%,0.018017722493395616,0.42%,0.56%,0.013780795201560229
Trabzon,12178,4081,5012,3085,621825,811901,0.66%,0.81%,0.01958428818397459,0.50%,0.62%,0.014999365686210511
Tunceli,1286,323,558,405,68980,83443,0.47%,0.81%,0.018643084952160046,0.39%,0.67%,0.015411718178876599
Şanlıurfa,17783,9381,7246,1156,1157716,2115256,0.81%,0.63%,0.015360416544299293,0.44%,0.34%,0.008407020237739546
Uşak,3893,1149,1750,994,286295,369433,0.40%,0.61%,0.013597862344784226,0.31%,0.47%,0.010537770042199803
Van,14504,6246,7163,1095,693216,1149342,0.90%,1.03%,0.02092277154595393,0.54%,0.62%,0.01261939440131832
Yozgat,6444,2121,2631,1692,315031,419095,0.67%,0.84%,0.020455129812621615,0.51%,0.63%,0.01537598873763705
Zonguldak,6529,1835,2784,1910,466537,591204,0.39%,0.60%,0.01399460278605984,0.31%,0.47%,0.011043565334469997
Aksaray,7397,2880,3065,1452,299426,423011,0.96%,1.02%,0.024703933526146693,0.68%,0.72%,0.017486542903139633
Bayburt,1188,389,514,285,62060,81910,0.63%,0.83%,0.019142765066065097,0.47%,0.63%,0.014503723599072153
Karaman,4132,1447,1695,990,188095,254919,0.77%,0.90%,0.021967622743826257,0.57%,0.66%,0.01620907033214472
Kırıkkale,4237,1355,1690,1192,214988,278703,0.63%,0.79%,0.019708076729863994,0.49%,0.61%,0.015202563302153188
Batman,6205,3154,2398,653,375020,620278,0.84%,0.64%,0.01654578422484134,0.51%,0.39%,0.010003579040365772
Şırnak,5711,2340,3047,324,307348,537762,0.76%,0.99%,0.018581542746333148,0.44%,0.57%,0.010619939675916111
