,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,4579,1573,2489,517,1599578,0.10%,0.16%,0.0028626300186674236
Adıyaman,3718,2509,599,610,417362,0.60%,0.14%,0.008908333772600285
Afyon,1713,479,990,244,544755,0.09%,0.18%,0.003144532863397307
Ağrı,2466,1779,537,150,316215,0.56%,0.17%,0.007798491532659741
Amasya,1034,239,575,220,261116,0.09%,0.22%,0.0039599258567073635
Ankara,27401,5986,18597,2818,4269423,0.14%,0.44%,0.006417963270446615
Antalya,10101,3205,5288,1608,1903745,0.17%,0.28%,0.005305857664760774
Artvin,360,94,170,96,135986,0.07%,0.13%,0.0026473313429323606
Aydın,4851,1026,2778,1047,867298,0.12%,0.32%,0.00559323323701888
Balıkesir,7126,1414,3418,2294,992100,0.14%,0.34%,0.007182743675032759
Bilecik,963,225,578,160,169031,0.13%,0.34%,0.0056971798072542905
Bingöl,565,323,160,82,193043,0.17%,0.08%,0.002926809052905311
Bitlis,709,521,129,59,216393,0.24%,0.06%,0.0032764460957609536
Bolu,1061,268,512,281,247627,0.11%,0.21%,0.004284670088479851
Burdur,786,222,445,119,212252,0.10%,0.21%,0.0037031453178297496
Bursa,12798,3266,7996,1536,2314439,0.14%,0.35%,0.005529633747098109
Çanakkale,3113,660,1872,581,437937,0.15%,0.43%,0.007108328366865554
Çankırı,573,133,323,117,151413,0.09%,0.21%,0.0037843514097204334
Çorum,1221,361,661,199,407844,0.09%,0.16%,0.00299379174390208
Denizli,3687,958,2283,446,793926,0.12%,0.29%,0.0046440096432161185
Diyarbakır,3974,2514,1152,308,1099830,0.23%,0.10%,0.0036132856896065758
Edirne,1884,348,1217,319,334075,0.10%,0.36%,0.005639452218813141
Elazığ,988,267,558,163,432965,0.06%,0.13%,0.002281939648701396
Erzincan,862,265,382,215,180234,0.15%,0.21%,0.004782671416048026
Erzurum,1910,944,603,363,526063,0.18%,0.11%,0.0036307438462693633
Eskişehir,4216,947,2668,601,698642,0.14%,0.38%,0.006034564197400099
Gaziantep,4658,2263,2089,306,1317351,0.17%,0.16%,0.0035358837545953962
Giresun,1036,353,443,240,359477,0.10%,0.12%,0.002881964631951418
Gümüşhane,137,58,45,34,110911,0.05%,0.04%,0.0012352246395758762
Hakkari,3263,2943,248,72,181606,1.62%,0.14%,0.017967468035197075
Hatay,3699,1281,2079,339,1120447,0.11%,0.19%,0.003301360974682426
Isparta,1291,322,794,175,342106,0.09%,0.23%,0.0037736841797571512
Mersin,5133,1387,3132,614,1356886,0.10%,0.23%,0.0037829264949303036
İstanbul,84462,22887,55165,6410,11520854,0.20%,0.48%,0.007331227355194329
İzmir,25319,5459,16093,3767,3429827,0.16%,0.47%,0.007382004981592366
Kars,1159,816,217,126,194225,0.42%,0.11%,0.005967305959582958
Kastamonu,1025,260,539,226,302774,0.09%,0.18%,0.003385363340313237
Kayseri,2401,729,1417,255,1016718,0.07%,0.14%,0.002361520106853621
Kırklareli,1380,342,838,200,294199,0.12%,0.28%,0.004690702551674207
Kırşehir,630,161,382,87,185308,0.09%,0.21%,0.0033997452889243853
Kocaeli,7481,1881,4998,602,1453509,0.13%,0.34%,0.0051468549558344664
Konya,6201,2263,3120,818,1611865,0.14%,0.19%,0.0038470963759371906
Kütahya,1488,400,808,280,454645,0.09%,0.18%,0.003272883238570753
Malatya,1185,352,657,176,585623,0.06%,0.11%,0.0020234860994189094
Manisa,5849,1326,3802,721,1101092,0.12%,0.35%,0.005311999360634715
Kahramanmaraş,1937,834,813,290,785567,0.11%,0.10%,0.0024657349404952093
Mardin,2305,1628,514,163,517582,0.31%,0.10%,0.004453400620577995
Muğla,5882,1077,3586,1219,787329,0.14%,0.46%,0.007470828586270796
Muş,848,521,249,78,244220,0.21%,0.10%,0.003472279092621407
Nevşehir,811,229,478,104,228791,0.10%,0.21%,0.0035447198534907403
Niğde,781,210,433,138,260708,0.08%,0.17%,0.0029956886631787288
Ordu,2632,732,1439,461,589401,0.12%,0.24%,0.004465550618339636
Rize,683,171,417,95,268906,0.06%,0.16%,0.0025399210132908898
Sakarya,2938,702,1735,501,777027,0.09%,0.22%,0.0037810783923853354
Samsun,3864,1249,1882,733,1030199,0.12%,0.18%,0.003750731654757964
Siirt,1280,979,239,62,197181,0.50%,0.12%,0.006491497659510805
Sinop,755,149,428,178,172933,0.09%,0.25%,0.00436585267126575
Sivas,1700,433,1003,264,478755,0.09%,0.21%,0.0035508767532453967
Tekirdağ,4877,1417,2783,677,809854,0.17%,0.34%,0.006022073114413215
Tokat,1780,553,929,298,457272,0.12%,0.20%,0.003892650326282825
Trabzon,2053,567,1188,298,621825,0.09%,0.19%,0.0033015719856872914
Tunceli,109,28,67,14,68980,0.04%,0.10%,0.001580168164685416
Şanlıurfa,2564,1720,719,125,1157716,0.15%,0.06%,0.0022147055063590727
Uşak,942,242,600,100,286295,0.08%,0.21%,0.0032903124399657696
Van,3441,2516,705,220,693216,0.36%,0.10%,0.004963820800443152
Yozgat,757,205,405,147,315031,0.07%,0.13%,0.002402938123549746
Zonguldak,2777,594,1762,421,466537,0.13%,0.38%,0.005952368193733831
Aksaray,700,240,377,83,299426,0.08%,0.13%,0.0023378063361231155
Bayburt,120,38,54,28,62060,0.06%,0.09%,0.0019336126329358686
Karaman,576,136,358,82,188095,0.07%,0.19%,0.0030622823573194396
Kırıkkale,650,169,383,98,214988,0.08%,0.18%,0.003023424563231436
Batman,839,478,312,49,375020,0.13%,0.08%,0.0022372140152525197
Şırnak,4407,3856,439,112,307348,1.25%,0.14%,0.014338795111730026
Bartın,521,137,324,60,159253,0.09%,0.20%,0.0032715239273357487
Ardahan,109,28,63,18,71678,0.04%,0.09%,0.0015206897513881526
Iğdır,287,141,115,31,130907,0.11%,0.09%,0.0021923961285492755
Yalova,1504,321,932,251,210810,0.15%,0.44%,0.007134386414306722
Karabük,847,224,440,183,195265,0.11%,0.23%,0.004337694927406345
Kilis,270,94,135,41,94522,0.10%,0.14%,0.0028564778570068345
Osmaniye,897,313,467,117,378009,0.08%,0.12%,0.002372959373983159
Düzce,805,248,451,106,298284,0.08%,0.15%,0.0026987702994461654
