,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,12292,2503,9265,524,1599578,0.16%,0.58%,0.007684526793941902
Adıyaman,1954,491,1379,84,417362,0.12%,0.33%,0.004681787033797998
Afyon,4393,834,3283,276,544755,0.15%,0.60%,0.008064175638589825
Ağrı,3332,1143,2122,67,316215,0.36%,0.67%,0.010537134544534574
Amasya,2474,407,1905,162,261116,0.16%,0.73%,0.009474716218079321
Ankara,37089,5422,29982,1685,4269423,0.13%,0.70%,0.008687122358220303
Antalya,21816,5163,15621,1032,1903745,0.27%,0.82%,0.011459517950145635
Artvin,1277,195,948,134,135986,0.14%,0.70%,0.009390672569235068
Aydın,10564,1655,8012,897,867298,0.19%,0.92%,0.01218035784701452
Balıkesir,13966,2099,10554,1313,992100,0.21%,1.06%,0.014077209958673521
Bilecik,1753,254,1391,108,169031,0.15%,0.82%,0.010370878714555318
Bingöl,714,216,443,55,193043,0.11%,0.23%,0.0036986578119900747
Bitlis,1334,626,645,63,216393,0.29%,0.30%,0.0061647095793302
Bolu,1964,325,1502,137,247627,0.13%,0.61%,0.007931283745310488
Burdur,1970,317,1508,145,212252,0.15%,0.71%,0.009281420198631814
Bursa,23361,4146,17994,1221,2314439,0.18%,0.78%,0.010093590714639703
Çanakkale,5949,984,4425,540,437937,0.22%,1.01%,0.013584145664787401
Çankırı,1766,288,1277,201,151413,0.19%,0.84%,0.011663463507096485
Çorum,3832,644,2920,268,407844,0.16%,0.72%,0.009395749355145595
Denizli,6945,1120,5488,337,793926,0.14%,0.69%,0.008747666659109287
Diyarbakır,6855,2769,3791,295,1099830,0.25%,0.34%,0.006232781429857341
Edirne,3919,626,2952,341,334075,0.19%,0.88%,0.011730898750280626
Elazığ,3028,622,2216,190,432965,0.14%,0.51%,0.006993636899056506
Erzincan,1643,309,1199,135,180234,0.17%,0.67%,0.00911592707258342
Erzurum,4367,1313,2789,265,526063,0.25%,0.53%,0.008301287108198068
Eskişehir,6778,933,5465,380,698642,0.13%,0.78%,0.009701678398951108
Gaziantep,8649,2195,6247,207,1317351,0.17%,0.47%,0.006565448388470499
Giresun,5532,1035,3999,498,359477,0.29%,1.11%,0.015389023498026299
Gümüşhane,498,100,360,38,110911,0.09%,0.32%,0.004490086646049535
Hakkari,504,181,306,17,181606,0.10%,0.17%,0.002775238703567063
Hatay,8517,2152,6023,342,1120447,0.19%,0.54%,0.0076014305005056015
Isparta,2672,454,2030,188,342106,0.13%,0.59%,0.007810444715965227
Mersin,11327,2158,8642,527,1356886,0.16%,0.64%,0.00834779045549884
İstanbul,121494,25360,92106,4028,11520854,0.22%,0.80%,0.010545572402879162
İzmir,40849,7218,31384,2247,3429827,0.21%,0.92%,0.011909930150995954
Kars,925,220,643,62,194225,0.11%,0.33%,0.004762517698545501
Kastamonu,3459,559,2539,361,302774,0.18%,0.84%,0.011424362725993646
Kayseri,5206,959,3988,259,1016718,0.09%,0.39%,0.005120397199616806
Kırklareli,3425,497,2717,211,294199,0.17%,0.92%,0.011641779883684172
Kırşehir,1515,241,1178,96,185308,0.13%,0.64%,0.008175577956699117
Kocaeli,14061,2508,11034,519,1453509,0.17%,0.76%,0.009673830708994578
Konya,14458,3000,10613,845,1611865,0.19%,0.66%,0.008969733817658426
Kütahya,3085,488,2397,200,454645,0.11%,0.53%,0.006785513972440036
Malatya,3557,777,2553,227,585623,0.13%,0.44%,0.00607387346466925
Manisa,11088,1766,8737,585,1101092,0.16%,0.79%,0.010070003233153995
Kahramanmaraş,4721,1058,3431,232,785567,0.13%,0.44%,0.006009671994877585
Mardin,2066,741,1262,63,517582,0.14%,0.24%,0.00399163803996275
Muğla,9911,1617,7637,657,787329,0.21%,0.97%,0.012588130247964955
Muş,839,258,542,39,244220,0.11%,0.22%,0.0034354270739497175
Nevşehir,2033,386,1505,142,228791,0.17%,0.66%,0.008885839040871363
Niğde,2089,435,1497,157,260708,0.17%,0.57%,0.008012795924942848
Ordu,7667,1426,5661,580,589401,0.24%,0.96%,0.013008121805018993
Rize,2339,390,1824,125,268906,0.15%,0.68%,0.008698206808327074
Sakarya,7387,1300,5690,397,777027,0.17%,0.73%,0.009506748156756457
Samsun,9636,1825,7267,544,1030199,0.18%,0.71%,0.009353532666989581
Siirt,1918,1107,758,53,197181,0.56%,0.38%,0.009727103524173221
Sinop,1826,285,1372,169,172933,0.16%,0.79%,0.010559002619511603
Sivas,5204,883,3925,396,478755,0.18%,0.82%,0.010869860366993556
Tekirdağ,9749,1605,7580,564,809854,0.20%,0.94%,0.012037972276484404
Tokat,4806,775,3652,379,457272,0.17%,0.80%,0.010510155880963629
Trabzon,5441,958,4115,368,621825,0.15%,0.66%,0.00875005025529691
Tunceli,676,134,489,53,68980,0.19%,0.71%,0.009799942012177442
Şanlıurfa,4837,2168,2552,117,1157716,0.19%,0.22%,0.004178054030522166
Uşak,2409,387,1893,129,286295,0.14%,0.66%,0.00841439773660036
Van,5053,2181,2683,189,693216,0.31%,0.39%,0.007289214328578683
Yozgat,2238,371,1685,182,315031,0.12%,0.53%,0.007104062774774546
Zonguldak,4937,802,3811,324,466537,0.17%,0.82%,0.010582226061384198
Aksaray,2174,537,1529,108,299426,0.18%,0.51%,0.0072605585353309335
Bayburt,359,76,261,22,62060,0.12%,0.42%,0.005784724460199807
Karaman,1655,311,1246,98,188095,0.17%,0.66%,0.008798745314867486
Kırıkkale,1560,276,1172,112,214988,0.13%,0.55%,0.007256218951755447
Batman,1477,513,912,52,375020,0.14%,0.24%,0.003938456615647165
Şırnak,974,507,445,22,307348,0.16%,0.14%,0.003169046162656012
Bartın,1583,220,1277,86,159253,0.14%,0.80%,0.009940158113190961
Ardahan,495,95,360,40,71678,0.13%,0.50%,0.0069058846507994084
Iğdır,637,242,368,27,130907,0.18%,0.28%,0.00486604994385327
Yalova,3008,594,2205,209,210810,0.28%,1.05%,0.014268772828613444
Karabük,1731,249,1364,118,195265,0.13%,0.70%,0.00886487593782808
Kilis,559,179,353,27,94522,0.19%,0.37%,0.005913967118766001
Osmaniye,3102,700,2259,143,378009,0.19%,0.60%,0.008206153821734403
Düzce,2323,456,1744,123,298284,0.15%,0.58%,0.00778788000697322
