,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,27068,11260,4561,11247,1599578,0.70%,0.29%,0.016921963167785502
Adıyaman,6023,3245,1093,1685,417362,0.78%,0.26%,0.014431117351364044
Afyon,8557,2964,1676,3917,544755,0.54%,0.31%,0.015707978816165064
Ağrı,4073,2794,847,432,316215,0.88%,0.27%,0.012880476890723084
Amasya,5735,1433,998,3304,261116,0.55%,0.38%,0.021963418557269566
Ankara,84723,22314,20045,42364,4269423,0.52%,0.47%,0.019844133504691382
Antalya,36078,13455,6639,15984,1903745,0.71%,0.35%,0.018951067501162183
Artvin,3303,1010,562,1731,135986,0.74%,0.41%,0.024289265071404408
Aydın,20668,4582,3346,12740,867298,0.53%,0.39%,0.023830332826779262
Balıkesir,26717,5541,4530,16646,992100,0.56%,0.46%,0.026929744985384536
Bilecik,3077,757,750,1570,169031,0.45%,0.44%,0.01820376144020919
Bingöl,2523,1698,357,468,193043,0.88%,0.18%,0.013069626974301063
Bitlis,1898,1344,242,312,216393,0.62%,0.11%,0.008771078546903089
Bolu,4572,1133,810,2629,247627,0.46%,0.33%,0.018463253199368406
Burdur,5042,1148,882,3012,212252,0.54%,0.42%,0.02375478205152366
Bursa,38268,12948,8998,16322,2314439,0.56%,0.39%,0.016534460402715303
Çanakkale,11159,2372,2287,6500,437937,0.54%,0.52%,0.025480834001237622
Çankırı,3282,850,537,1895,151413,0.56%,0.35%,0.02167581383368667
Çorum,7583,2316,1589,3678,407844,0.57%,0.39%,0.01859289336118712
Denizli,14582,4420,3044,7118,793926,0.56%,0.38%,0.01836695107604487
Diyarbakır,11781,7196,2080,2505,1099830,0.65%,0.19%,0.010711655437658547
Edirne,8304,1502,1708,5094,334075,0.45%,0.51%,0.024856693856170023
Elazığ,5759,2075,1192,2492,432965,0.48%,0.28%,0.013301306110193664
Erzincan,4226,1705,731,1790,180234,0.95%,0.41%,0.0234472962925974
Erzurum,7912,4059,1213,2640,526063,0.77%,0.23%,0.015040023723394346
Eskişehir,16298,3354,3546,9398,698642,0.48%,0.51%,0.023328113683402943
Gaziantep,19651,11191,3500,4960,1317351,0.85%,0.27%,0.014917057033395048
Giresun,9191,2618,1482,5091,359477,0.73%,0.41%,0.025567699741569
Gümüşhane,1615,501,316,798,110911,0.45%,0.28%,0.014561224765803212
Hakkari,3791,3014,634,143,181606,1.66%,0.35%,0.020874860962743522
Hatay,20037,10316,3915,5806,1120447,0.92%,0.35%,0.01788304132190099
Isparta,8264,2064,1801,4399,342106,0.60%,0.53%,0.02415625566344934
Mersin,29878,10091,5596,14191,1356886,0.74%,0.41%,0.022019535907953948
İstanbul,168841,60305,36126,72410,11520854,0.52%,0.31%,0.014655250383348318
İzmir,77415,18799,16038,42578,3429827,0.55%,0.47%,0.02257110927169213
Kars,3240,1583,605,1052,194225,0.82%,0.31%,0.016681683614364784
Kastamonu,5927,1632,992,3303,302774,0.54%,0.33%,0.019575657090767373
Kayseri,19257,6829,3844,8584,1016718,0.67%,0.38%,0.018940355142723943
Kırklareli,7705,2054,1599,4052,294199,0.70%,0.54%,0.026189755913514322
Kırşehir,3695,989,698,2008,185308,0.53%,0.38%,0.019939775940596198
Kocaeli,22748,7857,4824,10067,1453509,0.54%,0.33%,0.015650401889496384
Konya,23305,8248,4496,10561,1611865,0.51%,0.28%,0.014458406876506407
Kütahya,7358,2130,1582,3646,454645,0.47%,0.35%,0.016184055691803496
Malatya,10555,3380,1963,5212,585623,0.58%,0.34%,0.01802354074208151
Manisa,19911,6527,4788,8596,1101092,0.59%,0.43%,0.01808295764568265
Kahramanmaraş,10883,5706,1490,3687,785567,0.73%,0.19%,0.013853687845848922
Mardin,6182,4523,914,745,517582,0.87%,0.18%,0.011944001143780116
Muğla,22053,4778,4290,12985,787329,0.61%,0.54%,0.028009891671715383
Muş,3842,2779,480,583,244220,1.14%,0.20%,0.0157317173040701
Nevşehir,4516,1308,933,2275,228791,0.57%,0.41%,0.01973853866629369
Niğde,4566,1490,938,2138,260708,0.57%,0.36%,0.017513846909185754
Ordu,13196,4212,2658,6326,589401,0.71%,0.45%,0.022388832051523495
Rize,5741,1713,1082,2946,268906,0.64%,0.40%,0.021349467843781843
Sakarya,11655,4083,2102,5470,777027,0.53%,0.27%,0.014999478782590567
