,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Kahramanmaraş,4932,1491,2375,1066,785567,1168163,0.19%,0.30%,0.006278267798927399,0.13%,0.20%,0.004222013537494339
Mardin,1198,555,473,170,517582,854716,0.11%,0.09%,0.0023146090860965028,0.06%,0.06%,0.001401635163024911
Muğla,9434,1784,4625,3025,787329,1000773,0.23%,0.59%,0.011982284407153808,0.18%,0.46%,0.009426713150734482
Muş,575,287,223,65,244220,411117,0.12%,0.09%,0.002354434526246827,0.07%,0.05%,0.001398628614238769
Nevşehir,1598,304,847,447,228791,304962,0.13%,0.37%,0.00698454047580543,0.10%,0.28%,0.00523999711439458
Niğde,2210,486,942,782,260708,362071,0.19%,0.36%,0.008476916703745186,0.13%,0.26%,0.00610377522640587
Ordu,6090,1066,2891,2133,589401,761400,0.18%,0.49%,0.010332524037115648,0.14%,0.38%,0.007998423955870764
Rize,2590,492,1158,940,268906,344359,0.18%,0.43%,0.009631618483782437,0.14%,0.34%,0.007521220586655206
Sakarya,5808,1446,2701,1661,777027,1042649,0.19%,0.35%,0.0074746437382484775,0.14%,0.26%,0.005570426864649561
Samsun,10598,2282,5336,2980,1030199,1356079,0.22%,0.52%,0.010287332835694852,0.17%,0.39%,0.007815178909193343
Siirt,1413,758,533,122,197181,331070,0.38%,0.27%,0.007166004838194349,0.23%,0.16%,0.004267979581357417
Sinop,2581,464,1187,930,172933,216460,0.27%,0.69%,0.014924855290777353,0.21%,0.55%,0.011923681049616558
Sivas,3774,722,1586,1466,478755,635889,0.15%,0.33%,0.00788294639220478,0.11%,0.25%,0.005934998089289168
Tekirdağ,11589,2191,6819,2579,809854,1081065,0.27%,0.84%,0.014309986738350369,0.20%,0.63%,0.01071998445976884
Tokat,3537,711,1622,1204,457272,597861,0.16%,0.35%,0.007735002361832782,0.12%,0.27%,0.00591609086392991
Trabzon,6847,1406,3205,2236,621825,811901,0.23%,0.52%,0.011011136573794877,0.17%,0.39%,0.008433294207052338
Tunceli,422,102,128,192,68980,83443,0.15%,0.19%,0.006117715279791244,0.12%,0.15%,0.005057344534592476
Şanlıurfa,6693,3597,2589,507,1157716,2115256,0.31%,0.22%,0.005781210590507516,0.17%,0.12%,0.003164156017049473
Uşak,4169,697,2252,1220,286295,369433,0.24%,0.79%,0.01456190293229012,0.19%,0.61%,0.01128486085433624
Van,1186,642,358,186,693216,1149342,0.09%,0.05%,0.0017108664543230394,0.06%,0.03%,0.0010318947710951135
Yozgat,2876,710,1247,919,315031,419095,0.23%,0.40%,0.009129260295018586,0.17%,0.30%,0.006862405898423985
Zonguldak,2562,511,1096,955,466537,591204,0.11%,0.23%,0.005491525859685298,0.09%,0.19%,0.004333529543101873
Aksaray,2216,619,939,658,299426,423011,0.21%,0.31%,0.0074008269154983205,0.15%,0.22%,0.005238634456314375
Bayburt,634,162,244,228,62060,81910,0.26%,0.39%,0.010215920077344506,0.20%,0.30%,0.0077402026614576975
Karaman,1695,351,796,548,188095,254919,0.19%,0.42%,0.00901140381190356,0.14%,0.31%,0.006649170913113577
Kırıkkale,2357,508,1102,747,214988,278703,0.24%,0.51%,0.010963402608517685,0.18%,0.40%,0.00845703132007908
Batman,1265,667,462,136,375020,620278,0.18%,0.12%,0.0033731534318169696,0.11%,0.07%,0.002039408136351765
Şırnak,1521,667,785,69,307348,537762,0.22%,0.26%,0.004948787693428947,0.12%,0.15%,0.0028283887667778685
Bartın,2059,247,1134,678,159253,198979,0.16%,0.71%,0.012929112795363353,0.12%,0.57%,0.010347825649942959
Ardahan,304,82,122,100,71678,96161,0.11%,0.17%,0.004241189765339434,0.09%,0.13%,0.003161364794459292
Iğdır,660,405,147,108,130907,201314,0.31%,0.11%,0.0050417471945732465,0.20%,0.07%,0.003278460514420259
Yalova,1744,396,641,707,210810,276050,0.19%,0.30%,0.008272852331483326,0.14%,0.23%,0.006317696069552617
Karabük,1906,370,883,653,195265,243614,0.19%,0.45%,0.009761093898036002,0.15%,0.36%,0.007823852487952252
Kilis,513,220,208,85,94522,142792,0.23%,0.22%,0.005427307928312986,0.15%,0.15%,0.0035926382430388256
Osmaniye,3145,708,1663,774,378009,548556,0.19%,0.44%,0.0083199077270647,0.13%,0.30%,0.0057332341638775255
Düzce,2710,555,1408,747,298284,395679,0.19%,0.47%,0.009085301256520632,0.14%,0.36%,0.006848986173135294
