,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,4960,1656,2074,1230,1599578,2258718,0.10%,0.13%,0.003100817840705486,0.07%,0.09%,0.002195935924714816
Adıyaman,2734,862,1514,358,417362,632459,0.21%,0.36%,0.006550668244833023,0.14%,0.24%,0.0043228098580303225
Afyon,1923,457,581,885,544755,736912,0.08%,0.11%,0.0035300272599609,0.06%,0.08%,0.002609538180949693
Ağrı,1959,810,1008,141,316215,535435,0.26%,0.32%,0.006195152032636023,0.15%,0.19%,0.003658707406127728
Amasya,799,200,245,354,261116,335494,0.08%,0.09%,0.0030599427074556903,0.06%,0.07%,0.002381562710510471
Ankara,14296,4096,5446,4754,4269423,5663322,0.10%,0.13%,0.003348461841330784,0.07%,0.10%,0.0025243134683141802
Antalya,9068,2945,3576,2547,1903745,2548308,0.15%,0.19%,0.004763242976343995,0.12%,0.14%,0.003558439560681048
Artvin,580,148,202,230,135986,169501,0.11%,0.15%,0.004265144941391025,0.09%,0.12%,0.003421808720892502
Aydın,3474,801,1135,1538,867298,1119084,0.09%,0.13%,0.004005543653968993,0.07%,0.10%,0.0031043246083403927
Balıkesir,4278,1004,1374,1900,992100,1240285,0.10%,0.14%,0.004312065315996371,0.08%,0.11%,0.0034492072386588567
Bilecik,671,149,169,353,169031,218717,0.09%,0.10%,0.003969686033922772,0.07%,0.08%,0.003067891384757472
Bingöl,2259,799,1158,302,193043,281768,0.41%,0.60%,0.011702056018607254,0.28%,0.41%,0.008017234036512309
Bitlis,1619,1166,335,118,216393,350994,0.54%,0.15%,0.0074817577278377765,0.33%,0.10%,0.004612614460646051
Bolu,1289,263,339,687,247627,314802,0.11%,0.14%,0.0052054097493407425,0.08%,0.11%,0.004094637264058043
Burdur,905,247,226,432,212252,267092,0.12%,0.11%,0.004263799634396849,0.09%,0.08%,0.0033883455887858864
Bursa,7998,2247,3258,2493,2314439,3101833,0.10%,0.14%,0.0034556970393257286,0.07%,0.11%,0.002578475372465249
Çanakkale,2192,581,613,998,437937,541548,0.13%,0.14%,0.005005286148464277,0.11%,0.11%,0.004047655978786737
Çankırı,743,145,191,407,151413,192428,0.10%,0.13%,0.004907108372464716,0.08%,0.10%,0.0038611844430124515
Çorum,1662,391,515,756,407844,530126,0.10%,0.13%,0.00407508753346868,0.07%,0.10%,0.003135103730056628
Denizli,3383,913,1179,1291,793926,1040915,0.11%,0.15%,0.004261102420124798,0.09%,0.11%,0.003250025218197451
Diyarbakır,3815,1824,1530,461,1099830,1783431,0.17%,0.14%,0.0034687178927652455,0.10%,0.09%,0.0021391351838114287
Edirne,1389,275,379,735,334075,407763,0.08%,0.11%,0.004157749008456185,0.07%,0.09%,0.003406390476821095
Elazığ,2630,754,1190,686,432965,587960,0.17%,0.27%,0.0060743940041342835,0.13%,0.20%,0.004473093407714811
Erzincan,848,232,307,309,180234,234431,0.13%,0.17%,0.004704994618107571,0.10%,0.13%,0.0036172690471823264
Erzurum,9049,3328,4224,1497,526063,758279,0.63%,0.80%,0.017201361814079302,0.44%,0.56%,0.011933602275679533
Eskişehir,2621,572,1043,1006,698642,888828,0.08%,0.15%,0.00375156374795675,0.06%,0.12%,0.0029488269946491333
Gaziantep,3907,1891,1244,772,1317351,2101157,0.14%,0.09%,0.002965800306827869,0.09%,0.06%,0.0018594517211231716
Giresun,2098,470,527,1101,359477,448721,0.13%,0.15%,0.005836256561615903,0.10%,0.12%,0.004675511063667624
Gümüşhane,876,219,333,324,110911,141702,0.20%,0.30%,0.007898224702689544,0.15%,0.24%,0.006181987551340137
Hakkari,3427,2562,766,99,181606,280514,1.41%,0.42%,0.0188705218990562,0.91%,0.27%,0.012216859051598137
Hatay,2131,732,941,458,1120447,1659320,0.07%,0.08%,0.0019019195017702757,0.04%,0.06%,0.001284261022587566
Isparta,1766,486,527,753,342106,440304,0.14%,0.15%,0.0051621427276925865,0.11%,0.12%,0.004010865220393183
Mersin,4513,1323,1757,1433,1356886,1868757,0.10%,0.13%,0.0033259979099202145,0.07%,0.09%,0.002414974231534651
İstanbul,24758,7775,9971,7012,11520854,15462452,0.07%,0.09%,0.0021489726369243113,0.05%,0.06%,0.0016011690771942251
İzmir,11943,3366,4429,4148,3429827,4394694,0.10%,0.13%,0.0034820998260262108,0.08%,0.10%,0.0027175953547619014
Kars,1095,445,439,211,194225,284923,0.23%,0.23%,0.005637791221521431,0.16%,0.15%,0.0038431435861618754
Kastamonu,1651,354,509,788,302774,376377,0.12%,0.17%,0.00545291207303137,0.09%,0.14%,0.004386559221206397
Kayseri,4871,1377,1759,1735,1016718,1421455,0.14%,0.17%,0.004790905639518529,0.10%,0.12%,0.0034267704570317033
Kırklareli,1086,225,350,511,294199,361737,0.08%,0.12%,0.0036913789645783976,0.06%,0.10%,0.003002181142653364
Kırşehir,633,149,162,322,185308,243042,0.08%,0.09%,0.0034159345522049777,0.06%,0.07%,0.0026044881131656256
Kocaeli,4374,1439,1630,1305,1453509,1997258,0.10%,0.11%,0.0030092692924502014,0.07%,0.08%,0.0021900024934184766
Konya,7248,2636,2197,2415,1611865,2250020,0.16%,0.14%,0.004496654496499396,0.12%,0.10%,0.003221304699513782
Kütahya,2145,617,626,902,454645,576688,0.14%,0.14%,0.004717966765278404,0.11%,0.11%,0.003719515578614433
Malatya,1976,706,681,589,585623,806156,0.12%,0.12%,0.0033741844155711098,0.09%,0.08%,0.002451138489324647
Manisa,4894,1484,1439,1971,1101092,1450616,0.13%,0.13%,0.004444678555470387,0.10%,0.10%,0.003373739156330828
Kahramanmaraş,2679,967,992,720,785567,1168163,0.12%,0.13%,0.0034102756353054544,0.08%,0.08%,0.0022933443363640175
Mardin,849,423,305,121,517582,854716,0.08%,0.06%,0.0016403197947378386,0.05%,0.04%,0.0009933123985042985
Muğla,7204,1255,3396,2553,787329,1000773,0.16%,0.43%,0.009149923348435025,0.13%,0.34%,0.007198435609274031
Muş,2876,1179,1478,219,244220,411117,0.48%,0.61%,0.011776267299975432,0.29%,0.36%,0.0069955754687838255
Nevşehir,626,172,202,252,228791,304962,0.08%,0.09%,0.0027361216131753436,0.06%,0.07%,0.0020527147644624575
Niğde,1247,446,279,522,260708,362071,0.17%,0.11%,0.004783129017905089,0.12%,0.08%,0.003444075885668833
Ordu,2427,668,698,1061,589401,761400,0.11%,0.12%,0.004117739874889931,0.09%,0.09%,0.0031875492513790387
Rize,1668,405,647,616,268906,344359,0.15%,0.24%,0.006202911054420504,0.12%,0.19%,0.004843782215652851
Sakarya,3070,991,996,1083,777027,1042649,0.13%,0.13%,0.00395095665916371,0.10%,0.10%,0.002944423291059599
Samsun,4293,1191,1469,1633,1030199,1356079,0.12%,0.14%,0.0041671560543157194,0.09%,0.11%,0.003165744768556994
Siirt,2959,1491,1233,235,197181,331070,0.76%,0.63%,0.015006516855072243,0.45%,0.37%,0.00893768689401033
Sinop,838,180,225,433,172933,216460,0.10%,0.13%,0.004845807335789005,0.08%,0.10%,0.0038713850133973945
Sivas,1990,491,603,896,478755,635889,0.10%,0.13%,0.004156614552328435,0.08%,0.09%,0.003129476999916652
Tekirdağ,2531,615,976,940,809854,1081065,0.08%,0.12%,0.0031252546755341087,0.06%,0.09%,0.0023412098254961544
Tokat,1896,461,623,812,457272,597861,0.10%,0.14%,0.004146328662152942,0.08%,0.10%,0.0031713057048377465
Trabzon,2750,753,822,1175,621825,811901,0.12%,0.13%,0.004422466127929884,0.09%,0.10%,0.003387112468145747
Tunceli,425,91,98,236,68980,83443,0.13%,0.14%,0.0061612061467091915,0.11%,0.12%,0.005093297220857352
Şanlıurfa,11318,5635,5123,560,1157716,2115256,0.49%,0.44%,0.009776145444996873,0.27%,0.24%,0.005350652592404891
Uşak,1317,345,403,569,286295,369433,0.12%,0.14%,0.004600150194729213,0.09%,0.11%,0.003564922462259733
Van,3101,1365,1452,284,693216,1149342,0.20%,0.21%,0.004473353182846328,0.12%,0.13%,0.0026980655018262623
Yozgat,1291,354,350,587,315031,419095,0.11%,0.11%,0.004098009402249302,0.08%,0.08%,0.003080447153986566
Zonguldak,2241,514,823,904,466537,591204,0.11%,0.18%,0.004803477537687257,0.09%,0.14%,0.003790569752572716
Aksaray,1199,409,425,365,299426,423011,0.14%,0.14%,0.0040043282814451655,0.10%,0.10%,0.0028344416575455484
Bayburt,418,116,160,142,62060,81910,0.19%,0.26%,0.006735417338059942,0.14%,0.20%,0.005103162007080942
Karaman,718,187,216,315,188095,254919,0.10%,0.11%,0.0038172200217974957,0.07%,0.08%,0.0028165809531655152
Kırıkkale,1239,320,460,459,214988,278703,0.15%,0.21%,0.005763112359759614,0.11%,0.17%,0.004445592620100968
Batman,3084,1326,1520,238,375020,620278,0.35%,0.41%,0.00822356141005813,0.21%,0.25%,0.004971964183801456
Şırnak,967,507,420,40,307348,537762,0.16%,0.14%,0.003146270676887437,0.09%,0.08%,0.001798193252777251
