,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran
Adana,23829,22438,1391,0,1599578,1.40%,0.09%
Adıyaman,5335,4939,396,0,417362,1.18%,0.09%
Afyon,6296,5892,404,0,544755,1.08%,0.07%
Ağrı,3308,2885,423,0,316215,0.91%,0.13%
Amasya,3028,2779,249,0,261116,1.06%,0.10%
Ankara,52998,48745,4253,0,4269423,1.14%,0.10%
Antalya,28999,26929,2070,0,1903745,1.41%,0.11%
Artvin,1092,991,101,0,135986,0.73%,0.07%
Aydın,11475,9843,1632,0,867298,1.13%,0.19%
Balıkesir,9990,9211,779,0,992100,0.93%,0.08%
Bilecik,1724,1611,113,0,169031,0.95%,0.07%
Bingöl,2377,2264,113,0,193043,1.17%,0.06%
Bitlis,1878,1792,86,0,216393,0.83%,0.04%
Bolu,2544,2107,437,0,247627,0.85%,0.18%
Burdur,2151,1889,262,0,212252,0.89%,0.12%
Bursa,27170,24674,2496,0,2314439,1.07%,0.11%
Çanakkale,4710,4316,394,0,437937,0.99%,0.09%
Çankırı,1662,1532,130,0,151413,1.01%,0.09%
Çorum,5076,4606,470,0,407844,1.13%,0.12%
Denizli,10380,9695,685,0,793926,1.22%,0.09%
Diyarbakır,10511,9936,575,0,1099830,0.90%,0.05%
Edirne,3456,3128,328,0,334075,0.94%,0.10%
Elazığ,3995,3614,381,0,432965,0.83%,0.09%
Erzincan,1997,1834,163,0,180234,1.02%,0.09%
Erzurum,6340,5890,450,0,526063,1.12%,0.09%
Eskişehir,7368,6676,692,0,698642,0.96%,0.10%
Gaziantep,20729,19616,1113,0,1317351,1.49%,0.08%
Giresun,4524,4116,408,0,359477,1.14%,0.11%
Gümüşhane,1035,898,137,0,110911,0.81%,0.12%
Hakkari,3286,3116,170,0,181606,1.72%,0.09%
Hatay,22929,21679,1250,0,1120447,1.93%,0.11%
Isparta,3671,3039,632,0,342106,0.89%,0.18%
Mersin,20609,19613,996,0,1356886,1.45%,0.07%
İstanbul,114218,105293,8925,0,11520854,0.91%,0.08%
İzmir,45800,41803,3997,0,3429827,1.22%,0.12%
Kars,2638,2502,136,0,194225,1.29%,0.07%
Kastamonu,3349,3034,315,0,302774,1.00%,0.10%
Kayseri,16219,14964,1255,0,1016718,1.47%,0.12%
Kırklareli,4190,3770,420,0,294199,1.28%,0.14%
Kırşehir,1714,1603,111,0,185308,0.87%,0.06%
Kocaeli,17044,15169,1875,0,1453509,1.04%,0.13%
Konya,17584,15654,1930,0,1611865,0.97%,0.12%
Kütahya,4845,3924,921,0,454645,0.86%,0.20%
Malatya,6440,6001,439,0,585623,1.02%,0.07%
Manisa,17696,16083,1613,0,1101092,1.46%,0.15%
Kahramanmaraş,11481,10898,583,0,785567,1.39%,0.07%
Mardin,5183,4759,424,0,517582,0.92%,0.08%
Muğla,11438,10384,1054,0,787329,1.32%,0.13%
Muş,2612,2481,131,0,244220,1.02%,0.05%
Nevşehir,3120,2866,254,0,228791,1.25%,0.11%
Niğde,3555,3298,257,0,260708,1.27%,0.10%
Ordu,7332,6843,489,0,589401,1.16%,0.08%
Rize,3051,2823,228,0,268906,1.05%,0.08%
Sakarya,8496,7840,656,0,777027,1.01%,0.08%
Samsun,13293,11556,1737,0,1030199,1.12%,0.17%
Siirt,1704,1620,84,0,197181,0.82%,0.04%
Sinop,1869,1675,194,0,172933,0.97%,0.11%
Sivas,5343,4882,461,0,478755,1.02%,0.10%
Tekirdağ,13570,12780,790,0,809854,1.58%,0.10%
Tokat,4939,4592,347,0,457272,1.00%,0.08%
Trabzon,7473,6452,1021,0,621825,1.04%,0.16%
Tunceli,1250,1152,98,0,68980,1.67%,0.14%
Şanlıurfa,10751,10068,683,0,1157716,0.87%,0.06%
Uşak,4224,3922,302,0,286295,1.37%,0.11%
Van,9698,9014,684,0,693216,1.30%,0.10%
Yozgat,3181,2928,253,0,315031,0.93%,0.08%
Zonguldak,4841,4402,439,0,466537,0.94%,0.09%
Aksaray,3516,3344,172,0,299426,1.12%,0.06%
Bayburt,690,629,61,0,62060,1.01%,0.10%
Karaman,2146,2020,126,0,188095,1.07%,0.07%
Kırıkkale,3051,2814,237,0,214988,1.31%,0.11%
Batman,4136,3923,213,0,375020,1.05%,0.06%
Şırnak,6355,6153,202,0,307348,2.00%,0.07%
Bartın,2111,1995,116,0,159253,1.25%,0.07%
Ardahan,1146,1056,90,0,71678,1.47%,0.13%
Iğdır,1563,1113,450,0,130907,0.85%,0.34%
Yalova,1858,1614,244,0,210810,0.77%,0.12%
Karabük,2107,1918,189,0,195265,0.98%,0.10%
Kilis,1476,1370,106,0,94522,1.45%,0.11%
Osmaniye,5966,5665,301,0,378009,1.50%,0.08%
Düzce,3839,3622,217,0,298284,1.21%,0.07%
